"UNIQUEID","distractor_letter","distractor_tier","distractor_error_type","distractor_misconception","distractor_skill_deficit"
"PQ_ETH-01_19","C","L2","Procedural","The student assumed refusing a subpoena is appropriate despite legal consequences.","Legal obligation to comply with subpoena vs. ethical notifications"
"PQ_ETH-01_19","D","L1","Procedural","The student believed complying with a subpoena does not require informing the family.","FERPA requirement to notify parents of subpoena"
"PQ_ETH-01_2","A","L2","Conceptual","The student conflated NASP ethics framework with a different competency-based principle list.","NASP 2020 ethical principles vs. alternative frameworks"
"PQ_ETH-01_2","C","L3","Lexical","The student confused stages of service delivery with foundational ethical principles.","Ethical themes vs. assessment-intervention-advocacy cycle"
"PQ_ETH-01_2","D","L3","Lexical","The student conflated ecological levels of service with overarching ethical principles.","Ethical principles vs. systems-based ecological levels"
"PQ_ETH-01_20","A","L1","Conceptual","The student thought team harmony takes priority over advocating for student welfare.","Professional advocacy obligation vs. team conformity"
"PQ_ETH-01_20","C","L2","Procedural","The student assumed immediate external escalation bypasses constructive team dialogue.","Intra-team problem-solving before escalation"
"PQ_ETH-01_20","D","L3","Procedural","The student believed resigning is the appropriate response to team disagreement.","Professional advocacy within organizational context vs. resignation"
"PQ_ETH-01_3","A","L1","Conceptual","The student thought test security is less important than parental access to raw data.","Test security and interpretation requirements vs. raw data access"
"PQ_ETH-01_3","C","L1","Conceptual","The student believed copyright protection justifies withholding all test information from parents.","Copyright vs. parental right to information about assessment"
"PQ_ETH-01_3","D","L2","Procedural","The student assumed test publisher permission is required rather than qualified professional review.","Publisher consent vs. interpreted report for parents"
"PQ_ETH-01_4","A","L2","Conceptual","The student thought third-party evaluations should generally be accommodated with minimal ethical scrutiny.","Scope and confidentiality conflict in third-party evaluations"
"PQ_ETH-01_4","C","L2","Conceptual","The student assumed student assent is unnecessary when the parent initiates the evaluation.","Student assent vs. parental consent in evaluation"
"PQ_ETH-01_4","D","L2","Procedural","The student believed test copyright and standardization override confidentiality and consent issues.","Confidentiality vs. test administration requirements"
"PQ_ETH-01_5","A","L1","Conceptual","The student thought dual relationships must be categorically prohibited without exception.","Manageable vs. prohibited dual relationship distinction"
"PQ_ETH-01_5","C","L2","Conceptual","The student assumed disclosure and boundaries automatically make dual roles ethical.","Disclosure as necessary but insufficient for dual role ethics"
"PQ_ETH-01_5","D","L2","Conceptual","The student believed grade separation and disclosure are sufficient safeguards for dual roles.","Systemic oversight vs. individual safeguards in dual roles"
"PQ_ETH-01_6","A","L1","Conceptual","The student thought minor confidentiality preferences override parental legal consent requirements.","Parental consent authority vs. student assent preference"
"PQ_ETH-01_6","B","L1","Procedural","The student assumed parental notification requires revealing the student's reluctance.","Parental consent vs. disclosure of student's preferences"
"PQ_ETH-01_6","D","L3","Procedural","The student believed complete refusal is necessary when students want privacy from parents.","Competent refusal approach vs. absolute service denial"
"PQ_ETH-01_7","A","L1","Conceptual","The student thought colleague conflicts of interest are private matters not warranting professional concern.","Ethical responsibility for colleague competence oversight"
"PQ_ETH-01_7","C","L2","Procedural","The student assumed direct escalation to licensing boards bypasses collegial problem-solving.","Internal resolution precedence before external reporting"
"PQ_ETH-01_7","D","L3","Procedural","The student believed informing parents about a colleague's scope violation appropriately addresses it.","Parent notification vs. professional colleague accountability"
"PQ_ETH-01_8","A","L1","Conceptual","The student thought case notes need only record assessment outcomes without reasoning.","Documentation of decision basis vs. minimal recording"
"PQ_ETH-01_8","C","L2","Conceptual","The student assumed vague documentation improves student privacy protection.","Privacy through interpretation vs. privacy through obscurity"
"PQ_ETH-01_8","D","L2","Conceptual","The student believed unsupported speculation should appear in case notes alongside facts.","Documented evidence vs. speculative clinical opinion"
"PQ_ETH-01_9","A","L1","Conceptual","The student thought concealing an interpretation error protects the student and team.","Honesty and correction obligation vs. silence"
"PQ_ETH-01_9","C","L2","Procedural","The student assumed reporting only to administration instead of the family is appropriate.","Full team and family notification of significant errors"
"PQ_ETH-01_9","D","L2","Procedural","The student believed delaying error correction until the next review avoids disruption.","Timely error correction vs. delayed notification"
"item_031","A","L2","Conceptual","The student assumed unconditional support overrides the need for informed consent.","Informed consent and parental permission requirement"
"item_031","C","L1","Conceptual","The student thought FAPE services do not require explicit parental permission for counseling.","Counseling consent requirement despite free public services"
"item_031","D","L1","Conceptual","The student believed state licensure automatically authorizes individual counseling services.","Licensure scope vs. informed consent requirement"
"item_044","B","L2","Procedural","The student assumed immediate administrative reporting is mandatory in all ethical violations.","Severity-based escalation pathway for ethical violations"
"item_044","C","L1","Procedural","The student thought an ultimatum before reporting is an appropriate intervention approach.","Direct resolution vs. threatening approach to colleague violation"
"item_044","D","L3","Conceptual","The student conflated legal obligation with ethical responsibility for reporting violations.","Ethical vs. legal obligation distinction in misconduct"
"item_047","A","L1","Conceptual","The student thought new student status prohibits any brief intervention without prior consent.","Emergency exception to consent requirement"
"item_047","C","L2","Procedural","The student assumed referring to the counselor bypasses the psychologist's intervention responsibility.","Psychologist intervention authority in crisis vs. referral"
"item_047","D","L3","Procedural","The student believed containment in waiting area is more appropriate than brief intervention.","Crisis response options: monitoring vs. intervention"
"item_048","B","L1","Procedural","The student thought establishing rapport precedes explaining confidentiality limitations.","Timing of confidentiality limits disclosure standard"
"item_048","C","L1","Procedural","The student assumed confidentiality limits are unnecessary until termination approaches.","Initial vs. delayed confidentiality limitation explanation"
"item_048","D","L2","Procedural","The student believed informed consent with parents substitutes for explaining limits to students.","Student confidentiality notice vs. parental consent"
"item_079","A","L2","Conceptual","The student thought legal obligation differs from ethical mandate reporting requirement.","Mandated reporter duty vs. discretionary reporting"
"item_079","B","L2","Procedural","The student assumed collaboration with school social worker fulfills mandatory reporting obligation.","Direct mandated reporter reporting vs. collaborative process"
"item_079","C","L1","Procedural","The student thought interviewing the student before reporting is appropriate procedure.","Immediate reporting vs. fact-gathering before report"
"item_081","B","L1","Conceptual","The student thought medication discussion falls outside school psychologist scope entirely.","Scope of discussing medication considerations with parents"
"item_081","C","L2","Procedural","The student assumed a release is required before discussing school-related concerns with pediatrician.","Medical consultation initiation and release requirements"
"item_081","D","L2","Conceptual","The student assumed social development impact is the appropriate threshold for medication discussion.","Assessment data vs. functional impact as medication discussion trigger"
"item_084","A","L1","Conceptual","The student thought notifying administration fulfills the mandated reporting duty.","Administrative notification vs. child protective services reporting"
"item_084","C","L1","Procedural","The student assumed gathering information before reporting is an appropriate procedure.","Mandated reporter duty to report immediately"
"item_084","D","L2","Procedural","The student thought collaborating with school social worker substitutes for direct reporting.","Direct mandated reporter duty vs. collaborative reporting"
"item_101","A","L1","Conceptual","The student thought ethical standards bend under budget and staffing constraints.","Ethical obligation constancy despite resource limitation"
"item_101","B","L2","Procedural","The student assumed explaining ethical obligations while continuing non-compliance is sufficient.","Ethical acknowledgment vs. actual ethical practice"
"item_101","D","L3","Procedural","The student believed attorney guidance overrides professional ethical obligations.","Professional ethics vs. legal counsel authority"
"item_154","A","L1","Conceptual","The student thought self-harm without imminent danger is a breach of confidentiality trigger.","Imminent danger threshold vs. all harmful behavior"
"item_154","B","L1","Conceptual","The student assumed student permission alone is sufficient to breach confidentiality.","Ethical vs. permitted confidentiality breach scenarios"
"item_154","C","L1","Conceptual","The student thought planning a fight meets the threshold for confidentiality breach.","Imminent danger and actual threat vs. angry planning"
"item_210","A","L2","Conceptual","The student thought special education coordinator referral is a complete response to private evaluation.","Private practice authorization vs. referral procedures"
"item_210","C","L1","Conceptual","The student assumed public school responsibility eliminates private practice opportunity.","Dual role in private and public practice ethics"
"item_210","D","L3","Conceptual","The student believed school psychologists cannot provide private assessment services.","Private practice scope for licensed school psychologists"
"item_212","A","L2","Procedural","The student assumed immediate NASP board filing is the appropriate first step.","Internal resolution precedence before external reporting"
"item_212","B","L2","Procedural","The student thought direct administrator notification without colleague discussion is appropriate.","Collegial problem-solving before administrative escalation"
"item_212","D","L3","Procedural","The student believed reminding a colleague about available services addresses an ethical violation.","Reminding vs. direct confrontation of misconduct"
"item_214","A","L1","Conceptual","The student thought aversive techniques should never be used even in safety-critical situations.","Safety exception to aversive technique prohibition"
"item_214","C","L2","Conceptual","The student assumed administrative approval makes aversive techniques ethically appropriate.","Ethical standards vs. administrative authorization"
"item_214","D","L3","Conceptual","The student believed aversive techniques are especially appropriate for younger students.","Age and developmental considerations vs. universal aversive restrictions"
"item_215","A","L2","Procedural","The student assumed additional questions sufficiently address the reporting obligation.","Consultation vs. questioning as response to disclosure"
"item_215","B","L2","Procedural","The student thought administrative notification replaces consultation with social services.","Appropriate consultation resource for guidance"
"item_215","D","L2","Conceptual","The student assumed parental discussion without expert guidance is the best practice.","Professional consultation vs. direct parent conversation"
