UNIQUEID,item_format,is_multi_select,correct_answer_count,option_count_expected,has_case_vignette,case_text,question_stem,A,B,C,D,E,F,correct_answers,CORRECT_Explanation,core_concept,content_limit,DOMAIN,domain_name,domain_weight,nasp_domain_primary,original_skill_id,current_skill_id,skill_name,skill_domain_code,skill_nasp_domain,was_remapped,cognitive_complexity,complexity_rationale,outcome,construct_actually_tested,rationale,distractor_tier_A,distractor_error_type_A,distractor_misconception_A,distractor_skill_deficit_A,distractor_tier_B,distractor_error_type_B,distractor_misconception_B,distractor_skill_deficit_B,distractor_tier_C,distractor_error_type_C,distractor_misconception_C,distractor_skill_deficit_C,distractor_tier_D,distractor_error_type_D,distractor_misconception_D,distractor_skill_deficit_D,distractor_tier_E,distractor_error_type_E,distractor_misconception_E,distractor_skill_deficit_E,distractor_tier_F,distractor_error_type_F,distractor_misconception_F,distractor_skill_deficit_F,is_foundational,prereq_chain_narrative,dominant_error_pattern,error_cluster_tag,audit_status,dominant_failure_mode_tier,top_misconception_themes,instructional_red_flags,skill_prerequisites,is_human_verified,domain_rationale,skill_rationale
PB129,Single-Select,False,1,4,False,,"When talking to parents about bell-curve (e.g., normal curve) characteristics, one standard deviation from the mean encompasses how much of a given population?",0.5,0.68,0.75,0.25,,,B,One standard deviation from the mean on the bell curve encompasses 68% of the population.,"Test Scores, Norms, and Interpretation",One standard deviation from the mean on the bell curve encompasses 68% of the population.,1,Professional Practices that Permeate All Aspects of Service Delivery,32,1,PSY-01,PSY-01,"Test Scores, Norms, and Interpretation",PSY,1,False,Application,Stem presents a scenario and asks for appropriate action or application of a rule.,CONFIRMED,Normal distribution interpretation with one standard deviation covering sixty eight percent.,Explanation tests score norms and bell curve interpretation in psychometric communication.,L3_concept_substitution,Conceptual,The student believes the percentage of data in one standard deviation for a normal distribution is 50% when in fact it is 68%.,Interpreting the empirical rule for normal distributions,CORRECT,CORRECT,,,L1_false_positive,Lexical,The student believes each standard deviation covers the same proportion of data as adding together individual ones to total a larger percentage.,Lexical recognition of distribution division,L3_concept_substitution,Conceptual,The student believes one standard deviation from the mean involves an arbitrary quarter of the data rather than following the normal distribution pattern.,Understanding statistical distribution shapes,UNUSED,UNUSED,,,UNUSED,UNUSED,,,False,Proficiency with the empirical rule ensures accurate interpretation of standardized test scores and related educational assessments.,L3_concept_substitution,theory_substitution,AI_GENERATED,L3_concept_substitution,Percentile Rank Misinterpretation|Empirical Rule Miscomprehension|Base Rate Influence Misunderstanding,Confusing percentile ranks with percentage scores|Inconsistent application of empirical rule to problem-solving|Mixing up base rate impacts on reliability versus accuracy,DBD-09,False,,
PB130,Single-Select,False,1,4,False,,Dialectical behavior therapy (DBT) attempts to build skills related to the following four primary areas:,"Mindfulness, stress tolerance, interpersonal skills, and emotional regulation","Resilience, social skills, tolerance, and emotional regulation","Resilience, social skills, tolerance, and behavioral regulation","Social skills, self-advocacy, assertiveness, and problem solving",,,A,"Reference Chapter 2, section “Major Types of Individual Counseling Approaches and Theories.” Although dialectical behavior therapy (DBT) is not as common as other counseling approaches, it is gaining in popularity and has proven effective for various groups of people with special needs. Direct and Indirect Services With Children, Families, and Schools",Individual and Group Counseling Interventions,"Reference Chapter 2, section “Major Types of Individual Counseling Approaches and Theories.” Although dialectical behavior therapy (DBT) is not as common as other counseling approaches, it is gaining in popularity and has proven effective for various groups of people with special needs. Direct and Indirect Services With Children, Families, and Schools",2,"Direct and Indirect Services for Children, Families, and Schools (Student-Level Services)",23,4,MBH-02,MBH-03,"Theoretical Models of Intervention (CBT, ABA, Solution-Focused)",MBH,4,True,Application,Stem presents a scenario and asks for appropriate action or application of a rule.,MISASSIGNED,"DBT skill domains (mindfulness, distress tolerance, emotion regulation, interpersonal effectiveness).",This is theory-framework knowledge about a named intervention model.,CORRECT,CORRECT,,,L1_false_positive,Conceptual,The student believes resilience and social skills are core DBT skills when in fact DBT primarily focuses on emotional regulation and mindfulness.,Differentiating between DBT and general counseling skills,L1_false_positive,Conceptual,The student believes behavioral regulation is a primary focus of DBT when it is actually emotional regulation.,Understanding the unique focus areas of DBT,L3_concept_substitution,Conceptual,The student believes DBT emphasizes general social skills and self-advocacy rather than specific therapeutic skills.,Differentiating DBT specifics from generic therapeutic skills,UNUSED,UNUSED,,,UNUSED,UNUSED,,,False,The progression involves understanding general counseling approaches before pinpointing unique components of DBT.,L1_false_positive,term_confusion,AI_GENERATED,L1_false_positive,Term Confusion|Intervention Confusion|Scope Misapplication,Inability to differentiate between ABA and other behavioral interventions|Mistaking core principles of CBT for those in other models|Confusing intervention scopes with those of unrelated therapeutic strategies,MBH-04,False,,
PB131,Single-Select,False,1,4,False,,"A student has witnessed an extremely violent act by another student at school. The exposed student has developed posttraumatic stress disorder (PTSD) symptoms. During the first few initial counseling sessions, the student is likely to engage in the following behaviors primarily related to PTSD?",Self-soothing behaviors,Blank staring,Inattention,Retelling the “story”,,,D,"All of the other choices are valid symptoms of posttraumatic stress disorder (PTSD). However, the primary trait of PTSD is the urge to retell the personal perception and interpretation of the traumatic event. The retelling of a traumatic event is hypothesized to be a natural way for the mind to make sense of the event and integrate the event into the person’s experience.",Individual and Group Counseling Interventions,"All of the other choices are valid symptoms of posttraumatic stress disorder (PTSD). However, the primary trait of PTSD is the urge to retell the personal perception and interpretation of the traumatic event. The retelling of a traumatic event is hypothesized to be a natural way for the mind to make sense of the event and integrate the event into the person’s experience.",2,"Direct and Indirect Services for Children, Families, and Schools (Student-Level Services)",23,4,MBH-02,MBH-04,Child and Adolescent Psychopathology,MBH,4,True,Application,Stem presents a scenario and asks for appropriate action or application of a rule.,MISASSIGNED,Primary PTSD symptom profile after witnessing school violence.,Construct is psychopathology symptom identification rather than counseling technique selection.,L1_false_positive,Conceptual,The student believes self-soothing is a primary PTSD symptom when in fact retelling the event is central.,Understanding key PTSD symptoms,L3_concept_substitution,Conceptual,The student believes blank staring is indicative of PTSD when in fact it does not reflect the disorder's focus on storytelling.,Differentiating PTSD behaviors from other stress responses,L1_false_positive,Conceptual,The student believes inattention is specific to PTSD when in fact narrative retelling is more characteristic.,Identifying PTSD-specific symptoms,CORRECT,CORRECT,,,UNUSED,UNUSED,,,UNUSED,UNUSED,,,False,Knowledge progresses from understanding general mental health symptoms to distinguishing specific conditions like PTSD.,L1_false_positive,scope_misapplication,AI_GENERATED,L1_false_positive,Scope Misapplication|Theory Substitution|Term Confusion,Inability to distinguish between ASD and other neurodevelopmental disorders|Consistent errors in identifying theoretical frameworks relevant to autism|Misinterpretation of epidemiological data for common psychological disorders,,False,,
PB132,Single-Select,False,1,4,False,,What is a common cultural barrier to a student’s educational progress?,The parent’s cultural values regarding formal education,The school’s value placed on cultural sensitivity training,The parent’s primary language,The use of interpreters,,,A,"While schools need to endorse cultural sensitivity trainings and use interpreters when necessary, the parents’ involvement with school and the value placed on formal education is typically a major influence not only on a student’s progress, but also on the student graduating from high school. The primary language spoken at home is also a key factor in academic progress, but many children immersed in school start to learn a second language in addition to the home language.",Family Involvement and Advocacy,"While schools need to endorse cultural sensitivity trainings and use interpreters when necessary, the parents’ involvement with school and the value placed on formal education is typically a major influence not only on a student’s progress, but also on the student graduating from high school. The primary language spoken at home is also a key factor in academic progress, but many children immersed in school start to learn a second language in addition to the home language.",3,"Direct and Indirect Services for Children, Families, and Schools (Systems-Level Services)",20,7,FAM-02,FAM-02,Family Involvement and Advocacy,FAM,7,False,Recall,"Stem asks for definition, fact, or named entity (law, theorist, concept).",CONFIRMED,Family cultural values regarding formal education as barrier or support for student progress.,Explanation centers family involvement influence and advocacy context.,CORRECT,CORRECT,,,foundational_gap,Lexical,"Student confuses 'The school’s value placed on cultural sensitivity ' with the correct answer because both appear in the same knowledge domain, indicating an absence of the specific memorized fact.","Memorized recall of: nan — While schools need to endorse cultural sensitivity trainings and use interpreters when necessary, the parents’ involvement with school and the value placed on formal education is typically a major influence not only on a student’s progress, but also on the student graduating from high school. The primary language spoken at home is also a key factor in academic progress, but many children immersed in school start to learn a second language in addition to the home language.",foundational_gap,Lexical,"Student confuses 'The parent’s primary language' with the correct answer because both appear in the same knowledge domain, indicating an absence of the specific memorized fact.","Memorized recall of: nan — While schools need to endorse cultural sensitivity trainings and use interpreters when necessary, the parents’ involvement with school and the value placed on formal education is typically a major influence not only on a student’s progress, but also on the student graduating from high school. The primary language spoken at home is also a key factor in academic progress, but many children immersed in school start to learn a second language in addition to the home language.",foundational_gap,Lexical,"Student confuses 'The use of interpreters' with the correct answer because both appear in the same knowledge domain, indicating an absence of the specific memorized fact.","Memorized recall of: nan — While schools need to endorse cultural sensitivity trainings and use interpreters when necessary, the parents’ involvement with school and the value placed on formal education is typically a major influence not only on a student’s progress, but also on the student graduating from high school. The primary language spoken at home is also a key factor in academic progress, but many children immersed in school start to learn a second language in addition to the home language.",UNUSED,UNUSED,,,UNUSED,UNUSED,,,True,,foundational_gap,recall_gap,AUTO_CLASSIFIED,L3_concept_substitution,Theory Substitution|Scope Misapplication|Role Confusion,Student confuses elements between Epstein’s and unrelated models.|Inability to clearly define roles and boundaries in parent involvement.|Misinterpretation of theoretical concepts like microsystem or macrosystem.,FAM-03,False,,
PB133,Single-Select,False,1,4,False,,Tatro v. Irving Independent School District was a Supreme Court case that ruled:,Special education students have a right to the least restrictive environment,Special education students have a right to certain medical services and procedures,"Schools are only required to provide adequate services, but not the best services",Students’ records must be kept confidential and secured,,,B,"Schools must provide health services to students, but not medical services that require a licensed medical doctor to perform.",Cultural and Individual Factors in Intervention Design,"Schools must provide health services to students, but not medical services that require a licensed medical doctor to perform.",4,Foundations of School Psychological Service Delivery,25,10,DIV-01,LEG-04,Case Law and Student Rights,LEG,10,True,Application,Stem presents a scenario and asks for appropriate action or application of a rule.,MISASSIGNED,Tatro v. Irving — schools must provide health services (not medical services requiring an MD) to special education students.,This is a case law question about special education-related services under IDEA. Entirely outside DIV-01's domain.,L3_concept_substitution,Conceptual,"The student believes Tatro v. Irving pertains to the least restrictive environment, when it actually addresses necessary health services.",Understanding of Tatro v. Irving case specifics,CORRECT,CORRECT,,,L3_concept_substitution,Conceptual,"The student believes that schools are only required to provide adequate services, contrasting with IDEA's focus on necessary supports.",IDEA service standard understanding,L1_false_positive,Lexical,The student believes the case affects records handling rather than health service provision.,FERPA and confidentiality understanding,UNUSED,UNUSED,,,UNUSED,UNUSED,,,True,Mastery of IDEA-related rights is necessary before understanding how specific cases like Tatro refine or specify legal requirements in educational settings.,L3_concept_substitution,law_conflation,AI_GENERATED,L1_false_positive,Law Conflation|Theory Substitution|Scope Misapplication,Conflating different types of educational discrimination with broader legal issues.|Misapplying IDEA principles like FAPE to unrelated case topics.|Incorrectly identifying the main legal outcome of significant court cases.,ETH-01|LEG-02,False,,
PB134,Single-Select,False,1,4,False,,What is an ecological assessment?,A comprehensive process in which data on how a child functions in different environments or settings are collected,Uses both formal and informal measures,An assessment that considers diversity and cultural factors,Uses functional behavioral assessment (FBA) data to form a hypothesis about a behavior,,,A,"An ecological assessment can use a variety of methods to assess a student, but a central component of this type of assessment is the influence of multiple environments and factors considered in behavioral/developmental analysis.",Ecological Assessment and Contextual Factors,"An ecological assessment can use a variety of methods to assess a student, but a central component of this type of assessment is the influence of multiple environments and factors considered in behavioral/developmental analysis.",1,Professional Practices that Permeate All Aspects of Service Delivery,32,1,DBD-09,DBD-09,Ecological Assessment and Contextual Factors,DBD,1,False,Recall,"Stem asks for definition, fact, or named entity (law, theorist, concept).",CONFIRMED,Ecological assessment as analysis of student functioning across interacting environments.,"Explanation directly defines ecological assessment and contextual factors, matching DBD-09.",CORRECT,CORRECT,,,foundational_gap,Lexical,"Student confuses 'Uses both formal and informal measures' with the correct answer because both appear in the same knowledge domain, indicating an absence of the specific memorized fact.","Memorized recall of: nan — An ecological assessment can use a variety of methods to assess a student, but a central component of this type of assessment is the influence of multiple environments and factors considered in behavioral/developmental analysis.",foundational_gap,Lexical,"Student confuses 'An assessment that considers diversity and cultura' with the correct answer because both appear in the same knowledge domain, indicating an absence of the specific memorized fact.","Memorized recall of: nan — An ecological assessment can use a variety of methods to assess a student, but a central component of this type of assessment is the influence of multiple environments and factors considered in behavioral/developmental analysis.",foundational_gap,Lexical,"Student confuses 'Uses functional behavioral assessment (FBA) data t' with the correct answer because both appear in the same knowledge domain, indicating an absence of the specific memorized fact.","Memorized recall of: nan — An ecological assessment can use a variety of methods to assess a student, but a central component of this type of assessment is the influence of multiple environments and factors considered in behavioral/developmental analysis.",UNUSED,UNUSED,,,UNUSED,UNUSED,,,True,,foundational_gap,recall_gap,AUTO_CLASSIFIED,L3_concept_substitution,Assessment Type Confusion|Scope Misapplication|Theory Substitution,Inability to differentiate between functional behavior assessment and ecological assessment.|Confusion over the role of family information in ecological contexts.|Misapplying general environment assessments to specific ecological assessment requirements.,DBD-03|DBD-05,False,,
PB135,Single-Select,False,1,4,False,,Which medication is commonly used to treat obsessive-compulsive disorder (OCD)?,Neurontin,Methylphenidate (Ritalin),Fluoxetine (Prozac),Abilify,,,C,"Prozac is a commonly prescribed medication for depression, posttraumatic stress disorder (PTSD), and obsessive-compulsive disorder (OCD). While school psychologists do not prescribe medication, they can encourage parents to talk to their doctors about medication options and make available credible medical research on the topic. For the exam, you should be familiar with major trade name medications for common disorders such as attention deficit hyperactivity disorder (ADHD), depression, seizure disorder, bipolar disorder, and anxiety. Only a few questions of this type are usually on the test.",Child and Adolescent Psychopathology,"Prozac is a commonly prescribed medication for depression, posttraumatic stress disorder (PTSD), and obsessive-compulsive disorder (OCD). While school psychologists do not prescribe medication, they can encourage parents to talk to their doctors about medication options and make available credible medical research on the topic. For the exam, you should be familiar with major trade name medications for common disorders such as attention deficit hyperactivity disorder (ADHD), depression, seizure d",2,"Direct and Indirect Services for Children, Families, and Schools (Student-Level Services)",23,4,MBH-04,MBH-05,Biological Bases of Behavior and Mental Health,MBH,4,True,Application,Stem presents a scenario and asks for appropriate action or application of a rule.,MISASSIGNED,Psychopharmacology knowledge linking disorders to commonly used medications.,Explanation requires medication treatment knowledge rather than diagnostic symptom identification.,L3_concept_substitution,Conceptual,The student believes Neurontin treats OCD when in fact it is primarily for seizures and nerve pain.,Understanding psychiatric medication classifications and uses,L1_false_positive,Lexical,The student believes Ritalin treats OCD when it primarily treats ADHD.,Differentiating medication and their targeted disorders,CORRECT,CORRECT,,,L1_false_positive,Conceptual,The student believes Abilify is used for OCD treatment when it's used for psychosis and mood stabilization.,Knowledge of psychotropic medication indications,UNUSED,UNUSED,,,UNUSED,UNUSED,,,True,The progression from recognizing general disorder and drug classification to identifying specific medications for disorders like OCD.,L1_false_positive,term_confusion,AI_GENERATED,L1_false_positive,Brain Function Localization|Medication Function|Neurochemical Roles,Confuses brain lobe functions|Misclassifies medication uses|Misunderstands neurochemical roles,,False,,
PB136,Single-Select,False,1,4,False,,"When reviewing background information about a student for a formal assessment, which one of the following sources is not typically examined?",Medical/health records,Previous interventions,Developmental history,"Parental socioeconomic status (SES) Case example for questions 137 and 138: A high school student sustains a concussion during a football game on Friday night. The student attends school on Monday, but he is having difficulty focusing and processing information in class.",,,D,"While parental socioeconomic status (SES) might impact a student, the first three choices are the most common areas that are examined for a typical formal special education assessment. Student behavioral and academic (e.g., transcripts) records are also reviewed.",Background Information and Records Review,"While parental socioeconomic status (SES) might impact a student, the first three choices are the most common areas that are examined for a typical formal special education assessment. Student behavioral and academic (e.g., transcripts) records are also reviewed.",1,Professional Practices that Permeate All Aspects of Service Delivery,32,1,DBD-10,DBD-10,Background Information and Records Review,DBD,1,False,Application,Stem presents a scenario and asks for appropriate action or application of a rule.,CONFIRMED,Typical background records domains for formal assessment file review.,Explanation explicitly contrasts common archival sources against less central demographic context factors.,L1_false_positive,Conceptual,"The student believes medical/health records are not typically reviewed, when in fact, they commonly are.",Background Information and Records Review,L1_false_positive,Conceptual,"The student believes previous interventions are not typically examined, when in fact they are crucial in assessments.",Background Information and Records Review,L1_false_positive,Conceptual,"The student believes developmental history is peripheral, when it is typically examined.",Background Information and Records Review,CORRECT,CORRECT,,,UNUSED,UNUSED,,,UNUSED,UNUSED,,,True,The progression from the general understanding of multi-method information gathering to this skill involves recognizing the specific types of background information prioritization in assessments.,L1_false_positive,scope_misapplication,AI_GENERATED,L1_false_positive,Scope Misapplication|Concept Substitution|Role Confusion in Record Access,Lack of understanding of legal requirements for student evaluations.|Misconception of the role of work samples vs. standardized assessments.|Confusion regarding ethical standards for record review.,DBD-01|DBD-03,False,,
PB137,Single-Select,False,1,4,True,"Case example: A high school student sustains a concussion during a football game on Friday night. The student attends school on Monday, but he is having difficulty focusing and processing information in class. ","As a school psychologist, what should you do to support the concussed student at school?","Send the student home, with administrative approval, and excuse absences until he can attend a full school day with little or no symptoms",Create a temporary support plan that incorporates frequent breaks in the school day,Do not allow the student to take tests until he is symptom free,Collaborate with the school nurse to excuse the student from school until the student is symptom free,,,B,"This question might be difficult for some people to answer if they are not familiar with best practices in concussion management. Although there is still some disagreement among experts, school psychologists are playing an increased role in this area to support students. Currently, most experts agree that students should attend school if they have mild symptoms and a support plan. Students should rarely stay at home until symptom free. Rather, students should have a support plan that allows them frequent access to the health room for rest breaks. Reference the REAP (Remove/Reduce, Educate, Adjust/Accommodate, Pace) Manual by Dr. McAvoy for more information.",Health Conditions and Educational Impact,"This question might be difficult for some people to answer if they are not familiar with best practices in concussion management. Although there is still some disagreement among experts, school psychologists are playing an increased role in this area to support students. Currently, most experts agree that students should attend school if they have mild symptoms and a support plan. Students should rarely stay at home until symptom free. Rather, students should have a support plan that allows them",2,"Direct and Indirect Services for Children, Families, and Schools (Student-Level Services)",23,3,ACA-09,ACA-09,Health Conditions and Educational Impact,ACA,3,False,Application,Stem presents a scenario and asks for appropriate action or application of a rule.,CONFIRMED,School support planning for concussion symptoms with temporary accommodations and pacing.,Explanation explicitly addresses health condition educational impact management.,L3_concept_substitution,Conceptual,"The student believes a student with mild concussion symptoms should remain at home until symptom free, when in fact, most experts recommend school attendance with a support plan.",Concussion symptom management within educational settings,CORRECT,CORRECT,,,L1_false_positive,Conceptual,"The student believes academic assessments should wait until a student is symptom free, when they can be modified to accommodate current needs.",Modification of academic responsibilities post-concussion,L3_concept_substitution,Conceptual,"The student believes the school nurse should keep the student excused until symptom free, disregarding the role of accommodations.",Interprofessional collaboration in managing health conditions in schools,UNUSED,UNUSED,,,UNUSED,UNUSED,,,False,"Understanding concussion management, including assessment and intervention strategies, sets the stage for applying specific accommodations in educational settings.",L3_concept_substitution,intervention_confusion,AI_GENERATED,L3_concept_substitution,Role Confusion|Procedural Misalignment|Terminology Misunderstanding,Confusing educational roles with medical ones|Inability to match current terminology with standard usage|Misapplying procedural strategies for managing school supports,ACA-04|MBH-03,False,,
PB138,Single-Select,False,1,4,True,"Case example: A high school student sustains a concussion during a football game on Friday night. The student attends school on Monday, but he is having difficulty focusing and processing information in class. ",A concussion is commonly referred to in research and by medical experts as?,Temporary brain injury,Mild traumatic brain injury (mTBI),Mild brain dysfunction (mBD),Temporary brain dysfunction,,,B,"Concussions are considered by the majority of medical and allied medical experts as a mild brain injury or mild traumatic brain injury (mTBI). Although some experts are beginning to use other terms and they are reluctant to use the term “brain injury” or “temporary brain injury,” mTBI is still the most prevalent term used interchangeably with concussion.",Individual and Group Counseling Interventions,"Concussions are considered by the majority of medical and allied medical experts as a mild brain injury or mild traumatic brain injury (mTBI). Although some experts are beginning to use other terms and they are reluctant to use the term “brain injury” or “temporary brain injury,” mTBI is still the most prevalent term used interchangeably with concussion.",2,"Direct and Indirect Services for Children, Families, and Schools (Student-Level Services)",23,3,MBH-02,ACA-09,Health Conditions and Educational Impact,ACA,3,True,Application,Stem presents a scenario and asks for appropriate action or application of a rule.,MISASSIGNED,Concussion terminology as mild traumatic brain injury.,Content is health/medical condition classification and school impact context.,L1_false_positive,Conceptual,The student believes 'Temporary brain injury' is a common term among medical experts when in fact 'mild traumatic brain injury' is preferred.,Understanding expert-preferred medical terminology,CORRECT,CORRECT,,,L3_concept_substitution,Conceptual,The student believes 'Mild brain dysfunction' is a recognized expert term for concussions when it is not.,Accurate association of condition with professional terminology,L1_false_positive,Conceptual,"The student believes 'Temporary brain dysfunction' is the prevalent term used by experts, overlooking 'mild traumatic brain injury'.",Grasp of accurate and standard medical language,UNUSED,UNUSED,,,UNUSED,UNUSED,,,False,Recognition of professional terminologies leads to understanding the correct language used by experts in diagnosing and referring to conditions such as concussions.,L1_false_positive,term_confusion,AI_GENERATED,L3_concept_substitution,Role Confusion|Procedural Misalignment|Terminology Misunderstanding,Confusing educational roles with medical ones|Inability to match current terminology with standard usage|Misapplying procedural strategies for managing school supports,ACA-04|MBH-03,False,,
PB139,Single-Select,False,1,4,False,,Which legal case is most closely aligned to least restrictive environment (LRE)?,Honig v. Doe,Larry P. v. Riles,Oberti v. Cementon,Rowley v. Hudson Board of Education,,,C,"Oberti v. Cementon (1993) is a legal case that affirmed the rights of a special- needs student to be included in regular education classes and activities. The courts also underscored that schools must adhere to the Individuals with Disabilities Education Act (IDEA) requirements, especially those related to the least restrictive environment (LRE) clause.",IDEA and Special Education Law,"Oberti v. Cementon (1993) is a legal case that affirmed the rights of a special- needs student to be included in regular education classes and activities. The courts also underscored that schools must adhere to the Individuals with Disabilities Education Act (IDEA) requirements, especially those related to the least restrictive environment (LRE) clause.",4,Foundations of School Psychological Service Delivery,25,10,LEG-02,LEG-04,Case Law and Student Rights,LEG,10,True,Application,Stem presents a scenario and asks for appropriate action or application of a rule.,MISASSIGNED,Case law precedent for least restrictive environment rights under special education.,Explanation requires identifying a specific court case rather than IDEA procedural rule knowledge.,L3_concept_substitution,Conceptual,"The student believes Honig v. Doe addresses LRE, when in fact it addresses disciplinary protections.",Differentiating between major legal cases in special education law,L3_concept_substitution,Conceptual,"The student believes Larry P. v. Riles is about LRE in education, when in fact it addresses racial bias in special education assessment.",Relating legal precedents to specific educational provisions,CORRECT,CORRECT,,,L3_concept_substitution,Conceptual,"The student believes Rowley v. Hudson relates to LRE, when it actually focuses on the standard of appropriate educational benefits.",Identifying the primary issues addressed in IDEA-related cases,UNUSED,UNUSED,,,UNUSED,UNUSED,,,False,Knowledge of IDEA principles is crucial before understanding case law interpretations like Oberti v. Cementon for the LRE specifics.,L3_concept_substitution,theory_substitution,AI_GENERATED,L1_false_positive,Law Conflation|Theory Substitution|Scope Misapplication,Conflating different types of educational discrimination with broader legal issues.|Misapplying IDEA principles like FAPE to unrelated case topics.|Incorrectly identifying the main legal outcome of significant court cases.,ETH-01|LEG-02,False,,
PB140,Single-Select,False,1,4,False,,Who is widely assumed to be the father of school psychology?,Lightner Witmer,Alfred Binet,Francis Galton,B. F. Skinner,,,A,Most scholars believe that the father of school psychology is Lightner Witmer. Dr. Witmer established a clinic at the University of Pennsylvania in 1896. He combined educational and psychological services to help students with learning and behavioral problems.,Cultural and Individual Factors in Intervention Design,Most scholars believe that the father of school psychology is Lightner Witmer. Dr. Witmer established a clinic at the University of Pennsylvania in 1896. He combined educational and psychological services to help students with learning and behavioral problems.,4,Foundations of School Psychological Service Delivery,25,10,DIV-01,ETH-03,"Advocacy, Lifelong Learning, and Professional Growth",ETH,10,True,Recall,"Stem asks for definition, fact, or named entity (law, theorist, concept).",MISASSIGNED,"Lightner Witmer as the founder (""father"") of school psychology.",Pure historical recall about the profession's origins. Zero connection to cultural factors or intervention design.,CORRECT,CORRECT,,,foundational_gap,Lexical,"Student confuses 'Alfred Binet' with the correct answer because both appear in the same knowledge domain, indicating an absence of the specific memorized fact.",Memorized recall of: nan — Most scholars believe that the father of school psychology is Lightner Witmer. Dr. Witmer established a clinic at the University of Pennsylvania in 1896. He combined educational and psychological services to help students with learning and behavioral problems.,foundational_gap,Lexical,"Student confuses 'Francis Galton' with the correct answer because both appear in the same knowledge domain, indicating an absence of the specific memorized fact.",Memorized recall of: nan — Most scholars believe that the father of school psychology is Lightner Witmer. Dr. Witmer established a clinic at the University of Pennsylvania in 1896. He combined educational and psychological services to help students with learning and behavioral problems.,foundational_gap,Lexical,"Student confuses 'B. F. Skinner' with the correct answer because both appear in the same knowledge domain, indicating an absence of the specific memorized fact.",Memorized recall of: nan — Most scholars believe that the father of school psychology is Lightner Witmer. Dr. Witmer established a clinic at the University of Pennsylvania in 1896. He combined educational and psychological services to help students with learning and behavioral problems.,UNUSED,UNUSED,,,UNUSED,UNUSED,,,True,,foundational_gap,recall_gap,AUTO_CLASSIFIED,L1_false_positive,Scope Misapplication|Theory Substitution|Role Confusion,Confusing administrative tasks for professional growth|Inability to differentiate between APA and NASP guidelines|Equating personal care with professional consultation,LEG-01|LEG-02,False,,
PB141,Single-Select,False,1,4,False,,When is response to intervention (RTI) data typically not used?,To identify a student’s learning problem or area of difficulty,To target intervention strategies,To help determine whether a student should be retained in a grade,To decide whether interventions are related to positive student outcomes (effectiveness),,,C,"Although all choices could be valid, the National Association of School Psychologists (NASP) does not generally endorse grade retention.",Multi-Tiered Systems of Support (MTSS) at Systems Level,"Although all choices could be valid, the National Association of School Psychologists (NASP) does not generally endorse grade retention.",3,"Direct and Indirect Services for Children, Families, and Schools (Systems-Level Services)",20,5,SWP-04,SWP-02,"Educational Policy and Practice (Retention, Promotion, Tracking)",SWP,5,True,Application,Stem presents a scenario and asks for appropriate action or application of a rule.,MISASSIGNED,Use limits of RTI data regarding grade-retention decisions.,Construct is policy/practice decision on retention rather than MTSS architecture itself.,L1_false_positive,Conceptual,The student believes RTI is not used for identifying learning problems when it is crucial for such diagnostic purposes.,Understanding of the RTI framework for student learning assessment,L1_false_positive,Conceptual,"The student believes RTI data is not used to target interventions, though it is fundamental for this purpose.",Knowledge of how RTI data informs intervention strategy development,CORRECT,CORRECT,,,L1_false_positive,Conceptual,"The student believes RTI data does not assess intervention effectiveness, whereas it is crucial in this evaluation.",Application of RTI data in determining intervention outcomes,UNUSED,UNUSED,,,UNUSED,UNUSED,,,False,Understanding RTI's diagnostic and intervention roles precedes comprehending its limitations in retention decision-making.,L1_false_positive,scope_misapplication,AI_GENERATED,L1_false_positive,Scope Misapplication|Theory Substitution|Assessment Oversimplification,Belief that partial retention or immediate solutions are comprehensive interventions|Confusion between retention strategies and growth indicators|Misinterpretation of RTI's role in assessment and intervention,DEV-01|SWP-03,False,,
