"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_ETH-03_11","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","Supervision standards, credential maintenance, scope-of-competence growth, and reflective practice; applied to 'Evidence-based practice as an ethical obligation means' scenario discrimination"
"PQ_ETH-03_12","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Supervision standards, credential maintenance, scope-of-competence growth, and reflective practice; applied to 'A school psychologist joins a professional organization and becomes active in committees' scenario discrimination"
"PQ_ETH-03_13","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","Supervision standards, credential maintenance, scope-of-competence growth, and reflective practice; applied to 'Using school data to drive change (data advocacy) involves' scenario discrimination"
"PQ_ETH-03_14","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Supervision standards, credential maintenance, scope-of-competence growth, and reflective practice; applied to 'A school psychologist realizes they lack competence in a new area their' scenario discrimination"
"PQ_ETH-03_15","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","Supervision standards, credential maintenance, scope-of-competence growth, and reflective practice; applied to 'Contributing to research knowledge as a professional growth and advocacy goal might' scenario discrimination"
"PQ_ETH-03_16","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","Supervision standards, credential maintenance, scope-of-competence growth, and reflective practice; applied to 'Cultural responsiveness as an ongoing learning obligation means' scenario discrimination"
"PQ_ETH-03_17","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","Supervision standards, credential maintenance, scope-of-competence growth, and reflective practice; applied to 'Peer consultation as a professional development practice involves' scenario discrimination"
"PQ_ETH-03_18","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","Supervision standards, credential maintenance, scope-of-competence growth, and reflective practice; applied to 'A school psychologist engages in reflective practice by' scenario discrimination"
"PQ_ETH-03_19","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Supervision standards, credential maintenance, scope-of-competence growth, and reflective practice; applied to 'The distinction between professional growth for compliance (meeting CEU requirements) and professional' scenario discrimination"
"PQ_ETH-03_20","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Supervision standards, credential maintenance, scope-of-competence growth, and reflective practice; applied to 'When a school psychologist becomes aware of emerging issues affecting students (e.g' scenario discrimination"
"item_062","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Supervision standards, credential maintenance, scope-of-competence growth, and reflective practice; applied to 'In regard to professional associations related to school psychology, which of the' scenario discrimination"
"item_119","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","Supervision standards, credential maintenance, scope-of-competence growth, and reflective practice; applied to 'What is the National Association of School Psychologists' (NASP's) position regarding homeschooling' scenario discrimination"
"item_245","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Supervision standards, credential maintenance, scope-of-competence growth, and reflective practice; applied to 'Before administering a new psychologic assessment, it is reasonable for a school' scenario discrimination"
