"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_MBH-03_12","This is an Application item because learners classify a concrete disciplinary consequence (loss of preferred activity) using operant terminology. Accurate choice requires tracking both stimulus direction and behavior-change intention.","Operant quadrant discrimination for negative punishment: removing valued stimuli to reduce future undesired behavior"
"PQ_MBH-03_13","This is an Application item because students must infer theoretical orientation from an intervention blending cognition and behavior regulation. The stem requires model attribution from technique use, not term memorization.","Theoretical identification of CBT via instructional self-talk used to improve impulse-control behavior"
"PQ_MBH-03_14","This is an Application item because the question asks for PBIS's underlying theory from competing broad orientations. Students must connect schoolwide practice features to their behavioral science foundation.","Linking PBIS core practices to ABA principles including reinforcement systems, data use, and prevention logic"
"PQ_MBH-03_15","This is an Application item because students select the valid ordered stages in a behavior-change framework and reject reductionist claims. The task requires procedural model fidelity, not isolated fact recall.","Accurate sequence knowledge of Transtheoretical stages from precontemplation through maintenance for MI-informed planning"
"PQ_MBH-03_16","This is an Application item because the stem presents explicit criteria, contingencies, and delayed reward access in a behavior plan. Students must classify intervention design features into the correct ABA-based structure.","Behavioral contract identification using explicit target criteria, reinforcement contingencies, and cumulative reward conditions"
"PQ_MBH-03_17","This is an Application item because students infer the operative CBT principle from a multistep therapeutic workflow. The listed steps require recognizing thought-evidence reappraisal as the mechanism of change.","Cognitive restructuring workflow mastery: automatic-thought capture, evidence testing, and generation of balanced alternative thoughts"
"PQ_MBH-03_18","This is an Application item because learners map a scripted therapist question to a specific SFBT technique category. Correctness depends on procedural recognition of scaling language in practice.","Identification of SFBT scaling questions for collaborative progress quantification and incremental goal movement"
"PQ_MBH-03_19","This is an Application item because the learner must evaluate conceptual relationships between two treatment paradigms and reject false dichotomies. It assesses comparative understanding, not single-definition retrieval.","Conceptual differentiation and complementarity of CBT cognitive targets versus ABA behavior-analytic targets"
"PQ_MBH-03_20","This is an Application item because students interpret an ACT vignette and select the principle reflected in behavior despite ongoing anxiety. The distractors contrast common misconceptions about symptom control.","Psychological flexibility in ACT: acceptance of internal distress while engaging in values-consistent committed action"
"item_023","This is a Recall item because it asks for CBT's foundational principle in definition form without a case to interpret. The student retrieves the hallmark orientation and structure of the approach.","Foundational CBT identity as short-term, goal-directed modification of maladaptive cognitions and behaviors"
"item_030","This is an Application item because students must choose the best-fit therapy for a shy, cross-setting presentation using contextual clues from teacher and parent reports. It requires intervention matching to case profile.","Case-based selection of CBT with modeling and rehearsal for generalized social inhibition and low assertiveness"
"item_058","This is an Application item because students must determine the behavioral process from a described outcome contingency rather than definition wording. The item tests functional interpretation of consequence effects on behavior rate.","Functional distinction between reinforcement and punishment using behavior-change direction after consequence manipulation"
"item_061","This is an Application item because it asks for the most effective psychologist response to a teacher's punishment-heavy practice, requiring professional judgment. Correctness depends on integrating behavior-change durability and ethical coaching.","Consultative guidance on balancing response-cost approaches with positive reinforcement and feedback for sustained behavior change"
"item_106","This is an Application item because students infer counseling orientation from a cluster of assumptions about self-concept, growth, and subjective perception. They must map theory descriptors to the correct school counseling framework.","Identification of humanistic counseling constructs: self-image, phenomenological experience, and growth-oriented motivation"
"item_155","This is an Application item because students evaluate comparative claims about therapies and select the one with strongest broad evidence and adoption. The stem requires evidence-based intervention prioritization.","Recognition of CBT as a widely validated, broadly implemented psychotherapy relative to less established or nonspecific alternatives"
"item_156","This is an Application item because the student chooses the statement that best captures Skinnerian behaviorism among partially plausible options. The task requires precision about immediacy and consequence contingencies.","Skinnerian operant principle that immediate consequences shape future behavior frequency across reinforcement types"
"item_158","This is an Application item because the vignette includes extraneous diagnostic details and demands identification of the core intervention model from procedural features. Students must prioritize technique signatures over noise.","ABA method recognition from task analysis, discrete trials, and highly structured skill-acquisition instruction"
"item_159","This is an Application item because learners must identify the essential design feature of an effective intervention plan within a discrete-trial teaching context. It tests sequencing of acquisition supports and independence transfer.","Use of prompts and reinforcers during acquisition with systematic fading to promote independent target performance"
"item_178","This is an Application item because students infer the governing principle from a first-then classroom contingency rather than naming a reinforcement schedule directly. The key is recognizing relative behavior value sequencing.","Premack principle application: using access to high-probability activities to increase completion of low-probability tasks"
"item_179","This is a Recall item because it asks for the primary conceptual difference between two often-confused operant terms. No scenario analysis is required beyond retrieving directional effects on behavior.","Contrast knowledge that negative reinforcement increases behavior while punishment decreases behavior frequency"
"item_180","This is an Application item because students must select the schedule based on its behavioral persistence profile, not just naming schedules. It requires applying extinction-resistance properties to schedule comparison.","Variable-ratio schedule properties: high response rates and strong resistance to extinction after conditioning"
"item_196","This is an Application item because the question asks for a common implementation complaint, requiring practical judgment about classroom feasibility rather than theoretical mechanics alone. Students must separate efficacy from usability barriers.","Implementation-level limitation of token economies: logistical burden of tracking, immediate delivery, and ongoing maintenance"
"item_223","This is an Application item because students must choose the intervention with systems-level impact on school culture instead of individual skill growth. The stem requires ecological reasoning about bullying prevention levers.","Bystander-role instruction as a schoolwide mechanism for shifting peer norms and reducing harassment reinforcement"
"item_228","This is an Application item because learners must identify the broad field shift described and reject narrower but true subcomponents. The item evaluates scope discrimination in service-delivery evolution.","Recognition of school psychology's transition to systems-level, preventive, indirect supports for all students"
"item_237","This is an Application item because students must map a counseling statement about agency under adversity to the theorist most aligned with that existential premise. The case context is incidental to principle matching.","Attribution of existential choice-and-meaning emphasis to Viktor Frankl's therapeutic orientation"
"item_242","This is an Application item because the question asks which technique is least likely for a depressed student in school counseling, requiring treatment-fit judgment. Students must distinguish mainstream CBT-compatible supports from contraindicated approaches.","Intervention appropriateness for adolescent depression: excluding flooding while endorsing cognitive restructuring, social skills, and relaxation"
"item_243","This is a Recall item because it asks for the standard named intervention associated with phobia treatment. The response depends on retrieving the canonical behavioral technique label.","Knowledge of systematic desensitization as the classic graduated exposure-based intervention for specific phobias"
