"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_SAF-01_11","This is a Recall item because it asks the learner to retrieve the specific meaning or definition tied to 'What is the relationship between school climate and PBIS?', rather than selecting among intervention pathways. The key distinction is remembering the precise construct in PBIS is one component of positive school climate; together they create conditions, not evaluating competing actions such as School climate and PBIS are unrelated; schools can implement PBIS.","Context-based discrimination of PBIS is one component of positive school climate together they within the clinical decision context of What is the relationship between school climate and"
"PQ_SAF-01_12","This is an Application item because the learner must use scenario details in 'A bystander intervention program trains students to safely intervene when observing bullying. Which is' to choose the best-fit intervention response. Success requires discriminating Increased bystander intervention rates and reduction in bullying severity and frequency from plausible but mismatched alternatives like Complete elimination of all bullying.","Context-based discrimination of Increased bystander intervention rates and reduction in bullying severity and within the clinical decision context of bystander intervention program trains students to safely intervene"
"PQ_SAF-01_13","This is an Application item because the learner must use scenario details in 'A school implements a class-wide positive reinforcement system where teachers acknowledge appropriate behavior continuously' to choose the best-fit intervention response. Success requires discriminating Initial increases in appropriate behavior, with fading of external reinforcement as behavior from plausible but mismatched alternatives like Increased extrinsic motivation reducing intrinsic motivation long-term.","Context-based discrimination of Initial increases in appropriate behavior with fading of external reinforcement within the clinical decision context of school implements class-wide positive reinforcement system where teachers"
"PQ_SAF-01_14","This is a Recall item because it asks the learner to retrieve the specific meaning or definition tied to 'Which statement about fidelity in PBIS implementation is most accurate?', rather than selecting among intervention pathways. The key distinction is remembering the precise construct in High-fidelity implementation (with fidelity tools and regular monitoring) predicts better student outcomes, not evaluating competing actions such as Fidelity monitoring is unnecessary once initial PBIS training is complete.","Context-based discrimination of High-fidelity implementation with fidelity tools and regular monitoring predicts better within the clinical decision context of Which statement about fidelity in PBIS implementation is"
"PQ_SAF-01_15","This is an Application item because the learner must use scenario details in 'A school's discipline data shows disproportionate office referrals for African American students, particularly for' to choose the best-fit intervention response. Success requires discriminating Conduct equity analysis examining potential bias, then modify practices to improve consistency from plausible but mismatched alternatives like Accept the data as reflecting actual behavior differences.","Context-based discrimination of Conduct equity analysis examining potential bias then modify practices to within the clinical decision context of school's discipline data shows disproportionate office referrals for"
"PQ_SAF-01_16","This is a Recall item because it asks the learner to retrieve the specific meaning or definition tied to 'What is a key difference between character education and SEL programs?', rather than selecting among intervention pathways. The key distinction is remembering the precise construct in Character education focuses on values, not evaluating competing actions such as Both are identical approaches to improving student behavior.","Context-based discrimination of Character education focuses on values within the clinical decision context of What is key difference between character education and"
"PQ_SAF-01_17","This is an Application item because the learner must use scenario details in 'A school implements universal screening that identifies 35% of students below benchmark in critical' to choose the best-fit intervention response. Success requires discriminating Examine Tier 1 curriculum, instruction quality, and intensity, implementing improvements before assuming from plausible but mismatched alternatives like Accept that these students will struggle and focus exclusively on.","Context-based discrimination of Examine Tier curriculum instruction quality and intensity implementing improvements before within the clinical decision context of school implements universal screening that identifies of students"
"PQ_SAF-01_18","This is an Application item because the learner must use scenario details in 'A student who is frequently bullied begins demonstrating aggressive behavior toward younger students. The' to choose the best-fit intervention response. Success requires discriminating Address both the victimization and the emerging aggression, recognizing that peer victimization from plausible but mismatched alternatives like Focus intervention exclusively on the aggressive behavior without addressing the.","Context-based discrimination of Address both the victimization and the emerging aggression recognizing that within the clinical decision context of student who is frequently bullied begins demonstrating aggressive"
"PQ_SAF-01_19","This is a Recall item because it asks the learner to retrieve the specific meaning or definition tied to 'According to evidence-based practices, when should prevention-focused SEL instruction begin?', rather than selecting among intervention pathways. The key distinction is remembering the precise construct in In early childhood and continue throughout schooling for maximum impact, not evaluating competing actions such as In high school to address adolescent risk factors.","Context-based discrimination of In early childhood and continue throughout schooling for maximum impact within the clinical decision context of According to evidence-based practices when should prevention-focused SEL"
"PQ_SAF-01_20","This is an Application item because the learner must use scenario details in 'A school experiencing rising rates of student conflict and negative climate decides to implement' to choose the best-fit intervention response. Success requires discriminating Initial increases in referrals as adults report more consistently, with improvements emerging from plausible but mismatched alternatives like Immediate dramatic reduction in discipline referrals and improved climate within.","Context-based discrimination of Initial increases in referrals as adults report more consistently with within the clinical decision context of school experiencing rising rates of student conflict and"
"item_018","This is an Application item because the learner must use scenario details in 'A systems-wide practice or policy that is generally endorsed by the National Association of' to choose the best-fit intervention response. Success requires discriminating Positive behavioral interventions and supports (PBIS) training from plausible but mismatched alternatives like Tracking.","Context-based discrimination of Positive behavioral interventions and supports PBIS training within the clinical decision context of systems-wide practice or policy that is generally endorsed"
"item_024","This is an Application item because the learner must use scenario details in 'An important role of school psychologists is to implement antibullying programs in schools. During' to choose the best-fit intervention response. Success requires discriminating Aggression that is characterized by a consistent abuse of power from plausible but mismatched alternatives like Violence that is targeted.","Context-based discrimination of Aggression that is characterized by consistent abuse of power within the clinical decision context of An important role of school psychologists is to"
"item_027","This is an Application item because the learner must use scenario details in 'A common systems-wide and multitier intervention that is typically employed to support students who' to choose the best-fit intervention response. Success requires discriminating Response-to-intervention (RTI) from plausible but mismatched alternatives like Positive behavioral interventions and supports (PBIS).","Context-based discrimination of Response-to-intervention RTI within the clinical decision context of common systems-wide and multitier intervention that is typically"
"item_054","This is an Application item because the learner must use scenario details in 'A school psychologist is conducting a school-wide training on effective teaching methods for the' to choose the best-fit intervention response. Success requires discriminating Explicit and systematic from plausible but mismatched alternatives like Implicit and direct.","Context-based discrimination of Explicit and systematic within the clinical decision context of school psychologist is conducting school-wide training on effective"
"item_113","This is an Application item because the learner must use scenario details in 'The National Association of School Psychologists (NASP) provides a specific list of effective school' to choose the best-fit intervention response. Success requires discriminating Suspension and zero-tolerance practices from plausible but mismatched alternatives like Coordinated use of data that informs instruction, student, and school.","Context-based discrimination of Suspension and zero-tolerance practices within the clinical decision context of The National Association of School Psychologists NASP provides"
"item_150","This is an Application item because the learner must use scenario details in 'A school psychologist is asked to design a positive behavioral intervention and support (PBIS)' to choose the best-fit intervention response. Success requires discriminating Parents should feel welcome to help students and volunteer at school from plausible but mismatched alternatives like Establish and define clear and consistent expectations.","Context-based discrimination of Parents should feel welcome to help students and volunteer at within the clinical decision context of school psychologist is asked to design positive behavioral"
"item_151","This is an Application item because the learner must use scenario details in 'Case example: Bullying and harassment are major problems in schools. Many times, administrators are' to choose the best-fit intervention response. Success requires discriminating Suspending students accused of bullying may have a disparate impact on minority from plausible but mismatched alternatives like Ninety percent of students have experienced bullying in grade school.","Context-based discrimination of Suspending students accused of bullying may have disparate impact on within the clinical decision context of Case example Bullying and harassment are major problems"
"item_152","This is an Application item because the learner must use scenario details in 'Case example: Bullying and harassment are major problems in schools. Many times, administrators are' to choose the best-fit intervention response. Success requires discriminating Strict consequences for bullying behavior and zero-tolerance policies from plausible but mismatched alternatives like Widespread staff supervision of students.","Context-based discrimination of Strict consequences for bullying behavior and zero-tolerance policies within the clinical decision context of Case example Bullying and harassment are major problems"
"item_181","This is a Recall item because it asks the learner to retrieve the specific meaning or definition tied to 'Which of the following are effective practices related to bullying and harassment policies?', rather than selecting among intervention pathways. The key distinction is remembering the precise construct in Multi-Tiered System of Supports (MTSS) and restorative practices that include restitution and, not evaluating competing actions such as Modify suspensions and refer students of concern to the school's.","Context-based discrimination of Multi-Tiered System of Supports MTSS and restorative practices that include within the clinical decision context of Which of the following are effective practices related"
