"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_ETH-02_11","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","NASP ethics code application, professional boundaries, competence, and role obligations; applied to 'A school psychologist uses digital communication to discuss a student case with' scenario discrimination"
"PQ_ETH-02_12","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","NASP ethics code application, professional boundaries, competence, and role obligations; applied to 'A school psychologist discovers that assessment materials have been stored in a' scenario discrimination"
"PQ_ETH-02_13","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","NASP ethics code application, professional boundaries, competence, and role obligations; applied to 'A school psychologist documents a student's behavior in clinical notes but uses' scenario discrimination"
"PQ_ETH-02_14","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","NASP ethics code application, professional boundaries, competence, and role obligations; applied to 'Regarding FERPA and school psychological records, the record retention and confidentiality requirements' scenario discrimination"
"PQ_ETH-02_15","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","NASP ethics code application, professional boundaries, competence, and role obligations; applied to 'A school psychologist is asked to testify in court about a student's' scenario discrimination"
"PQ_ETH-02_16","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","NASP ethics code application, professional boundaries, competence, and role obligations; applied to 'A supervisor allows a supervisee to conduct high-stakes assessments without adequate training' scenario discrimination"
"PQ_ETH-02_17","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","NASP ethics code application, professional boundaries, competence, and role obligations; applied to 'A school psychologist provides a written evaluation report that is shown to' scenario discrimination"
"PQ_ETH-02_18","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","NASP ethics code application, professional boundaries, competence, and role obligations; applied to 'Liability insurance for school psychologists typically covers' scenario discrimination"
"PQ_ETH-02_19","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","NASP ethics code application, professional boundaries, competence, and role obligations; applied to 'A school psychologist fails to report suspected child abuse, violating mandatory reporting' scenario discrimination"
"PQ_ETH-02_20","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","NASP ethics code application, professional boundaries, competence, and role obligations; applied to 'When a school psychologist believes they may have made an error that' scenario discrimination"
"item_010","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","NASP ethics code application, professional boundaries, competence, and role obligations; applied to 'A new school psychologist is assigned to an inner-city public school. The' scenario discrimination"
"item_038","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","NASP ethics code application, professional boundaries, competence, and role obligations; applied to 'The National Association of School Psychologists (NASP) is a strong proponent of' scenario discrimination"
"item_211","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","NASP ethics code application, professional boundaries, competence, and role obligations; applied to 'What is the appropriate number of interns that a school psychologist supervisor' scenario discrimination"
"item_213","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","NASP ethics code application, professional boundaries, competence, and role obligations; applied to 'When a formal ethical complaint is filed against a National Association of' scenario discrimination"
"item_227","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","NASP ethics code application, professional boundaries, competence, and role obligations; applied to 'The National Association of School Psychologists (NASP) encourages school psychologists to engage' scenario discrimination"
