UNIQUEID,complexity_rationale,construct_actually_tested
PQ_DBD-03_11,"This is Recall because the item asks which theory underlies CAS-2, a direct fact about test foundations. The student succeeds by retrieving model-to-instrument pairing knowledge.",Test-theory linkage knowledge: CAS-2 alignment with PASS model and Lurian processing framework
PQ_DBD-03_12,This is Application because the examinee must qualify the meaning of a gifted-range FSIQ using exceptionality and contextual data principles. It measures prudent interpretation of high scores in real decisions.,Interpretive caveats for high FSIQ: recognizing twice-exceptionality and non-IQ moderators in gifted identification decisions
PQ_DBD-03_13,This item is Application because the student must form an initial interpretation from a multi-index profile and avoid premature diagnostic conclusions. The task emphasizes pattern interpretation hierarchy.,"Initial profile synthesis from multi-index WISC patterns, distinguishing relative strengths/weaknesses from diagnostic claims"
PQ_DBD-03_14,This is Application because the respondent must choose the method that most directly operationalizes adaptive functioning in standardized practice. It requires comparing method validity for construct coverage.,Measurement-method validity for adaptive behavior: standardized multi-informant scales versus unstructured observation/interview approaches
PQ_DBD-03_15,This question is Application because test selection must be adapted to motor-access constraints while preserving cognitive construct validity. The student applies accommodation logic to instrument choice.,Accessible cognitive battery selection for severe motor impairment while minimizing construct-irrelevant motor demands
PQ_DBD-03_16,"This is Application because the examinee must manage subtest scatter using psychometric decision rules, beginning with composites and significance checks. The core skill is disciplined profile interpretation under variability.",Interpretation protocol for high subtest scatter: composite-first analysis with statistical significance and error considerations
PQ_DBD-03_17,"This item is Application because it asks which additional evidence is mandatory under IDEA criteria for ID decisions. The student must apply legal-diagnostic requirements, not just recall test names.",IDEA-aligned evidence requirements for intellectual disability: necessity of adaptive behavior deficits alongside low intellectual functioning
PQ_DBD-03_18,This is Application because the respondent must infer functional implications from uneven cognitive domains and avoid global-deficit conclusions. It tests profile-based reasoning about performance demands.,Interpretation of WM/processing-speed weaknesses with intact reasoning to predict task-demand vulnerabilities under time and load
PQ_DBD-03_19,This question is Application because the student must identify the statistic that communicates individual-score uncertainty in reporting practice. The item targets practical translation of psychometric error into reports.,Score-reporting standards for individual uncertainty: mandatory confidence intervals or SEM around FSIQ estimates
PQ_DBD-03_20,"This is Application because interpretation of score change across years requires considering developmental, contextual, and measurement sources before concluding decline. The student applies longitudinal inference caution.","Longitudinal IQ change interpretation using retest variability, contextual influences, and measurement error rather than deterministic decline conclusions"
item_007,This is Application because the respondent must interpret discrepant multi-rater adaptive ratings and identify the most plausible source of variance. The task involves judgment about informant effects in ecological assessment.,"Inter-rater variance interpretation in adaptive behavior scales, emphasizing informant perception differences versus true cross-setting skill shifts"
item_021,This item is Application because the student must interpret a standard scores location on the normative distribution and connect it to classification language. It requires using score metrics in a diagnostic context.,Norm-referenced interpretation of very low cognitive standard scores relative to mean and intellectual disability classification thresholds
item_025,This is Application because the examinee must evaluate a verbal-nonverbal split for statistical versus clinical significance while integrating referral context. It tests restraint against overinterpreting isolated discrepancies.,Clinical significance judgment for moderate verbal-nonverbal discrepancies and need for converging evidence in SLD hypothesis testing
item_034,This question is Application because the student must choose the most appropriate instrument for deaf or non-English learners based on language loading and construct access. It requires fairness-informed test selection.,Selection of language-reduced nonverbal intelligence measures for equitable cognitive assessment of deaf and multilingual students
item_043,This is Recall because it asks for the fundamental distinction between cognitive and achievement testing purposes. The answer depends on retrieving definitional role differences between assessment types.,Conceptual distinction between cognitive ability testing (why performance difficulties occur) and achievement testing (what has been learned)
item_051,This item is Application because it requires mapping a specific subtest format (Matrices) to the underlying cognitive process it most strongly samples. The student applies theory-to-subtest interpretation.,"Association of matrices tasks with fluid, nonverbal inductive reasoning processes in mainstream cognitive batteries"
item_052,This is Application because the student must determine best-practice timing conditions for formal testing to maximize ecological validity and representativeness. The decision depends on applied administration principles.,Standardized administration context principles: testing during typical routine conditions to improve representativeness of formal cognitive performance
item_055,"This is Recall because the question asks which score level is generally most valid and reliable, a core psychometric principle. Success is based on retrieving score-hierarchy knowledge.",Psychometric score hierarchy knowledge: global/full-scale scores as typically more stable and interpretable than narrower indicators
item_105,This item is Application because it requires linking a named instrument to its theoretical foundation among competing plausible batteries. The student must apply model-instrument correspondence knowledge.,Identification of CAS as the cognitive battery grounded in PASS and Lurian neuropsychological theory
item_107,"This is Recall because the task is to identify which listed broad ability is not in CHC, a categorical knowledge check. It primarily assesses accurate model-component retrieval.",Boundary knowledge of CHC broad abilities and differentiation from PASS constructs such as simultaneous processing
item_114,This item is Application because the respondent must select the commonly used gifted signal threshold for full-scale scores within practical school decision norms. It applies benchmark knowledge to classification context.,Use of conventional full-scale IQ cut points for preliminary gifted identification decisions in school psychology practice
item_149,This is Application because the student must choose the correct communication sequence for explaining WISC findings to parents based on psychometric interpretability hierarchy. It tests applied reporting practice.,Parent-facing results communication protocol: global-score-first interpretation followed by major index pattern explanation
item_168,This question is Application because the student must classify an FSIQ of 113 within normative bands while considering profile consistency and SEM context. The answer requires quantitative interpretation in case formulation.,Classification of full-scale cognitive scores into normative descriptive ranges using SEM-informed interpretation within case-based psychoeducational reporting
