"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_FAM-02_11","This is an Application item because the stem presents a transition-planning context ('A 16-year-old with an IEP is approaching graduation') and asks what the school psychologist's role 'should include.' The student must apply transition-planning best practices and student-centered planning principles to select appropriate role scope.","Student-centered transition planning: student and family voice inclusion, cross-agency coordination, and preference-assessment primacy"
"PQ_FAM-02_12","This is an Application item because the stem embeds an organizational context ('A school is implementing a wraparound services model') and asks how the school psychologist's role is 'best described.' The student must apply wraparound-coordination principles to select the appropriate role within a multi-system service structure.","Wraparound service coordination: cross-system assessment, family-centered planning facilitation, and school psychology liaison function"
"PQ_FAM-02_13","This is an Application item because the stem presents a family engagement challenge ('A family has been consistently difficult to reach') and requires selecting appropriate pre-judgment diagnostic thinking. The student must apply barrier-analysis frameworks and culturally responsive engagement principles before labeling family involvement.","Family engagement barriers: transportation and scheduling obstacles, trust and institutional-experience factors, and culturally responsive solution-adaptation"
"PQ_FAM-02_14","This is an Application item because the stem presents a communication context (discussing disability diagnosis) and asks what 'the school psychologist should' do, requiring selection of effective communication strategy. The student must apply principles of accessible communication, family understanding, and strength-based framing.","Disability diagnosis communication: jargon reduction, accuracy preservation, strength-and-challenge balance, and informed-decision support"
"PQ_FAM-02_15","This is an Application item because the stem embeds a parent-belief conflict ('My child just needs to try harder') and requires selecting the psychologist's most appropriate response. The student must apply collaborative problem-solving and parent engagement strategies to address conflicting interpretations.","Parent belief clarification and evaluation justification: specific observation sharing, concern exploration, and shared-understanding negotiation"
"PQ_FAM-02_16","This is an Application item because the stem asks 'Which component is essential for meaningful family engagement' according to research, requiring identification of evidence-based partnership characteristics. The student must distinguish genuine shared decision-making from token participation or standardized approaches.","Genuine family influence in school decisions: meaningful power-sharing, non-tokenistic participation, and family-determined priorities recognition"
"PQ_FAM-02_17","This is an Application item because the stem embeds a request-acceptance decision ('family requests a specific community member as interpreter') requiring evaluation of interpreter qualification and role appropriateness. The student must apply both accessibility-accommodation and professional-standards principles.","Community interpreter qualification evaluation: formal training-credential assessment, professional confidentiality-obligation capacity, and family-preference accommodation"
"PQ_FAM-02_18","This is a Recall item because the stem asks 'Parent training programs are most effective when they' with straightforward principle-identification boundaries. The student retrieves the research-based characteristic (family-identified priorities and co-design involvement) versus confusing effectiveness with standardization or professional-only design.","Evidence-based parent-training program features: family-priority responsiveness, collaborative design participation, and program-evaluation inclusion"
"PQ_FAM-02_19","This is an Application item because the stem asks for 'a key indicator that a school has developed genuine family resilience partnerships' requiring the student to distinguish strength-based, asset-focused approaches from problem-identification or professional-determination models. Identifying resilience-partnership markers requires conceptual discrimination.","Family resilience partnership indicators: family-strength identification, existing-competency and resource centering, and strength-based intervention building"
"PQ_FAM-02_20","This is an Application item because the stem presents a feedback-communication context (assessment results about learning disability) and asks 'Which approach best supports family understanding and partnership,' requiring selection of accessible and collaborative communication strategy. The student must apply principles of clarity, completeness, and equal engagement.","Assessment result communication to families: technical-jargon elimination, strength-and-challenge dual presentation, and interactive-dialogue facilitation"
"item_040","This is a Recall item because the stem asks 'Which one of the following is not a type of engagement' with a straightforward definitional boundary about engagement categories. The student retrieves the established taxonomy (cognitive, emotional, behavioral engagement) and identifies the excluded option (social) as non-standard terminology.","Engagement types taxonomy: cognitive, emotional, behavioral dimension recognition and social-versus-interpersonal terminology distinction"
"item_192","This is a Recall item because the stem asks 'what is another factor in student success or failure' beyond the specified factors, requiring retrieval of accepted factors without interpreting case context or competing priorities. The student identifies family involvement as evidence-based factor from a straightforward list.","Student success factors beyond school-internal variables: family involvement recognition as documented predictor of academic and behavioral outcomes"
