"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_CON-01_14","This is an Application item because the learner must choose an implementation strategy that increases treatment integrity in practice. It requires applying fidelity-support principles, not merely naming integrity.","Intervention integrity enhancement methods: explicit procedures, direct adherence observation, and performance feedback to consultees"
"PQ_CON-01_15","This is an Application item because the case includes skeptical staff and asks for the first consultant move. Correct response requires choosing engagement and concern-mapping before advocacy or rollout tactics.","Early-stage change consultation in resistant systems: eliciting stakeholder beliefs and prior initiative experiences to build readiness"
"PQ_CON-01_16","This is an Application item because the prompt asks what principle is reflected by a specific interview move. The student maps consultant language to a collaboration stance that centers teacher expertise.","Consultee-as-context-expert principle during entry: leveraging teacher experiential knowledge to ground joint problem formulation"
"PQ_CON-01_17","This is an Application item because it asks what to do after reported nonresponse, requiring process-based decision making. The student must check fidelity and outcome data before changing interventions.","Data-based post-implementation decision rule: verify treatment fidelity and response metrics prior to intervention modification"
"PQ_CON-01_18","This is a Recall item because it explicitly asks for the statement that best distinguishes two consultation models. The task is retrieving the defining contrast in model focus.","Canonical distinction between behavioral and consultee-centered consultation: student behavior analysis target versus consultee capacity target"
"PQ_CON-01_19","This is an Application item because the teacher's punitive question must be interpreted as evidence about consultation progress. The student infers an unlearned function-based framework from the teacher's proposed action.","Detection of incomplete function-based consultation uptake from teacher preference for punitive consequence-only responses"
"PQ_CON-01_20","This is an Application item because the learner must interpret home-school behavior discrepancies using CBC logic. It requires selecting contextual antecedent-consequence explanations over blame or pathology assumptions.","Cross-setting behavior interpretation in CBC: using environmental contingencies to explain discrepant parent and teacher reports"
"item_003","This is an Application item because it asks for best-practice guidance in a controversial curriculum adoption scenario. The student must apply consultation process principles to stakeholder participation planning.","Stakeholder-engagement practice in school consultation: ensuring structured parent voice during decision-making phases of initiative adoption"
"item_015","This is an Application item because the student must identify which option is not one of PLC's three core guiding questions. Success requires applying framework knowledge to discriminate close alternatives.","Knowledge of Professional Learning Community guiding-question framework and exclusion of non-core operational data-management prompts"
"item_032","This is an Application item because it asks for the best starting approach in a teacher consultation context. The student applies consultation stance principles, prioritizing nonhierarchical collaboration over model-name distractors.","Entry-phase consultation stance selection: nonhierarchical collaborative partnering as default approach for classroom problem solving"
"item_068","This is an Application item because the scenario requires recognizing the model inferred from reduced referrals after teacher skill-building. The student must link outcomes to indirect service logic.","Recognition of consultee-centered service delivery where consultant intervention builds teacher management capacity and reduces referrals"
"item_091","This is a Recall item because it asks which traits research identifies as key home-school partnership elements. The answer is a direct retrieval of core relational components.","Research-based relational foundations of home-school partnerships: sensitivity, trust, and respect as central collaboration elements"
"item_201","This is an Application item because the learner must judge which trait set best predicts consultation success in professional contexts. It requires prioritizing foundational alliance variables among plausible options.","Consultation relationship efficacy predictors: empathic stance and trustworthiness as primary traits for productive professional collaboration"
"item_202","This is an Application item because the task is selecting the correct ordered steps in the behavioral consultation model. The student applies procedural sequence knowledge to distinguish near-correct options.","Behavioral consultation procedural sequence mastery: problem identification followed by plan implementation, monitoring, and evaluation"
"item_203","This is an Application item because the student must choose the model associated with future-oriented teacher skill development. The response depends on applying model-purpose distinctions, not mere vocabulary.","Model-purpose mapping for consultation: identifying consultee-centered approach as mechanism for durable teacher problem-solving skill acquisition"
"item_204","This is an Application item because the case requires classifying a service-delivery pattern based on who receives direct intervention. The student applies role distinctions between client and consultee targets.","Service-delivery target discrimination: identifying client-centered consultation when psychologist directly teaches student self-regulation skills"
"item_205","This is an Application item because the scenario includes multiple stakeholders and asks for the named special consultation type. The student must infer model identity from team composition and focus.","Conjoint behavioral consultation identification from multi-stakeholder meeting structure addressing shared student behavior concerns"
"item_206","This is an Application item because it asks for the first step during a consultation case conference. Correct responding requires process-order prioritization before data review and intervention discussion.","Initial-step prioritization in behavioral consultation meetings: precise problem definition before records review or intervention planning"
"item_207","This is an Application item because the learner evaluates which listed factor is not a common consultation barrier. The task requires applying barrier taxonomy to detect the exception.","Consultation barrier taxonomy: differentiating relational and goal-clarity obstacles from non-typical financial constraints in school settings"
"item_208","This is an Application item because the student must select the NASP-endorsed model among alternatives with similar wording. The choice requires applying professional-practice consensus knowledge to model selection.","NASP-endorsed consultation model recognition: privileging consultee-centered practice for scalable, capacity-building school support"
"item_229","This is an Application item because the question asks for the best response to barriers to systems change agency. The student applies integrative judgment that multiple listed obstacles are simultaneously valid.","Systems-change barrier synthesis for school psychologists: time/resources, assessment-priority pressures, and equity-related bias constraints"
