"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_ETH-01_11","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Structured ethical decision-making, competing-duty analysis, and defensible documentation; applied to 'A school psychologist is consulted by a teacher about a student's behavior' scenario discrimination"
"PQ_ETH-01_12","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Structured ethical decision-making, competing-duty analysis, and defensible documentation; applied to 'A parent offers to trade childcare services for the school psychologist's assessment' scenario discrimination"
"PQ_ETH-01_13","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Structured ethical decision-making, competing-duty analysis, and defensible documentation; applied to 'A school psychologist becomes burnt out and considers leaving the profession. From' scenario discrimination"
"PQ_ETH-01_14","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","Structured ethical decision-making, competing-duty analysis, and defensible documentation; applied to 'An ethical decision-making model typically includes these steps' scenario discrimination"
"PQ_ETH-01_15","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Structured ethical decision-making, competing-duty analysis, and defensible documentation; applied to 'A school psychologist learns that a student has made a threat of' scenario discrimination"
"PQ_ETH-01_16","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Structured ethical decision-making, competing-duty analysis, and defensible documentation; applied to 'A school psychologist receives a request for educational records from a student's' scenario discrimination"
"PQ_ETH-01_17","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","Structured ethical decision-making, competing-duty analysis, and defensible documentation; applied to 'Supervision of a school psychologist intern or trainee requires' scenario discrimination"
"PQ_ETH-01_18","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Structured ethical decision-making, competing-duty analysis, and defensible documentation; applied to 'A school psychologist is invited to serve on a committee that will' scenario discrimination"
"PQ_ETH-01_19","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Structured ethical decision-making, competing-duty analysis, and defensible documentation; applied to 'A school psychologist receives a subpoena for a student's records in a' scenario discrimination"
"PQ_ETH-01_20","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Structured ethical decision-making, competing-duty analysis, and defensible documentation; applied to 'According to NASP ethics, when a school psychologist disagrees with a team' scenario discrimination"
"item_031","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Structured ethical decision-making, competing-duty analysis, and defensible documentation; applied to 'A school psychologist's duties are not solely devoted to special education students' scenario discrimination"
"item_044","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Structured ethical decision-making, competing-duty analysis, and defensible documentation; applied to 'A school psychologist has found out that another psychologist has violated an' scenario discrimination"
"item_047","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Structured ethical decision-making, competing-duty analysis, and defensible documentation; applied to 'A high school student is in the office requesting to see the' scenario discrimination"
"item_048","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","Structured ethical decision-making, competing-duty analysis, and defensible documentation; applied to 'At what point in a counseling relationship do you explain the limitations' scenario discrimination"
"item_079","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Structured ethical decision-making, competing-duty analysis, and defensible documentation; applied to 'A teacher resides in the community where he teaches. One evening, he' scenario discrimination"
"item_081","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Structured ethical decision-making, competing-duty analysis, and defensible documentation; applied to 'When should a school psychologist suggest exploring more information regarding medication for' scenario discrimination"
"item_084","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","Structured ethical decision-making, competing-duty analysis, and defensible documentation; applied to 'Regarding suspected child abuse cases, all school employees must do which of' scenario discrimination"
"item_101","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Structured ethical decision-making, competing-duty analysis, and defensible documentation; applied to 'A school psychologist works for a rural school district with a low' scenario discrimination"
"item_154","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Structured ethical decision-making, competing-duty analysis, and defensible documentation; applied to 'When initially entering into a mental health counseling situation with a student' scenario discrimination"
"item_210","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Structured ethical decision-making, competing-duty analysis, and defensible documentation; applied to 'A school psychologist works as a private practitioner and is also employed' scenario discrimination"
"item_212","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Structured ethical decision-making, competing-duty analysis, and defensible documentation; applied to 'Catherine is a school psychologist who has been practicing for 3 years' scenario discrimination"
"item_214","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Structured ethical decision-making, competing-duty analysis, and defensible documentation; applied to 'Aversive behavior modification techniques and restraining are legal in some states. What' scenario discrimination"
"item_215","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Structured ethical decision-making, competing-duty analysis, and defensible documentation; applied to 'During a confidential counseling situation, a high school student informs the school' scenario discrimination"
