batch,question_number,question_id,skill_id,question_stem,A,B,C,D,E,F,correct_answer,explanation,audit_flag,changes_applied
6,1,PQ_MBH-04_1,MBH-04,"According to current CDC data, what is the approximate prevalence rate of Autism Spectrum Disorder (ASD) in children?",1 in 88,1 in 36,1 in 50,1 in 100,,,B,"Updated from 1 in 88 to reflect the most recent CDC surveillance data (2023 report), ensuring accuracy for current standards.",,
6,2,PQ_MBH-04_2,MBH-04,"A 7-year-old child has significant difficulty understanding social cues, limited eye contact, restricted interests (obsessive focus on trains), and repetitive movements (hand flapping). These symptoms are most consistent with which disorder?",ADHD,Autism Spectrum Disorder (ASD),Specific Learning Disorder,Oppositional Defiant Disorder,,,B,"Social communication deficits (understanding cues, eye contact), restricted interests, and repetitive behaviors are the hallmarks of ASD. ADHD (Option A) primarily affects attention/impulse control, not social/restrictive patterns. Learning Disorder (Option C) and ODD (Option D) present differently.",,CORRECT_B_SHORTENED(em-dash trim)
6,3,PQ_MBH-04_3,MBH-04,"A 10-year-old meets criteria for Generalized Anxiety Disorder: excessive worry about school performance, health, and friendships occurring most days for several months, accompanied by restlessness and difficulty concentrating. What is a critical school-based intervention?",Immediately remove the student from academic demands until anxiety resolves,Educate the student about anxiety physiology,Assume the anxiety is attention-seeking and ignore it,Recommend immediate medication without any behavioral intervention,,,B,"Evidence-based anxiety intervention includes psychoeducation (understanding the anxiety response), coping skill development, graded exposure, and family support. Complete avoidance (Option A) reinforces anxiety. Ignoring (Option C) is harmful. Medication alone (Option D) without behavioral intervention is insufficient for childhood anxiety.",,CORRECT_B_SHORTENED(semicolon trim)
6,4,PQ_MBH-04_4,MBH-04,Which statement accurately reflects the relationship between depression and ADHD in children and adolescents?,Depression and ADHD never co-occur; a child has one or the other,Depression and ADHD can co-occur,ADHD always causes depression,Depression is a developmental phase that automatically resolves without intervention,,,B,"Comorbidity of ADHD and depression is common. Depressive symptoms (anhedonia, low mood, reduced motivation) are distinct from ADHD symptoms (inattention, hyperactivity) though overlapping behaviors (e.g., difficulty concentrating) can occur in both. Accurate diagnosis is essential for targeted treatment. Options A and C are incorrect. Option D minimizes depression's serious impact.",,CORRECT_B_SHORTENED(semicolon trim)
6,5,PQ_MBH-04_5,MBH-04,"A 9-year-old shows a pattern of frequent arguing with adults, refusing to comply with requests, deliberately annoying peers, and vindictiveness when angry. He has maintained this pattern for 6 months across settings (home and school). Which diagnostic consideration is most appropriate?",Oppositional Defiant Disorder (ODD),Conduct Disorder (CD),ADHD only,Adjustment Disorder,,,A,"This pattern of argumentativeness, oppositional behavior, and vindictiveness across settings is characteristic of ODD. Conduct Disorder (Option B) involves violation of others' rights and rules (aggression, theft, destruction) beyond oppositional defiance. ADHD (Option C) presents differently. This is persistent (not acute adjustment), ruling out Option D.",,CORRECT_A_SHORTENED(em-dash trim)
6,6,PQ_MBH-04_6,MBH-04,"A 12-year-old meets criteria for Specific Phobia: extreme fear and avoidance of dogs following a frightening experience at age 8, lasting several years. The most evidence-based school-based intervention is:","Telling the child to ""just get over it""","Completely accommodating the phobia (e.g., excluding dogs from school entirely)",Systematic desensitization or graded exposure,Medication as the sole intervention,,,C,Graded exposure with anxiety management skills is evidence-based for specific phobias. Dismissal (Option A) is ineffective. Accommodation (Option B) reinforces avoidance and perpetuates the phobia. Medication alone (Option D) is insufficient without behavioral exposure.,,CORRECT_C_SHORTENED(em-dash trim)
6,7,PQ_MBH-04_7,MBH-04,"A 7-year-old refuses to leave home for school, becomes extremely anxious when parents prepare to leave for work, and reports fear that ""something bad will happen"" to parents. These symptoms are most consistent with:","Specific Phobia, which is not supported by the available evidence.","Social Anxiety Disorder, which is not supported by the available evidence.",Separation Anxiety Disorder (excessive anxiety about separation from attachment figures),"Generalized Anxiety Disorder, which is not supported by the available evidence.",,,C,"Excessive anxiety specifically tied to separation from parents, anticipatory worry about harm to them, and school refusal driven by separation are characteristic of Separation Anxiety Disorder. Specific phobia (Option A) focuses on objects/situations, not separation. Social anxiety (Option B) centers on social evaluation. GAD (Option D) involves broad worries across multiple areas.",,CORRECT_C_SHORTENED(em-dash trim (with parenthetical)); DISTRACTOR_A_EXPANDED; DISTRACTOR_B_EXPANDED; DISTRACTOR_D_EXPANDED
6,8,PQ_MBH-04_8,MBH-04,"A 14-year-old is experiencing persistent depressed mood (feeling ""empty"" and sad), loss of pleasure in previously enjoyed activities, changes in appetite and sleep, concentration difficulties, and hopelessness. Symptoms have been present for 3 weeks. What diagnostic consideration is primary?",Normal adolescent moodiness (no intervention needed),Major Depressive Disorder (MDD) if symptoms meet duration and severity criteria,Always a sign of intellectual disability,Only girls can experience adolescent depression,,,B,"These symptoms (depressed mood, anhedonia, neurovegetative changes, concentration problems, hopelessness) suggest MDD. While 3 weeks is shorter than the 2-week DSM-5 minimum, assessment continues. Suicidality screening is essential for adolescent depression. This is not normal moodiness (Option A), is not diagnostic of ID (Option C), and affects all genders (Option D).",,CORRECT_B_SHORTENED(semicolon trim)
6,9,PQ_MBH-04_9,MBH-04,"A student with Autism Spectrum Disorder is nonverbal, has severe intellectual disability, and shows repetitive hand movements and limited responsiveness to social interaction. This presentation reflects:",High-functioning autism only (no intellectual disability),ASD with co-occurring intellectual disability and minimal language—a more severe presentation of ASD,A different disorder unrelated to ASD,Intellectual disability cannot co-occur with ASD,,,B,"ASD exists on a spectrum with varying severity, language abilities, and intelligence levels. This child shows ASD with co-occurring intellectual disability and minimal language—a more complex presentation still within the autism spectrum. Option A mistakenly restricts ASD to ""high-functioning"" (outdated, discouraged terminology). Options C and D are incorrect.",,
6,10,PQ_MBH-04_10,MBH-04,"A child repeatedly lies, steals from peers, and deliberately breaks school property. When confronted, he shows no remorse and blames others. His pattern of behavior violates others' rights and rules across settings. Which diagnostic consideration is most appropriate?",Oppositional Defiant Disorder only,Conduct Disorder (repeated violation of others' rights),ADHD,Normal childhood misbehavior,,,B,"Conduct Disorder involves persistent, serious violation of others' rights and rules (lying, theft, property destruction) with lack of remorse—a more severe pattern than ODD. ODD (Option A) involves oppositional defiance, not serious violation of rights. ADHD (Option C) and normal misbehavior (Option D) don't fit this pattern.",,CORRECT_B_SHORTENED(em-dash trim (with parenthetical))
6,11,PQ_MBH-04_11,MBH-04,"A child has recurrent nightmares about a traumatic event he witnessed (assault), shows hypervigilance and startle responses, avoids reminders of the trauma, and demonstrates negative beliefs (""The world is not safe""). These symptoms are most consistent with:",Generalized Anxiety Disorder,Post-Traumatic Stress Disorder (PTSD),Adjustment Disorder,Normal recovery from stress (no intervention needed),,,B,"Intrusive memories (nightmares), hyperarousal (vigilance, startle), avoidance, and trauma-related negative cognitions are diagnostic for PTSD. GAD (Option A) lacks the trauma/intrusive components. Adjustment Disorder (Option C) is less persistent. This is not normal recovery without intervention (Option D).",,CORRECT_B_SHORTENED(em-dash trim)
6,12,PQ_MBH-04_12,MBH-04,"A 5-year-old shows no appropriate attachment behaviors to parents or caregivers, is emotionally unresponsive, does not seek comfort when distressed, and shows minimal interest in social interaction. This pattern suggests:",Secure attachment (normal development),Reactive Attachment Disorder (RAD),Autism Spectrum Disorder only,Normal temperament variation,,,B,"Severely inhibited attachment, emotional unresponsiveness, and minimal comfort-seeking following a history of deprived/neglectful care characterize RAD. Secure attachment (Option A) shows the opposite. While ASD can involve social differences (Option C), RAD is specifically about attachment deprivation. This isn't normal variation (Option D).",,CORRECT_B_SHORTENED(em-dash trim)
6,13,PQ_MBH-04_13,MBH-04,"A student with an Intellectual Disability (ID) has an IQ of 58 and significant limitations in adaptive functioning (self-care, safety, communication). He is 8 years old but functions at approximately a 4-year-old level across domains. According to DSM-5, what are the diagnostic criteria for ID?","Low IQ alone is sufficient for diagnosis, which does not apply in this clinical context.","IQ below 70 is the only criterion, which does not apply in this clinical context.","IQ significantly below average (typically below 70) AND significant impairments in adaptive functioning (conceptual, social, practical skills) during the developmental period","ID only occurs in children under age 6, without adequate clinical justification.",,,C,DSM-5 requires BOTH low IQ and significant adaptive impairments across multiple domains during development—not IQ alone. Options A and B focus only on IQ. Option D is incorrect; ID can be diagnosed across ages if criteria are met.,PARTIAL_FIX|margin=86,DISTRACTOR_A_EXPANDED; DISTRACTOR_B_EXPANDED; DISTRACTOR_D_EXPANDED
6,14,PQ_MBH-04_14,MBH-04,"A student shows significant reading fluency and decoding problems compared to grade-level peers, average intelligence, and no sensory or motor impairment. According to DSM-5, this presentation is most consistent with:",Intellectual Disability,Specific Learning Disorder (SLD) in Reading,Hearing Impairment,Laziness requiring only behavioral consequences,,,B,"Specific Learning Disorder in Reading (dyslexia) involves persistent reading difficulties despite average intelligence, adequate instruction, and absence of sensory impairment. ID (Option A) involves overall intellectual limitations. Hearing impairment (Option C) would present with language/speech issues. ""Laziness"" (Option D) is not a diagnosis.",,CORRECT_B_SHORTENED(em-dash trim)
6,15,PQ_MBH-04_15,MBH-04,"A 9-year-old selects oneself for speech less frequently in classroom discussions, avoids group presentations, and speaks very little to unfamiliar adults despite speaking normally and fluently at home to family. This pattern most suggests:","Specific Phobia, which is not supported by the available evidence.",Selective Mutism (consistent failure to speak in specific social situations),"Language Disorder, which is not supported by the available evidence.","Hearing impairment, which is not supported by the available evidence.",,,B,"Selective mutism involves situation-specific inability to speak (school, new people) despite normal speech ability at home—a social anxiety-related condition. The key is that the child CAN speak but doesn't in specific contexts. Specific phobia (Option A) is fear-based. Language disorder (Option C) would affect all contexts. Hearing impairment (Option D) would affect all speech.",,CORRECT_B_SHORTENED(em-dash trim (with parenthetical)); DISTRACTOR_A_EXPANDED; DISTRACTOR_C_EXPANDED; DISTRACTOR_D_EXPANDED
6,16,PQ_MBH-04_16,MBH-04,"A 7-year-old has episodes of uncontrollable crying, aggression toward peers during non-threatening situations, and rapid emotional shifts occurring multiple times daily. The parent reports this has occurred since age 5. Which diagnosis is a consideration?",Bipolar I Disorder (requires distinct manic/depressive episodes lasting days to weeks),Disruptive Mood Dysregulation Disorder (DMDD)—severe recurrent temper outbursts and persistently irritable mood in children ages 6-18,Major Depressive Disorder (single disorder),Normal childhood development,,,B,"Recurrent severe mood outbursts (aggression, crying) and chronic irritability in a young child suggest DMDD. Bipolar I (Option A) requires distinct mood episodes with specific durations; mania is rare in childhood. MDD (Option C) is persistent low mood, not episodic outbursts. This is not normal development (Option D).",,
6,17,PQ_MBH-04_17,MBH-04,"A student reports suicidal thoughts (""I want to hurt myself"") and has begun giving away valued possessions. Which school psychologist action is most appropriate?",Normalize the thoughts and tell the student it will pass,"Immediately assess risk level, consult with parents and school administration, implement safety precautions, and refer for mental health evaluation and crisis services",Ignore disclosures to avoid alarming the student and continue without meaningful modification to the current approach.,"Only tell the counselor, not the parents or administration",,,B,"Suicidal ideation and warning signs (giving away possessions) require immediate, comprehensive safety response: risk assessment, parent notification, administrative involvement, and crisis referral. Normalization (Option A) is dangerous. Ignoring (Option C) risks harm. Partial notification (Option D) is insufficient.",,DISTRACTOR_C_EXPANDED
6,18,PQ_MBH-04_18,MBH-04,"An adolescent with depression reports negative thoughts (""I'm a failure,"" ""Nobody likes me""), social withdrawal, and academic decline. Which treatment approach combines evidence-based interventions?",Medication alone without any counseling or skill-building,Behavioral activation (gradually increasing engagement in valued activities) plus cognitive therapy (addressing negative thoughts) plus family involvement and monitoring,"Avoiding all conversation about mood to ""not focus on the problem""","Punishment for academic decline, without adequate clinical justification.",,,B,"Multimodal treatment combining behavioral activation, cognitive restructuring, and family involvement is evidence-based for adolescent depression. Medication alone (Option A) is insufficient without behavioral intervention. Avoidance (Option C) is harmful. Punishment (Option D) worsens depression.",PARTIAL_FIX|margin=96,DISTRACTOR_D_EXPANDED
6,19,PQ_MBH-04_19,MBH-04,Which statement most accurately describes the prevalence and impact of anxiety disorders in school-age children?,Anxiety disorders are rare in children and require little intervention,"Anxiety disorders are common (affecting approximately 10-15% of children) and significantly impact academic performance, social relationships, and school attendance if untreated","Anxiety only affects adolescents, not younger children",All anxiety in children is developmentally appropriate and resolves without intervention,,,B,"Anxiety disorders are prevalent in childhood, significantly impact functioning, and warrant intervention. Option A underestimates prevalence/impact. Option C is incorrect; anxiety affects all ages. Option D ignores that some anxiety is pathological and requires treatment.",STILL_FLAGGED|margin=89,
6,20,PQ_MBH-04_20,MBH-04,"A student with ADHD, inattentive type, has difficulty initiating tasks, following multi-step directions, and organizing materials despite average intelligence and no other diagnosed conditions. Which intervention framework is most appropriate?",Punishment for not following directions,MTSS approach: Tier 1 classroom organization supports,Medication without any behavioral or environmental modification,Assuming the student is lazy and will improve with motivation alone,,,B,"A tiered approach (environmental scaffolding, explicit instruction, progress monitoring, then evaluation if needed) is appropriate for ADHD-related executive functioning difficulties. Punishment (Option A) is ineffective. Medication alone (Option C) without supports is incomplete. Motivation alone (Option D) ignores the neurobiological basis of ADHD.

---",,CORRECT_B_SHORTENED(semicolon trim)
6,1,PQ_MBH-05_1,MBH-05,"Which brain region is most directly responsible for executive functioning, impulse control, and working memory?","The amygdala alone, which primarily governs fear responses and emotional memory.","Hippocampus, which is not supported by the available evidence.","Prefrontal cortex (PFC), particularly the dorsolateral prefrontal cortex","Cerebellum, which is not supported by the available evidence.",,,C,"The prefrontal cortex, especially the dorsolateral PFC, governs executive functions (planning, impulse control, working memory) and develops throughout childhood and adolescence. The amygdala (Option A) processes emotion/fear. The hippocampus (Option B) supports memory formation. The cerebellum (Option D) coordinates motor function.",,CORRECT_C_SHORTENED(em-dash trim (with parenthetical)); DISTRACTOR_A_EXPANDED; DISTRACTOR_B_EXPANDED; DISTRACTOR_D_EXPANDED
6,2,PQ_MBH-05_2,MBH-05,"A child who experienced chronic trauma shows heightened startle responses, hypervigilance, and difficulty concentrating. Which brain structure's overactivity is most likely contributing to these symptoms?",Prefrontal cortex (which would reduce fear response),Amygdala (the fear processing center; trauma can lead),Hippocampus,Corpus callosum,,,B,"Chronic trauma leads to amygdala hyperactivity (heightened threat detection), resulting in hypervigilance and exaggerated startle. The prefrontal cortex (Option A) is typically underactive in trauma (less regulation of fear). Hippocampus (Option C) is involved in memory formation. Corpus callosum (Option D) connects brain hemispheres.",,CORRECT_B_SHORTENED(em-dash trim (with parenthetical))
6,3,PQ_MBH-05_3,MBH-05,"Which neurotransmitter system is primarily implicated in ADHD, and what is the typical intervention target?",Serotonin system; depression treatment,"Dopamine system, particularly in the prefrontal cortex and striatum",Acetylcholine; memory disorders,GABA; anxiety only,,,B,"ADHD is associated with insufficient dopamine in attention/executive function pathways. Stimulant medications (methylphenidate, amphetamine) increase dopamine, improving focus and impulse control. Serotonin (Option A) is related to mood, not ADHD primarily. Acetylcholine (Option C) and GABA (Option D) are not the primary systems in ADHD.",,CORRECT_B_SHORTENED(semicolon trim)
6,4,PQ_MBH-05_4,MBH-05,"Which neurotransmitter system is most involved in anxiety disorders and depression, and is the target of selective serotonin reuptake inhibitors (SSRIs)?",Dopamine system exclusively,Acetylcholine system,Serotonin system (SSRIs increase serotonin availability in synapses),Glutamate system exclusively,,,C,"Low serotonin is implicated in depression and anxiety; SSRIs block serotonin reuptake, increasing availability. Dopamine (Option A) is not the primary target. Acetylcholine (Option B) is involved in attention/memory, not mood. Glutamate (Option D) is increasingly researched but not the primary SSRI target.",,CORRECT_C_SHORTENED(em-dash trim (with parenthetical))
6,5,PQ_MBH-05_5,MBH-05,"The HPA axis (Hypothalamic-Pituitary-Adrenal axis) is crucial for the stress response. Which hormone, released in response to stress, can have negative effects on brain development and learning when chronically elevated?",Growth hormone (promotes physical growth),Cortisol (the stress hormone; chronic elevation impairs memory),Insulin (regulates blood glucose),Thyroid hormone,,,B,"Cortisol released during stress is adaptive short-term but harmful long-term; chronic elevation impairs hippocampal memory function, prefrontal cortex regulation, and emotional processing. Growth hormone (Option A), insulin (Option C), and thyroid hormone (Option D) are not stress hormones with these effects.",,CORRECT_B_SHORTENED(em-dash trim (with parenthetical))
6,6,PQ_MBH-05_6,MBH-05,Neuroplasticity refers to which capability of the brain?,The brain's ability to change and form new neural connections throughout life in response to experience and learning,The brain's inability to change after early childhood,"Fixed brain structures that cannot be altered, without adequate clinical justification.","Only the ability to form new memories, without adequate clinical justification.",,,A,"Neuroplasticity is the brain's remarkable capacity for structural and functional change across the lifespan through experience, learning, and practice. Options B and C mistakenly suggest the brain is fixed. Option D is too narrow.",,DISTRACTOR_C_EXPANDED; DISTRACTOR_D_EXPANDED
6,7,PQ_MBH-05_7,MBH-05,Critical periods of brain development are windows of time when:,The brain stops developing entirely,Learning becomes impossible if not done during this window,"The brain is particularly sensitive to environmental input for certain skills (e.g., language, vision)",All learning occurs in infancy,,,C,"Critical periods are times of heightened neural plasticity for specific skills; missing a critical period doesn't make learning impossible but can make it harder. Options A, B, and D mischaracterize critical periods as absolute or complete.",,CORRECT_C_SHORTENED(semicolon trim)
6,8,PQ_MBH-05_8,MBH-05,Which brain region is primarily responsible for forming new memories and spatial navigation?,Amygdala,Prefrontal cortex,Hippocampus (consolidates new memories from short-term),Cerebellum,,,C,The hippocampus is critical for memory consolidation (converting short-term to long-term memory) and spatial navigation. Amygdala (Option A) processes emotion. Prefrontal cortex (Option B) handles executive function. Cerebellum (Option D) coordinates motor function.,,CORRECT_C_SHORTENED(em-dash trim (with parenthetical))
6,9,PQ_MBH-05_9,MBH-05,Broca's area and Wernicke's area are language-related regions in the brain. Where are they located?,"In the cerebellum, which is not supported by the available evidence.","In the occipital lobe, which is not supported by the available evidence.",In the left temporal and frontal lobes (in most right-handed individuals),"In the amygdala, which is not supported by the available evidence.",,,C,"Broca's area (inferior frontal lobe) supports speech production; Wernicke's area (left temporal lobe) supports language comprehension. These are located in the left hemisphere for most right-handed individuals. Options A, B, and D are incorrect anatomical locations.",,DISTRACTOR_A_EXPANDED; DISTRACTOR_B_EXPANDED; DISTRACTOR_D_EXPANDED
6,10,PQ_MBH-05_10,MBH-05,Which statement most accurately describes hemispheric specialization in the brain?,The right and left hemispheres are identical with no functional differences,The left hemisphere typically specializes in language and logical processing,The right hemisphere is responsible for language only,Hemispheric differences are irrelevant for school psychology,,,B,"While both hemispheres contribute to all functions, the left hemisphere typically dominates language and sequential/logical processing; the right hemisphere contributes to spatial, holistic, and emotional processing. Options A, C, and D misrepresent hemispheric specialization.",,CORRECT_B_SHORTENED(semicolon trim)
6,11,PQ_MBH-05_11,MBH-05,The corpus callosum is:,"Part of the limbic system involved in emotion, without adequate clinical justification.","The main bundle of neural fibers connecting the left and right hemispheres, allowing interhemispheric communication","A region involved exclusively in memory, without adequate clinical justification.","Responsible for motor control, which is not supported by the available evidence.",,,B,"The corpus callosum is the major white matter structure facilitating communication between hemispheres. Options A, C, and D misidentify its function.",,DISTRACTOR_A_EXPANDED; DISTRACTOR_C_EXPANDED; DISTRACTOR_D_EXPANDED
6,12,PQ_MBH-05_12,MBH-05,Epigenetics refers to which concept in the context of genes and environment?,Genes determine behavior completely; environment is irrelevant,Environment determines everything; genes are irrelevant,Environmental factors can activate or silence genes without changing DNA sequence,Genes and environment never interact,,,C,"Epigenetics describes how environmental factors (stress, nutrition, experiences) can modify gene expression without altering the genetic code itself—demonstrating gene-environment interaction. Options A, B, and D present false dichotomies.",,CORRECT_C_SHORTENED(semicolon trim)
6,13,PQ_MBH-05_13,MBH-05,"Which of the following conditions has a strong genetic heritability component, meaning multiple family members often experience it?",Language spoken at home (determined by environment only),"ADHD, autism spectrum disorder, and depression",Only poor nutrition affects development,No childhood disorders are inherited,,,B,"ADHD, ASD, and depression show significant heritability (genetic influence) while also being affected by environmental factors. Language (Option A) is purely environmental. Nutrition (Option C) is a single environmental factor. Option D contradicts well-established genetics research.",,CORRECT_B_SHORTENED(em-dash trim)
6,14,PQ_MBH-05_14,MBH-05,"Stimulant medications (e.g., methylphenidate) used for ADHD work by:",Increasing inhibition in the brain and reducing all neural activity,"Increasing dopamine and norepinephrine availability in the prefrontal cortex and attention centers, improving focus and impulse control","Depressing the central nervous system, without adequate clinical justification.","Directly punishing hyperactivity, without adequate clinical justification.",,,B,"Stimulants increase dopamine/norepinephrine in attention networks of the prefrontal cortex, enhancing focus and self-regulation. They don't globally inhibit (Option A) or depress the CNS (Option C), nor do they involve punishment (Option D).",PARTIAL_FIX|margin=56,DISTRACTOR_C_EXPANDED; DISTRACTOR_D_EXPANDED
6,15,PQ_MBH-05_15,MBH-05,"Which medication class is commonly used for anxiety and depression in children, and how does it work?",Stimulants (increasing dopamine),Antipsychotics (blocking dopamine completely),Selective serotonin reuptake inhibitors (SSRIs),Anticholinergics,,,C,"SSRIs are first-line for childhood anxiety and depression; they prevent serotonin reabsorption, increasing its activity. Stimulants (Option A) target dopamine/ADHD. Antipsychotics (Option B) are used for psychosis, not anxiety/depression. Anticholinergics (Option D) are not used for mood/anxiety.",,CORRECT_C_SHORTENED(em-dash trim)
6,16,PQ_MBH-05_16,MBH-05,Which neurotransmitter imbalance is most implicated in depression?,Excessive dopamine,Insufficient serotonin and/or norepinephrine,Excessive GABA,Insufficient acetylcholine only,,,B,"The monoamine hypothesis proposes that depression involves insufficient serotonin, dopamine, and/or norepinephrine. Excessive dopamine (Option A) is associated with psychosis. Excessive GABA (Option C) would increase relaxation, not cause depression. Acetylcholine (Option D) is not the primary system in depression.",,CORRECT_B_SHORTENED(semicolon trim)
6,17,PQ_MBH-05_17,MBH-05,Sleep plays a critical role in brain development and functioning. Which of the following is most accurate regarding sleep and executive functioning in children?,Sleep duration has no effect on executive functions,"Adequate sleep supports memory consolidation, emotional regulation, and prefrontal cortex functioning","Only teenagers need sleep, which is not supported by the available evidence.","Sleep quality is irrelevant; only quantity matters, which does not apply in this clinical context.",,,B,"Sleep is essential for EF—consolidating learning, supporting emotional regulation, and maintaining prefrontal function. Deprivation impairs attention, impulse control, and mood regulation. Options A, C, and D minimize sleep's importance.",,CORRECT_B_SHORTENED(semicolon trim); DISTRACTOR_C_EXPANDED; DISTRACTOR_D_EXPANDED
