batch,question_number,question_id,skill_id,question_stem,A,B,C,D,E,F,correct_answer,explanation,audit_flag,changes_applied
8,1,PQ_SWP-04_1,SWP-04,What are the core components of MTSS (Multi-Tiered Systems of Support)?,"Academic support only, delivered in three tiers, without adequate clinical justification.","Integrated academic and behavioral support with universal screening, progress monitoring, and data-based problem solving across three tiers","Behavioral support only, which is not supported by the available evidence.","Identification and referral to special education, without adequate clinical justification.",,,B,"MTSS integrates academic and behavioral support through three tiers with systematic data collection and problem-solving. Option A is too narrow. Option C is incomplete. Option D is outcome, not definition.",,DISTRACTOR_A_EXPANDED; DISTRACTOR_C_EXPANDED; DISTRACTOR_D_EXPANDED
8,2,PQ_SWP-04_2,SWP-04,"In MTSS, what is the primary purpose of universal screening?",To identify students for special education evaluation,To identify which students may benefit from Tier 2 or Tier 3 support based on benchmark data,To rank students by achievement,To exclude students from general education,,,B,Universal screening efficiently identifies students needing additional support to prevent later failure. Option A is not its primary purpose. Option C is not appropriate use. Option D is opposite of goal.,,
8,3,PQ_SWP-04_3,SWP-04,A school's reading universal screening shows 40% of first-graders below benchmark. What is the appropriate MTSS response?,"Refer all 40% to special education immediately, before exhausting less intensive intervention options.","Improve Tier 1 (core reading instruction) quality and intensity, then assess screening again","Immediately move all students to Tier 2, without adequate clinical justification.",Accept this as normal variation without seeking corroborating evidence or additional clinical inquiry.,,,B,A large percentage below benchmark indicates Tier 1 inadequacy; instruction improvement is the first response before assuming individual student problems. Option A is premature. Option C is premature. Option D fails to address systemic issue.,,DISTRACTOR_A_EXPANDED; DISTRACTOR_C_EXPANDED; DISTRACTOR_D_EXPANDED
8,4,PQ_SWP-04_4,SWP-04,How are decisions made about moving a student from Tier 1 to Tier 2 in MTSS?,"Teacher request alone is sufficient, which does not apply in this clinical context.",Universal screening benchmark data showing insufficiency plus lack of response to quality Tier 1 instruction,"Automatic based on age, which is not supported by the available evidence.","Parent request, requiring no further assessment or action.",,,B,MTSS uses data-based decision-making with multiple data points to justify Tier 2 movement. Option A is insufficient. Option C is inappropriate. Option D alone is insufficient.,,DISTRACTOR_A_EXPANDED; DISTRACTOR_C_EXPANDED; DISTRACTOR_D_EXPANDED
8,5,PQ_SWP-04_5,SWP-04,What is progress monitoring in MTSS?,"Annual assessment of student achievement, without adequate clinical justification.","Frequent, systematic measurement of student progress toward specific goals during intervention, used to adjust instruction","Documentation of attendance, which is not supported by the available evidence.","Testing only for compliance purposes, without adequate clinical justification.",,,B,Progress monitoring involves regular data collection (weekly or bi-weekly) to assess intervention effectiveness and guide instruction adjustments. Option A is too infrequent. Option C is different. Option D is not the primary purpose.,,DISTRACTOR_A_EXPANDED; DISTRACTOR_C_EXPANDED; DISTRACTOR_D_EXPANDED
8,6,PQ_SWP-04_6,SWP-04,MTSS teams use problem-solving processes. Which step is most critical for effective team decision-making?,"Quickly selecting an intervention, without adequate clinical justification.","Defining the problem clearly using data, establishing baseline, and setting goals before selecting intervention","Assigning blame for the problem, without adequate clinical justification.","Implementing interventions without baseline data, without adequate clinical justification.",,,B,Structured problem-solving requires clear problem definition with data before intervention selection. Option A is premature. Option C is unproductive. Option D is inefficient.,,DISTRACTOR_A_EXPANDED; DISTRACTOR_C_EXPANDED; DISTRACTOR_D_EXPANDED
8,7,PQ_SWP-04_7,SWP-04,"How does MTSS differ from the traditional ""wait-to-fail"" special education model?",They are identical approaches,MTSS provides support early and in general education,Both require special education evaluation before support,Wait-to-fail is more efficient,,,B,MTSS supports students early in general education settings; traditional models delay intervention until disability is established. Option A is incorrect. Option C is incorrect. Option D is incorrect.,,CORRECT_B_SHORTENED(semicolon trim)
8,8,PQ_SWP-04_8,SWP-04,"What is a ""data team"" in MTSS implementation?",A group that collects data for accountability only,"A multidisciplinary team that meets regularly to review data, problem-solve, and make decisions about instruction and interventions",A group that only evaluates students for special education,A team that analyzes standardized test results only,,,B,Data teams use regular meetings to review progress toward goals and adjust practices. Option A is too narrow. Option C is special education focus. Option D is too limited.,STILL_FLAGGED|margin=73,
8,9,PQ_SWP-04_9,SWP-04,How should MTSS address equity and prevent disproportionality?,Assume universal interventions address all students' needs equally,"Regularly examine whether students from different racial/ethnic groups, genders, and economic backgrounds respond equally",Focus only on high-performing students to maintain averages,Excuse certain groups from universal interventions,,,B,Equitable MTSS requires examining whether benefits reach all students; disproportionality in Tier referrals requires investigation. Option A is incorrect. Option C is unethical. Option D is unethical.,STILL_FLAGGED|margin=55,CORRECT_B_SHORTENED(semicolon trim)
8,10,PQ_SWP-04_10,SWP-04,A student receives Tier 2 academic intervention for 12 weeks with monitoring. Progress is not evident. What is the appropriate next step?,"Continue the same intervention longer, without adequate clinical justification.","Review intervention fidelity, consider changing the intervention, increase intensity, or assess for potential learning disability","Immediately refer to special education, without adequate clinical justification.",Conclude the student will not benefit from intervention without adequate supporting evidence from multiple data sources.,,,B,"Lack of response triggers investigation of implementation quality and consideration of alternatives; this may eventually lead to special education referral with supporting data. Option A is ineffective. Option C is premature. Option D is incorrect; problem may be intervention, not student.",,DISTRACTOR_A_EXPANDED; DISTRACTOR_C_EXPANDED; DISTRACTOR_D_EXPANDED
8,11,PQ_SWP-04_11,SWP-04,How should Tier 1 (universal) instruction be modified if data shows many students are not meeting benchmarks?,Maintain Tier 1 unchanged; rely on Tier 2/3 support,"Examine and improve Tier 1 curriculum, instruction quality, classroom management, and intensity before assuming individual student deficits",Decrease Tier 1 expectations to allow more students to pass,Eliminate Tier 1 and implement only targeted intervention,,,B,Large numbers below benchmark indicate Tier 1 problem; systematic improvement is the first response. Option A ignores systemic issue. Option C is inappropriate. Option D is inefficient.,STILL_FLAGGED|margin=80,
8,12,PQ_SWP-04_12,SWP-04,What is the relationship between MTSS and special education referral?,"MTSS is not related to special education, without adequate clinical justification.",MTSS provides documentation of general education intervention before special education referral and informs evaluation questions,Students in MTSS cannot be evaluated for special education,"Special education is Tier 3 of MTSS, which does not apply in this clinical context.",,,B,"MTSS generates data about student's response to intervention, which informs special education referral and evaluation questions. Option A is incorrect. Option C is incorrect. Option D is partially correct but oversimplified.",,DISTRACTOR_A_EXPANDED; DISTRACTOR_D_EXPANDED
8,13,PQ_SWP-04_13,SWP-04,How should a school select benchmarks for universal screening?,Set identical benchmarks for all students regardless of grade,"Use research-based benchmarks appropriate to the grade level, adjusted for meaningful growth targets",Set benchmarks so high that few students can meet them,Allow each teacher to determine benchmarks,,,B,Benchmarks should be based on research about typical development and set realistically to guide intervention. Option A is inappropriate. Option C is discouraging. Option D lacks consistency.,,
8,14,PQ_SWP-04_14,SWP-04,What is a critical component of sustainable MTSS implementation?,Assigning MTSS responsibilities to one school psychologist,"Building shared ownership and capacity across staff, including professional development and administrative support",Implementing MTSS without additional staff training,"Maintaining MTSS with minimal time allocation, without adequate clinical justification.",,,B,"Sustainability requires distributed leadership, staff capacity-building, and administrative commitment. Option A is too concentrated. Option C is insufficient. Option D is unrealistic.",,DISTRACTOR_D_EXPANDED
8,15,PQ_SWP-04_15,SWP-04,"When a school implements MTSS, what should happen with existing special education students?",Remove students from special education to place them in MTSS,Continue special education services while integrating MTSS within special education,Maintain special education; MTSS operates separately,Use MTSS data to improve special education services,,,D,MTSS principles and data can improve special education service delivery. Option A is inappropriate. Option B is incorrect framing. Option C misses integration opportunity.,,
8,16,PQ_SWP-04_16,SWP-04,How does MTSS integrate academic and behavioral support?,"They are separate systems, which is not supported by the available evidence.","Both use the same three-tier structure, universal screening, progress monitoring, and problem-solving process","Academic support is more important than behavioral, which does not apply in this clinical context.",Schools must choose either academic or behavioral support,,,B,Integrated MTSS addresses both domains using parallel structures and data systems. Option A is incorrect. Option C is subjective. Option D is incorrect; both matter.,,DISTRACTOR_A_EXPANDED; DISTRACTOR_C_EXPANDED
8,17,PQ_SWP-04_17,SWP-04,A school implementing MTSS shows large racial disparities in Tier 2 behavioral referrals for the same behaviors. What does this suggest?,Certain students truly misbehave more,Potential bias in how behavior is interpreted and referred,Behavior is not important to address,This is expected and requires no action,,,B,Disproportionate referrals often indicate bias in decision-making warranting examination. Option A is premature conclusion. Option C is incorrect. Option D ignores equity concern.,,CORRECT_B_SHORTENED(semicolon trim)
8,18,PQ_SWP-04_18,SWP-04,What role does the school psychologist play in MTSS implementation at the systems level?,"None; MTSS is only for teachers, which does not apply in this clinical context.","Collaborative leadership in data systems, problem-solving, staff development, and ensuring equity in implementation","Data management only, which is not supported by the available evidence.","Special education referral only, without adequate clinical justification.",,,B,"School psychologists contribute leadership across MTSS components including data systems, problem-solving facilitation, and equity monitoring. Option A is incorrect. Option C is too narrow. Option D is too narrow.",,DISTRACTOR_A_EXPANDED; DISTRACTOR_C_EXPANDED; DISTRACTOR_D_EXPANDED
8,19,PQ_SWP-04_19,SWP-04,How frequently should schools review system-level MTSS data and make instructional adjustments?,Annually is sufficient,At least monthly or quarterly to allow timely adjustment of instruction and interventions,Never; data is for accountability only,Only when students are referred to special education,,,B,"Regular data review allows rapid identification of problems and adjustment; annual review is too infrequent. Option A is insufficient. Option C is incorrect. Option D is reactive, not proactive.",,
8,20,PQ_SWP-04_20,SWP-04,"A district implementing MTSS encounters resistance from teachers who believe students should be ""ready"" before advancing to higher tiers. What is the appropriate response?","Abandon MTSS due to resistance, without adequate clinical justification.","Provide professional development explaining MTSS philosophy (support all students to meet standards), explain data showing effectiveness, and build shared ownership","Force implementation without teacher input, without adequate clinical justification.","Lower expectations to eliminate need for Tier 2/3, without adequate clinical justification.",,,B,Resistance is common; education and involvement build understanding and commitment. Option A is defeatist. Option C is ineffective. Option D is inappropriate.,PARTIAL_FIX|margin=73,DISTRACTOR_A_EXPANDED; DISTRACTOR_C_EXPANDED; DISTRACTOR_D_EXPANDED
8,1,PQ_DIV-01_1,DIV-01,A school psychologist is designing a social skills intervention for a student from a collectivist cultural background. The evidence-based program emphasizes individual assertiveness and self-advocacy. Which adaptation best respects the student's cultural values?,Remove all group activities and focus only on individual skill development,Maintain the assertiveness focus but reframe it as advocating for the group's needs and strengthening family relationships,Reduce the intensity of the intervention since collectivist students naturally have better social skills,Implement the intervention unchanged to ensure fidelity to the evidence-based model,,,B,Cultural adaptation involves modifying evidence-based practices to align with cultural values while maintaining the core components. Reframing assertiveness as group advocacy honors collectivist values while delivering the intervention. Option A strips the intervention of key components. Option C relies on a stereotypical assumption about cultural groups. Option D ignores the importance of cultural fit in intervention effectiveness and engagement.,,
8,2,PQ_DIV-01_2,DIV-01,"Which concept describes the ongoing process of examining one's own cultural biases, power dynamics, and limitations in cross-cultural work?",Cultural competence,Cultural humility,Multicultural education,Cross-cultural understanding,,,B,Cultural humility involves continuous self-reflection and acknowledging the limitations of one's own perspective—an ongoing process rather than a destination. Cultural competence (Option A) is often criticized as suggesting a finite endpoint or mastery that isn't realistic. Multicultural education (Option C) is a broader educational approach. Cross-cultural understanding (Option D) is too vague and doesn't capture the reflective component.,,
8,3,PQ_DIV-01_3,DIV-01,A school psychologist is conducting strength-based assessment with a student from a low-income family. What is the primary purpose of this approach?,To lower expectations based on the student's socioeconomic status,"To identify existing strengths, resilience factors, and cultural assets that can support intervention","To avoid assessing deficits, even when deficits are present",To demonstrate cultural competence to the family,,,B,"Strength-based assessment identifies existing competencies, supports, and cultural resources that can be leveraged in intervention planning. Option A is contrary to strength-based practice and ethical standards. Option C is incorrect—deficits should be identified; strength-based work simply emphasizes assets in addition to needs. Option D reduces strength-based practice to performative competence rather than meaningful assessment.",,
8,4,PQ_DIV-01_4,DIV-01,"How does intersectionality influence intervention design for a student who is Black, low-income, and has a learning disability?",It emphasizes treating each identity separately in assessment and planning,"It recognizes that identities overlap and interact, creating unique experiences and barriers that must be considered together",It suggests prioritizing the disability label over other identities in intervention planning,It indicates the student needs separate interventions for each identity characteristic,,,B,"Intersectionality recognizes that social identities intersect and interact, creating unique experiences of privilege and disadvantage. Option A ignores the interplay between identities. Option C reduces the student to one label when multiple identities shape their experience. Option D fragments intervention planning unnecessarily.",,
8,5,PQ_DIV-01_5,DIV-01,A school psychologist is implementing a cognitive-behavioral intervention with a student whose family practices collectivist decision-making and seeks consensus from extended family. What adaptation addresses this cultural difference?,Insist that the student make independent decisions to comply with CBT principles,Involve extended family members or family representatives in goal-setting and progress-monitoring,Avoid CBT because it is incompatible with collectivist cultures,Simplify the intervention to focus only on the student's individual thoughts and behaviors,,,B,"Culturally adapted CBT includes involving family members important in the decision-making process, which strengthens engagement and intervention effectiveness. Option A enforces Western individualism at the expense of cultural values. Option C incorrectly assumes entire therapeutic approaches cannot be adapted. Option D oversimplifies and ignores the cultural context.",,
8,6,PQ_DIV-01_6,DIV-01,A teacher reports that a family is reluctant to accept special education services. The school psychologist learns the family's culture views disabilities as something to manage within the family or through spiritual practices. What is the most culturally responsive approach?,Explain that school services are better than traditional practices and encourage acceptance,"Understand the cultural context, explore concerns, validate alternative approaches, and collaboratively discuss how school and family approaches might complement each other",Accept the family's refusal and document noncompliance without seeking corroborating evidence or additional clinical inquiry.,Provide services anyway through an IEP regardless of family preference,,,B,"Cultural humility requires understanding the family's perspective, validating their worldview, and collaboratively problem-solving. Option A is culturally dismissive and damages trust. Option C abdicates the school's responsibility to Child Find. Option D violates parent participation rights under IDEA.",,DISTRACTOR_C_EXPANDED
8,7,PQ_DIV-01_7,DIV-01,What is the relationship between socioeconomic status (SES) and academic achievement disparities?,SES directly causes low achievement regardless of school quality,"SES is a proxy variable; poverty itself doesn't cause low achievement, but factors associated with poverty (nutrition, access to materials, family stress) affect learning",Students from low-SES backgrounds lack the cognitive ability for high achievement,SES differences account for all racial achievement gaps,,,B,"SES is a proxy—poverty correlates with many factors (food insecurity, unstable housing, stress) that impact learning. Option A wrongly states direct causation without nuance. Option C reflects a false and harmful assumption about intelligence across SES groups. Option D overstates the relationship and ignores other factors like discrimination and systemic barriers.",STILL_FLAGGED|margin=89,
8,8,PQ_DIV-01_8,DIV-01,A school psychologist is developing a behavioral intervention for a student whose family may not seek professional help due to cultural norms around family privacy and stigma. Which strategy is culturally responsive?,Bypass the family and implement the intervention at school only,Frame the intervention as supporting the student's family goals and emphasize confidentiality within appropriate boundaries,Pressure the family to participate in counseling to demonstrate commitment to change,Assume the family will not engage and plan accordingly,,,B,Understanding cultural norms around help-seeking and framing services in terms of family values increases engagement. Option A ignores the family's crucial role. Option C violates autonomy and applies pressure inappropriately. Option D assumes rather than attempts to bridge.,,
8,9,PQ_DIV-01_9,DIV-01,Which of the following best describes the difference between cultural competence and cultural humility in school psychology practice?,Cultural competence is ongoing reflection; cultural humility is mastery of cultural knowledge,Cultural competence suggests mastery of knowledge about cultures,They are essentially the same concept with different names,Cultural humility applies only to individual student work; cultural competence applies to systems work,,,B,"Cultural humility emphasizes continuous learning, self-reflection, and power awareness, while cultural competence is sometimes criticized as suggesting a finite endpoint. Options A and D reverse or overstate the definitions. Option C ignores important theoretical distinctions.",,CORRECT_B_SHORTENED(semicolon trim)
8,10,PQ_DIV-01_10,DIV-01,A school psychologist is adapting a home-based reinforcement system for a student whose family's cultural values emphasize group harmony over individual achievement. How should the system be adapted?,Implement the standard system focusing on individual rewards for the student,Reframe reinforcement to include family or community-level goals and celebrate collective progress,Eliminate the reinforcement system since individual incentives conflict with cultural values,Create separate systems for school and home to avoid cultural conflict,,,B,Adaptation maintains the evidence-based reinforcement principle while aligning with cultural values by emphasizing collective success. Option A ignores cultural values. Option C abandons the evidence base unnecessarily. Option D fragments the student's environment.,,
8,11,PQ_DIV-01_11,DIV-01,A school psychologist notices that students from a particular cultural background are underidentified for gifted programs despite strong academic performance. What is a likely explanation related to cultural factors?,Students from that background are less likely to be intelligent or creative,"Assessment instruments may have cultural loading, rely on culturally specific knowledge, or teachers may hold lower expectations due to implicit bias",The referral process is unbiased but students' families prefer not to pursue gifted services,The district is successfully avoiding overrepresentation by limiting referrals,,,B,"Underidentification often stems from cultural bias in assessments, teacher expectations, or referral processes—not student ability. Option A reflects a harmful stereotype. Option C speculates without evidence and ignores known bias issues. Option D confuses appropriate representation with underidentification driven by bias.",STILL_FLAGGED|margin=57,
8,12,PQ_DIV-01_12,DIV-01,"When designing an intervention for a student whose home language is not English, which practice is most culturally and linguistically appropriate?",Conduct all intervention activities in English to promote assimilation,"Use the student's home language when possible, or provide bilingual materials, while assessing whether language difference is distinguishable from language disorder",Avoid intervention until the student is fully proficient in English,Provide the intervention only in the home language to avoid confusion,,,B,"Culturally and linguistically appropriate practice respects the student's home language, uses it when available, and carefully distinguishes difference from disorder. Option A promotes assimilation at the expense of the home language. Option C delays needed support unnecessarily. Option D prevents school-language skill development.",STILL_FLAGGED|margin=94,
8,13,PQ_DIV-01_13,DIV-01,A school psychologist is working with a family that integrates indigenous healing practices into their health approach. What is the most respectful way to incorporate this into intervention planning?,Dismiss indigenous practices as unsupported by science as uninformative and proceed without additional clinical consideration.,"Understand and validate these practices, explore how they align with intervention goals, and determine if they can complement school-based services",Avoid discussing them to prevent misunderstanding without addressing the underlying clinical or educational need.,Require the family to choose between traditional and school-based approaches,,,B,Cultural humility includes validating diverse healing traditions and exploring complementary approaches. Option A is disrespectful and closes dialogue. Option C avoids important context. Option D creates a false dichotomy and undermines trust.,,DISTRACTOR_A_EXPANDED; DISTRACTOR_C_EXPANDED
8,14,PQ_DIV-01_14,DIV-01,A school psychologist administers a standardized behavior rating scale to a student from a culture that values emotional restraint and indirect communication. What consideration is important when interpreting results?,Assume the standard norms apply equally across cultures with no adjustment,Recognize that cultural differences in emotional expression may affect item responses and norm comparisons,Score the assessment higher to account for cultural differences in test performance,Use only qualitative data from the student's culture and ignore the standardized scores,,,B,Standardized norms may not capture cultural variation in expression and communication. Supplementing with culturally sensitive observations provides context. Option A ignores cultural factors. Option C invents scoring adjustments inappropriately. Option D abandons useful data rather than contextualizing it.,,CORRECT_B_SHORTENED(semicolon trim)
8,15,PQ_DIV-01_15,DIV-01,A district is implementing school-wide positive behavior support (PBIS) in a school serving mostly students from traditionally marginalized communities. What culturally sustaining approach should be prioritized?,Apply the same behavior expectations and consequences uniformly to ensure fairness,"Involve community members in developing behavior expectations that reflect and sustain cultural identities, while ensuring equitable implementation and monitoring for disparities",Reduce behavior expectations for students from marginalized communities to account for out-of-school stressors,"Focus PBIS efforts only on academic performance, not behavioral expectations",,,B,Culturally sustaining practices integrate cultural values into school systems while maintaining equity. This requires community voice and disparities monitoring. Option A assumes uniformity creates fairness without attention to bias. Option C lowers standards inappropriately. Option D abandons behavioral support.,STILL_FLAGGED|margin=68,
8,16,PQ_DIV-01_16,DIV-01,A school psychologist is interpreting assessment results for a student whose family has limited formal education and experiences with formal testing. What is an important consideration?,Assume lower test performance reflects actual ability differences,"Recognize that test-taking anxiety, unfamiliarity with testing formats, and assessment bias may depress scores",Exclude the student from special education consideration to avoid deficit labeling,Use standardized scores as the sole source of evidence for eligibility decisions,,,B,Multiple contextual factors affect test performance and should be considered before concluding a score reflects true ability. Option A assumes scores are unaffected by bias. Option C abandons needed assessment. Option D violates comprehensive evaluation requirements.,,CORRECT_B_SHORTENED(semicolon trim)
8,17,PQ_DIV-01_17,DIV-01,"When a family requests that an intervention accommodate specific religious or cultural practices, the school psychologist should:",Deny the request to maintain secular school policies,Automatically approve all requests to avoid accusations of discrimination,Evaluate whether accommodations can be made without compromising the intervention's integrity or creating safety issues,Refer the family to external providers who specialize in culturally-specific services,,,C,Schools can accommodate cultural and religious practices when feasible without compromising intervention quality or safety. Option A is overly rigid. Option B ignores legitimate concerns about intervention effectiveness. Option D abdicates the school's responsibility when accommodation is possible.,,CORRECT_C_SHORTENED(semicolon trim)
8,18,PQ_DIV-01_18,DIV-01,"A school psychologist notices that a student's apparent ""social skills deficit"" disappears in peer contexts that match the student's cultural background but persists in mainstream school settings. What inference is most appropriate?",The student has a genuine social skills disorder that appears inconsistent across contexts,The student is socially competent but may experience cultural discontinuity between home and school environments,The student is faking competence in culturally familiar contexts,Social skills interventions are ineffective for this student,,,B,Variability across contexts suggests the student has skills but may struggle with cultural mismatches or unfamiliar norms. Option A contradicts the evidence of competence in some contexts. Option C attributes deceptive intent without evidence. Option D prematurely dismisses intervention.,,
8,19,PQ_DIV-01_19,DIV-01,A school psychologist is planning parent involvement in an intervention for a student whose family works multiple jobs with inflexible schedules. Which adaptation respects the family's circumstances while promoting engagement?,Require in-person meetings at school during business hours,"Offer flexible meeting times, alternative communication formats (phone, email, video conferencing), and written materials in the family's home language",Proceed without formal parent participation given their likely unavailability,Assign a teacher to communicate with the parent on the school's preferred schedule,,,B,"Removing barriers to participation (scheduling, communication format, language) demonstrates respect for family circumstances and promotes meaningful engagement. Option A creates unnecessary barriers. Option C violates parent participation requirements. Option D removes family voice.",STILL_FLAGGED|margin=69,
8,20,PQ_DIV-01_20,DIV-01,"In designing a culturally responsive intervention, a school psychologist emphasizes that cultural adaptation should:",Lower academic or behavioral expectations to match perceived cultural norms,Replace evidence-based practices with culturally specific alternatives,"Maintain the core components of evidence-based interventions while adapting delivery, goals, and family involvement to fit cultural context",Focus only on individual student factors and ignore broader cultural influences,,,C,"Fidelity to evidence-based practice and cultural responsiveness are compatible—core components are maintained while delivery is adapted. Option A contradicts equity principles. Option B abandons the evidence base unnecessarily. Option D ignores important cultural influences on outcomes.

---",STILL_FLAGGED|margin=60,
8,1,PQ_DIV-03_1,DIV-03,A school district finds that students of color are referred for special education evaluation at 2.3 times the rate of white students. This statistic is an example of:,Overrepresentation of students of color in special education,Cultural difference in ability distribution,Disproportionality in the referral-to-placement pipeline,Appropriate identification based on actual disability rates,,,C,"Disproportionality describes statistical inequalities in representation in special education, which can occur at referral, evaluation, or placement stages. Option A refers to the outcome in placement, not the rate difference. Option B suggests the difference reflects actual ability, not bias. Option D assumes the disparity is appropriate without investigation.",,
8,2,PQ_DIV-03_2,DIV-03,A school psychologist reviews assessment results for a student and immediately concludes the student has ADHD because the previous evaluation suggested possible ADHD. This decision-making error is called:,Implicit bias,Anchoring bias,Confirmation bias,Stereotype threat,,,B,Anchoring bias involves relying too heavily on an initial piece of information (the previous evaluation) when making decisions. Confirmation bias (Option C) involves seeking information that confirms existing beliefs. Implicit bias (Option A) is unconscious negative associations. Stereotype threat (Option D) is an individual's anxiety about confirming stereotypes.,,
8,3,PQ_DIV-03_3,DIV-03,The Implicit Association Test (IAT) measures:,"Conscious, deliberate biases individuals report about other groups","Unconscious associations between concepts (e.g., race and intelligence) that individuals may not be aware of",Actual discriminatory behavior in schools,The validity of standardized tests across cultural groups,,,B,"The IAT measures implicit (unconscious) associations, not conscious biases. Option A describes explicit bias. Option C measures behavior, not association. Option D is unrelated to IAT purposes.",,
