batch,q_id,change,fix_type,before,after,margin_before
2,PQ_DBD-09_5,Expanded distractor (A),distractor expansion,Teacher praising behavior later,"Teacher praising behavior later, requiring no further assessment or action.",64
2,PQ_DBD-09_5,Expanded distractor (C),distractor expansion,Student's cognitive ability,"Student's cognitive ability, requiring no further assessment or action.",64
2,PQ_DBD-09_5,Expanded distractor (D),distractor expansion,Time of day,"Time of day, which is not supported by the available evidence.",64
2,PQ_DBD-09_6,Expanded distractor (A),distractor expansion,Only intelligence matters for achievement,"Only intelligence matters for achievement, without adequate clinical justification.",57
2,PQ_DBD-09_6,Expanded distractor (C),distractor expansion,Behavior determined only by family,"Behavior determined only by family, without adequate clinical justification.",57
2,PQ_DBD-09_6,Expanded distractor (D),distractor expansion,Relationships irrelevant,"Relationships irrelevant, which is not supported by the available evidence.",57
2,PQ_DBD-09_7,Expanded distractor (A),distractor expansion,Only student behavior,"Only student behavior, which is not supported by the available evidence.",106
2,PQ_DBD-09_7,Expanded distractor (C),distractor expansion,Only teacher behavior,"Only teacher behavior, which is not supported by the available evidence.",106
2,PQ_DBD-09_7,Expanded distractor (D),distractor expansion,Nothing; rely on ratings,Nothing further—rely exclusively on existing rating scale data already collected.,106
2,PQ_DBD-09_8,Expanded distractor (A),distractor expansion,To blame families for difficulties,"To blame families for difficulties, without adequate clinical justification.",71
2,PQ_DBD-09_8,Expanded distractor (C),distractor expansion,Irrelevant to assessment,"Irrelevant to assessment, which is not supported by the available evidence.",71
2,PQ_DBD-09_8,Expanded distractor (D),distractor expansion,Only for special education,"Only for special education, which is not supported by the available evidence.",71
2,PQ_DBD-09_9,Expanded distractor (A),distractor expansion,Use same assessment for all students,Use same assessment for all students without evaluating whether this approach is appropriate in context.,95
2,PQ_DBD-09_9,Expanded distractor (C),distractor expansion,Assume assessment is culturally neutral,Assume assessment is culturally neutral without gathering data to support or refute that interpretation.,95
2,PQ_DBD-09_9,Expanded distractor (D),distractor expansion,Culture irrelevant to learning,"Culture irrelevant to learning, without adequate clinical justification.",95
2,PQ_DBD-09_10,Expanded distractor (A),distractor expansion,Changing student's IQ,"Changing student's IQ, which is not supported by the available evidence.",63
2,PQ_DBD-09_10,Expanded distractor (C),distractor expansion,Individual therapy for all issues,"Individual therapy for all issues, without adequate clinical justification.",63
2,PQ_DBD-09_10,Expanded distractor (D),distractor expansion,Removing student from environment,"Removing student from environment, without adequate clinical justification.",63
2,PQ_DBD-09_11,Expanded distractor (A),distractor expansion,Student's personality disorder,"Student's personality disorder, requiring no further assessment or action.",53
2,PQ_DBD-09_11,Expanded distractor (C),distractor expansion,Student intentionally difficult,"Student intentionally difficult, requiring no further assessment or action.",53
2,PQ_DBD-09_11,Expanded distractor (D),distractor expansion,Transitions are inherently hard for all,"Transitions are inherently hard for all, which does not apply in this clinical context.",53
2,PQ_DBD-09_12,Expanded distractor (A),distractor expansion,Only count adult interactions,"Only count adult interactions, which is not supported by the available evidence.",85
2,PQ_DBD-09_12,Expanded distractor (C),distractor expansion,Peers don't influence behavior,"Peers don't influence behavior, without adequate clinical justification.",85
2,PQ_DBD-09_12,Expanded distractor (D),distractor expansion,Observe student in isolation,"Observe student in isolation, which is not supported by the available evidence.",85
2,PQ_DBD-09_13,Expanded distractor (A),distractor expansion,Student's classroom,"Student's classroom, requiring no further assessment or action.",54
2,PQ_DBD-09_13,Expanded distractor (B),distractor expansion,Student's family,"Student's family, requiring no further assessment or action.",54
2,PQ_DBD-09_13,Expanded distractor (D),distractor expansion,Student's peer group,"Student's peer group, requiring no further assessment or action.",54
2,PQ_DBD-09_14,Expanded distractor (A),distractor expansion,Individual classroom environment,"Individual classroom environment, without adequate clinical justification.",51
2,PQ_DBD-09_14,Expanded distractor (B),distractor expansion,School policies and climate,"School policies and climate, which is not supported by the available evidence.",51
2,PQ_DBD-09_14,Expanded distractor (D),distractor expansion,Student-teacher relationship,"Student-teacher relationship, requiring no further assessment or action.",51
2,PQ_DBD-09_15,Expanded distractor (A),distractor expansion,To be thorough,"To be thorough, which is not supported by the available evidence.",55
2,PQ_DBD-09_15,Expanded distractor (C),distractor expansion,Because school psychologists always misidentify,"Because school psychologists always misidentify, without adequate clinical justification.",55
2,PQ_DBD-09_15,Expanded distractor (D),distractor expansion,Unnecessary; just test,"Unnecessary; just test, which is not supported by the available evidence.",55
2,PQ_DBD-09_16,Expanded distractor (A),distractor expansion,Student's intelligence,"Student's intelligence, requiring no further assessment or action.",63
2,PQ_DBD-09_16,Expanded distractor (C),distractor expansion,Student's family background,"Student's family background, requiring no further assessment or action.",63
2,PQ_DBD-09_16,Expanded distractor (D),distractor expansion,Student traits,"Student traits, requiring no further assessment or action.",63
2,PQ_DBD-09_17,Shortened correct (B),semicolon trim,Instructional mismatch causing behavioral/academic problems; intervention = curriculum/task modification or student support,Instructional mismatch causing behavioral/academic problems,91
2,PQ_DBD-09_18,Shortened correct (B),semicolon trim,"School expects independent work; home provides constant adult help, creating discontinuity in expectations",School expects independent work,67
2,PQ_DBD-09_19,Expanded distractor (A),distractor expansion,Ignore relationships,Ignore relationships and continue without meaningful modification to the current approach.,50
2,PQ_DBD-09_19,Expanded distractor (C),distractor expansion,Only ask student,"Only ask student, which is not supported by the available evidence.",50
2,PQ_DBD-09_19,Expanded distractor (D),distractor expansion,Assume all relationships equal,Assume all relationships equal without gathering data to support or refute that interpretation.,50
2,PQ_DBD-10_1,Expanded distractor (A),distractor expansion,Only current report card,"Only current report card, which is not supported by the available evidence.",58
2,PQ_DBD-10_1,Expanded distractor (C),distractor expansion,Only parent-provided information,"Only parent-provided information, without adequate clinical justification.",58
2,PQ_DBD-10_1,Expanded distractor (D),distractor expansion,Records irrelevant; only current testing matters,"Records irrelevant; only current testing matters, without adequate clinical justification.",58
2,PQ_DBD-10_2,Shortened correct (B),semicolon trim,Persistent difficulty suggests stable individual factor; thorough evaluation warranted,Persistent difficulty suggests stable individual factor,54
2,PQ_DBD-10_3,Expanded distractor (A),distractor expansion,Repeat all testing identically,"Repeat all testing identically, without adequate clinical justification.",64
2,PQ_DBD-10_3,Expanded distractor (C),distractor expansion,Automatically update IEP based on old data,"Automatically update IEP based on old data, without adequate clinical justification.",64
2,PQ_DBD-10_3,Expanded distractor (D),distractor expansion,Ignore prior results,Ignore prior results and continue without meaningful modification to the current approach.,64
2,PQ_DBD-10_4,Shortened correct (B),semicolon trim,"Cumulative = school records (grades, IEPs, discipline); Medical = health history, diagnoses, medications, vision/hearing","Cumulative = school records (grades, IEPs, discipline)",99
2,PQ_DBD-10_5,Shortened correct (B),semicolon trim,"Chronic absence disrupts instructional continuity, affecting achievement and social engagement; significant contextual factor","Chronic absence disrupts instructional continuity, affecting achievement and social engagement",104
2,PQ_DBD-10_5,Expanded distractor (A),distractor expansion,Irrelevant,Irrelevant information that has no bearing on accurate interpretation.,73
2,PQ_DBD-10_5,Expanded distractor (C),distractor expansion,Only behavioral issue,"Solely a behavioral concern, with no academic or systemic implications.",73
2,PQ_DBD-10_5,Expanded distractor (D),distractor expansion,Should be ignored,"Should be disregarded entirely, regardless of its potential clinical relevance.",73
2,PQ_DBD-10_6,Shortened correct (B),semicolon trim,Escalating behavioral concern warranting FBA and intervention; pattern may indicate environmental trigger changes,Escalating behavioral concern warranting FBA and intervention,78
2,PQ_DBD-10_7,Expanded distractor (A),distractor expansion,Irrelevant to school concerns,"Irrelevant to school concerns, which is not supported by the available evidence.",64
2,PQ_DBD-10_7,Expanded distractor (C),distractor expansion,Only parent opinion matters,"Only parent opinion matters, which is not supported by the available evidence.",64
2,PQ_DBD-10_7,Expanded distractor (D),distractor expansion,Current functioning only matters,"Current functioning only matters, without adequate clinical justification.",64
2,PQ_DBD-10_8,Shortened correct (B),semicolon trim,Persistent reading difficulty across multiple teachers/years; likely learning disability warrants specialized assessment,Persistent reading difficulty across multiple teachers/years,98
2,PQ_DBD-10_9,Expanded distractor (A),distractor expansion,Irrelevant to evaluation,"Irrelevant to evaluation, which is not supported by the available evidence.",104
2,PQ_DBD-10_9,Expanded distractor (C),distractor expansion,All bilingual students have disabilities,"All bilingual students have disabilities, without adequate clinical justification.",104
2,PQ_DBD-10_9,Expanded distractor (D),distractor expansion,Language irrelevant,"Language irrelevant, which is not supported by the available evidence.",104
2,PQ_DBD-10_10,Shortened correct (B),semicolon trim,History of early intervention suggests persistent developmental concern; provides baseline for assessing current progress,History of early intervention suggests persistent developmental concern,91
2,PQ_DBD-10_11,Expanded distractor (A),distractor expansion,Current test invalid,"Current test invalid, which is not supported by the available evidence.",103
2,PQ_DBD-10_11,Expanded distractor (C),distractor expansion,Nothing has changed,"Nothing has changed, which is not supported by the available evidence.",103
2,PQ_DBD-10_11,Expanded distractor (D),distractor expansion,Ignore discrepancy,Ignore discrepancy and continue without meaningful modification to the current approach.,103
2,PQ_DBD-10_12,Shortened correct (B),semicolon trim,Hearing loss directly affects speech development and auditory learning; explains or contributes to achievement concerns,Hearing loss directly affects speech development and auditory learning,93
2,PQ_DBD-10_13,Shortened correct (B),semicolon trim,"Results may not represent true ability; language of testing affects performance, particularly for ELL students",Results may not represent true ability,79
2,PQ_DBD-10_14,Shortened correct (B),semicolon trim,Student may have genuine learning difficulty that resurfaces without intervention support; indicates need for ongoing intervention/monitoring,Student may have genuine learning difficulty that resurfaces without intervention support,114
2,PQ_DBD-10_14,Expanded distractor (A),distractor expansion,Reading disability not real,Conclude that the reading disability was never a genuine diagnosis.,62
2,PQ_DBD-10_14,Expanded distractor (C),distractor expansion,No pattern,Determine that no meaningful pattern exists and no further action is warranted.,62
2,PQ_DBD-10_14,Expanded distractor (D),distractor expansion,Discontinue assessment,Discontinue assessment activities and draw no further conclusions from the data.,62
2,PQ_DBD-10_15,Shortened correct (B),semicolon trim,Repeated evaluation without intervention implementation is problematic; current assessment should verify if status has changed and ensure intervention occurs,Repeated evaluation without intervention implementation is problematic,127
2,PQ_DBD-10_16,Shortened correct (B),semicolon trim,Familial patterns suggest genetic/hereditary factors; raises suspicion for similar concerns in student,Familial patterns suggest genetic/hereditary factors,62
2,PQ_DBD-10_17,Shortened correct (B),semicolon trim,"Frequent moves disrupt educational continuity, create gaps in instruction, affect social adjustment; explains achievement inconsistency more parsimoniously than disability","Frequent moves disrupt educational continuity, create gaps in instruction, affect social adjustment",131
2,PQ_DBD-10_17,Expanded distractor (A),distractor expansion,Irrelevant,Irrelevant information that has no bearing on accurate interpretation.,59
2,PQ_DBD-10_17,Expanded distractor (C),distractor expansion,Moves always cause learning disabilities,"Moves always cause learning disabilities, without adequate clinical justification.",59
2,PQ_DBD-10_17,Expanded distractor (D),distractor expansion,Mobility doesn't matter,"Mobility doesn't matter, which is not supported by the available evidence.",59
2,PQ_DBD-10_18,Expanded distractor (A),distractor expansion,Ignore records,Ignore records and continue without meaningful modification to the current approach.,54
2,PQ_DBD-10_18,Expanded distractor (C),distractor expansion,Assume reports more accurate,Assume reports more accurate without gathering data to support or refute that interpretation.,54
2,PQ_DBD-10_18,Expanded distractor (D),distractor expansion,Rely only on most recent information,"Rely only on most recent information, without adequate clinical justification.",54
2,PQ_DBD-10_19,Shortened correct (B),semicolon trim,Similar accommodations likely beneficial now; indicates learning differences addressable through environmental support,Similar accommodations likely beneficial now,81
2,PQ_DBD-10_20,Shortened correct (B),semicolon trim,Generates hypotheses directing assessment focus; identifies gaps to fill with testing; prevents redundant testing,Generates hypotheses directing assessment focus,72
3,PQ_PSY-01_6,Shortened correct (C),but-clause trim,"The student's reading performance is approximately equivalent to the typical performance of an 8.5-year-old, but this does not prescribe grade placement or curriculum.",The student's reading performance is approximately equivalent to the typical performance of an 8.5-year-old.,64
3,PQ_PSY-01_10,Shortened correct (B),but-clause trim,"The student's performance approximates the average of a student in the 2nd month of 6th grade, but this does not indicate readiness for 6th-grade instruction.",The student's performance approximates the average of a student in the 2nd month of 6th grade.,84
3,PQ_PSY-01_15,Expanded distractor (B),distractor expansion,Provide the percentage of items correct separately.,Provide the percentage of items correct separately without tailoring the approach to the individual or the specific context.,83
3,PQ_PSY-01_15,Expanded distractor (C),distractor expansion,Apologize for using confusing terminology.,"Apologize for using confusing terminology, without adequate clinical justification.",83
3,PQ_PSY-01_17,Shortened correct (B),trailing-qualifier trim,Consider that the newer norm group likely reflects current population performance more accurately and may be more appropriate.,Consider that the newer norm group likely reflects current population performance more accurately.,56
3,PQ_PSY-01_18,Shortened correct (B),semicolon trim,Recognize the significant variability and avoid relying heavily on a global composite score; instead analyze cognitive strengths and weaknesses separately.,Recognize the significant variability and avoid relying heavily on a global composite score,86
3,PQ_PSY-01_19,Shortened correct (B),to-clause trim,"Provide percentile ranks, descriptive language, and a confidence interval to give a clear picture of where the score falls.","Provide percentile ranks, descriptive language, and a confidence interval.",59
3,PQ_PSY-01_20,Shortened correct (B),semicolon trim,Recognize that regression to the mean may explain some of the improvement; conduct additional progress monitoring to distinguish true improvement from statistical regression.,Recognize that regression to the mean may explain some of the improvement,97
3,PQ_PSY-02_1,Shortened correct (B),trailing-clause trim,"The low reliability suggests the test may not consistently measure disruptive behavior across time, raising concerns about score interpretation.",The low reliability suggests the test may not consistently measure disruptive behavior across time.,64
3,PQ_PSY-02_8,Shortened correct (B),em-dash trim,"Differences in the constructs measured, norm groups, or item content—indicating the tests may have different validity evidence.","Differences in the constructs measured, norm groups, or item content",55
3,PQ_PSY-02_11,Shortened correct (B),em-dash trim (with parenthetical),The item may have a problem—possibly showing differential item functioning or being poorly worded.,The item may have a problem (possibly showing differential item functioning),57
3,PQ_PSY-02_12,Shortened correct (B),trailing-clause trim,"The scale has high internal consistency but poor inter-rater reliability, suggesting that different raters may interpret or observe behavior differently.",The scale has high internal consistency but poor inter-rater reliability.,98
3,PQ_PSY-02_13,Expanded distractor (C),distractor expansion,Reliability and validity mean the same thing.,"Reliability and validity mean the same thing, without adequate clinical justification.",58
3,PQ_PSY-02_16,Shortened correct (B),semicolon trim,The test may not have adequate validity for this specific student; use caution in interpretation and consider supplementary measures.,The test may not have adequate validity for this specific student,66
3,PQ_PSY-02_18,Shortened correct (C),semicolon trim,"Consider the test's applicability to the specific population served; investigate differential validity, supplement with culturally responsive measures, and interpret results with caution.",Consider the test's applicability to the specific population served,115
3,PQ_PSY-03_9,Expanded distractor (A),distractor expansion,Special education identification.,"Special education identification, without adequate clinical justification.",52
3,PQ_PSY-03_9,Expanded distractor (C),distractor expansion,Curriculum modification.,"Curriculum modification, which is not supported by the available evidence.",52
3,PQ_PSY-03_9,Expanded distractor (D),distractor expansion,Teacher evaluation.,"Teacher evaluation, requiring no further assessment or action.",52
3,PQ_PSY-03_11,Shortened correct (B),semicolon trim,Conduct problem analysis to understand why Tier 2 did not work; consider Tier 3 intervention or evaluation for learning disabilities.,Conduct problem analysis to understand why Tier 2 did not work,88
3,PQ_PSY-03_14,Expanded distractor (A),distractor expansion,Provide the same instruction to all students.,Provide the same instruction to all students without tailoring the approach to the individual or the specific context.,73
3,PQ_PSY-03_14,Expanded distractor (D),distractor expansion,Focus only on high-performing students.,"Focus only on high-performing students, without adequate clinical justification.",73
3,PQ_PSY-03_16,Expanded distractor (A),distractor expansion,Student achievement test scores alone.,"Student achievement test scores alone, requiring no further assessment or action.",75
3,PQ_PSY-03_16,Expanded distractor (B),distractor expansion,Teacher judgment and informal observation alone.,"Teacher judgment and informal observation alone, requiring no further assessment or action.",75
3,PQ_PSY-03_16,Expanded distractor (D),distractor expansion,The school psychologist's clinical impression.,"The school psychologist's clinical impression, without adequate clinical justification.",75
3,PQ_PSY-03_19,Shortened correct (B),semicolon trim,RTI data inform disability eligibility decisions; failure to respond to adequately-implemented research-based intervention suggests a possible disability.,RTI data inform disability eligibility decisions,86
3,PQ_PSY-03_20,Shortened correct (B),semicolon trim,Most Tier 1 students meet benchmarks; Tier 2 shows gains even if some do not reach benchmark; Tier 3 students show progress despite lower absolute scores.,Most Tier 1 students meet benchmarks,51
3,PQ_PSY-04_1,Expanded distractor (A),distractor expansion,Two types of learning disabilities.,"Two types of learning disabilities, without adequate clinical justification.",87
3,PQ_PSY-04_1,Expanded distractor (C),distractor expansion,Two intelligence test constructs.,"Two intelligence test constructs, without adequate clinical justification.",87
3,PQ_PSY-04_3,Shortened correct (B),semicolon trim,The student has developed surface English fluency but may not have developed CALP; additional support and progress monitoring in academic language are warranted.,The student has developed surface English fluency but may not have developed CALP,86
3,PQ_PSY-04_4,Expanded distractor (A),distractor expansion,ELL students cannot be assessed in English.,"ELL students cannot be assessed in English, without adequate clinical justification.",100
3,PQ_PSY-04_5,Shortened correct (B),and-be-aware trim,"Brief the interpreter on assessment procedures, establish clear communication protocols, and be aware that interpretation can affect reliability and validity.","Brief the interpreter on assessment procedures, establish clear communication protocols.",68
3,PQ_PSY-04_8,Expanded distractor (A),distractor expansion,Is culturally biased.,"Is culturally biased, which is not supported by the available evidence.",80
3,PQ_PSY-04_8,Expanded distractor (C),distractor expansion,Is less reliable than static tests.,"Is less reliable than static tests, without adequate clinical justification.",80
3,PQ_PSY-04_8,Expanded distractor (D),distractor expansion,Does not provide standard scores.,"Does not provide standard scores, without adequate clinical justification.",80
3,PQ_PSY-04_10,Shortened correct (C),and-that-clause trim,"Requiring assessment to be conducted in the student's native language and in English, when feasible, and that assessment results not be based solely on language proficiency.","Requiring assessment to be conducted in the student's native language and in English, when feasible.",97
3,PQ_PSY-04_13,Shortened correct (B),semicolon trim,Recognize the possibility of a comorbid language disorder; use language-specific assessments and compare performance to peers with similar language backgrounds.,Recognize the possibility of a comorbid language disorder,94
3,PQ_PSY-04_17,Expanded distractor (D),distractor expansion,Ignore cultural context in interpretation.,Ignore cultural context in interpretation and continue without meaningful modification to the current approach.,76
3,PQ_ACA-02_7,Expanded distractor (C),distractor expansion,Modifications to the curriculum standard.,"Modifications to the curriculum standard, without adequate clinical justification.",94
3,PQ_ACA-02_7,Expanded distractor (D),distractor expansion,Special education curriculum.,"Special education curriculum, which is not supported by the available evidence.",94
4,PQ_ACA-02_12,Expanded distractor (A),distractor expansion,Continue extended time without question.,"Continue extended time without question, without adequate clinical justification.",87
4,PQ_ACA-02_12,Expanded distractor (D),distractor expansion,Increase extended time further.,"Increase extended time further, without adequate clinical justification.",87
4,PQ_ACA-02_14,Shortened correct (B),semicolon trim,"Changes the reading level standard but may maintain the content standard (e.g., understanding historical events); requires careful monitoring of whether it supports or limits the student's learning.","Changes the reading level standard but may maintain the content standard (e.g., understanding historical events)",140
4,PQ_ACA-02_14,Expanded distractor (A),distractor expansion,Is an accommodation.,"Is an accommodation, which is not supported by the available evidence.",54
4,PQ_ACA-02_15,Expanded distractor (A),distractor expansion,Make the test easier.,"Make the test easier, which is not supported by the available evidence.",55
4,PQ_ACA-02_16,Shortened correct (B),while-maintaining trim,"Providing alternative ways to participate (e.g., written responses, assistive communication device) while maintaining the learning standard.","Providing alternative ways to participate (e.g., written responses, assistive communication device).",56
4,PQ_ACA-02_17,Expanded distractor (A),distractor expansion,Is permanent and long-term.,"Is permanent and long-term, which is not supported by the available evidence.",61
4,PQ_ACA-02_17,Expanded distractor (C),distractor expansion,Is only for students with disabilities.,"Is only for students with disabilities, without adequate clinical justification.",61
4,PQ_ACA-02_17,Expanded distractor (D),distractor expansion,Changes the content standard.,"Changes the content standard, which is not supported by the available evidence.",61
4,PQ_ACA-02_19,Expanded distractor (A),distractor expansion,Continue the accommodation indefinitely.,"Continue the accommodation indefinitely, without adequate clinical justification.",94
4,PQ_ACA-02_19,Expanded distractor (B),distractor expansion,Immediately remove the accommodation.,"Immediately remove the accommodation, without adequate clinical justification.",94
4,PQ_ACA-03_11,Shortened correct (B),semicolon trim,An adaptive attribution style; this increases likelihood of trying harder next time.,An adaptive attribution style,59
4,PQ_ACA-03_13,Shortened correct (B),semicolon trim,Teaching time management and task-analysis skills; helping the student break assignments into smaller steps with intermediate deadlines.,Teaching time management and task-analysis skills,98
4,PQ_ACA-03_16,Expanded distractor (A),distractor expansion,Reading faster.,"Reading faster, which is not supported by the available evidence.",67
4,PQ_ACA-03_16,Expanded distractor (C),distractor expansion,Relaxation techniques only.,"Relaxation techniques only, which is not supported by the available evidence.",67
4,PQ_ACA-03_16,Expanded distractor (D),distractor expansion,Writing more and faster.,"Writing more and faster, which is not supported by the available evidence.",67
4,PQ_ACA-03_18,Expanded distractor (B),distractor expansion,Require the student to read everything at maximum speed.,Require the student to read everything at maximum speed without considering contextual or individualized student factors.,61
4,PQ_ACA-04_4,Shortened correct (C),semicolon trim,"Adjusting instruction based on student readiness, interest, and learning profile; providing varied pathways to the same content.","Adjusting instruction based on student readiness, interest, and learning profile",50
4,PQ_ACA-04_9,Expanded distractor (C),distractor expansion,All instruction from trained professionals only.,"All instruction from trained professionals only, without adequate clinical justification.",61
4,PQ_ACA-04_9,Expanded distractor (D),distractor expansion,Students working independently without collaboration.,"Students working independently without collaboration, requiring no further assessment or action.",61
4,PQ_ACA-04_12,Expanded distractor (C),distractor expansion,Being appropriate only for younger students.,"Being appropriate only for younger students, without adequate clinical justification.",56
4,PQ_ACA-04_12,Expanded distractor (D),distractor expansion,Reducing expectations for student learning.,"Reducing expectations for student learning, without adequate clinical justification.",56
4,PQ_ACA-04_20,Expanded distractor (C),distractor expansion,The same strategy for all students in the class.,"The same strategy for all students in the class, without adequate clinical justification.",76
4,PQ_ACA-04_20,Expanded distractor (D),distractor expansion,Instruction without ongoing evaluation.,"Instruction without ongoing evaluation, without adequate clinical justification.",76
4,PQ_ACA-06_6,Expanded distractor (A),distractor expansion,Direct experience only.,"Direct experience only, which is not supported by the available evidence.",54
4,PQ_ACA-06_6,Expanded distractor (C),distractor expansion,"Innate, predetermined responses.","Innate, predetermined responses, without adequate clinical justification.",54
4,PQ_ACA-06_6,Expanded distractor (D),distractor expansion,Punishment and reward exclusively.,"Punishment and reward exclusively, without adequate clinical justification.",54
4,PQ_ACA-06_7,Expanded distractor (A),distractor expansion,Current and future grades.,"Current and future grades, which is not supported by the available evidence.",61
4,PQ_ACA-06_7,Expanded distractor (C),distractor expansion,Intelligence and achievement.,"Intelligence and achievement, which is not supported by the available evidence.",61
4,PQ_ACA-06_7,Expanded distractor (D),distractor expansion,Grade level and chronological age.,"Grade level and chronological age, without adequate clinical justification.",61
4,PQ_ACA-06_11,Shortened correct (B),semicolon trim,People organize knowledge into patterns/schemas; new information is assimilated into or accommodated into existing schemas.,People organize knowledge into patterns/schemas,65
4,PQ_ACA-06_12,Shortened correct (B),semicolon trim,Learners have limited working memory capacity; instruction should manage cognitive load to optimize learning.,Learners have limited working memory capacity,62
4,PQ_ACA-06_15,Shortened correct (B),semicolon trim,"Learning is deeply connected to the context and activity in which it occurs; learning happens through authentic, real-world practice.",Learning is deeply connected to the context and activity in which it occurs,87
