UNIQUEID,item_format,is_multi_select,correct_answer_count,option_count_expected,has_case_vignette,case_text,question_stem,A,B,C,D,E,F,correct_answers,CORRECT_Explanation,core_concept,content_limit,DOMAIN,domain_name,domain_weight,nasp_domain_primary,original_skill_id,current_skill_id,skill_name,skill_domain_code,skill_nasp_domain,was_remapped,cognitive_complexity,complexity_rationale,outcome,construct_actually_tested,rationale,distractor_tier_A,distractor_error_type_A,distractor_misconception_A,distractor_skill_deficit_A,distractor_tier_B,distractor_error_type_B,distractor_misconception_B,distractor_skill_deficit_B,distractor_tier_C,distractor_error_type_C,distractor_misconception_C,distractor_skill_deficit_C,distractor_tier_D,distractor_error_type_D,distractor_misconception_D,distractor_skill_deficit_D,distractor_tier_E,distractor_error_type_E,distractor_misconception_E,distractor_skill_deficit_E,distractor_tier_F,distractor_error_type_F,distractor_misconception_F,distractor_skill_deficit_F,is_foundational,prereq_chain_narrative,dominant_error_pattern,error_cluster_tag,audit_status,dominant_failure_mode_tier,top_misconception_themes,instructional_red_flags,skill_prerequisites,is_human_verified,domain_rationale,skill_rationale,primaryModuleId,primarySnippet,moduleRefs_json
"PQ_ACA-09_15","Single-Select","False","1","4","False","","A student taking methylphenidate (Ritalin) for ADHD reports decreased appetite and insomnia. The school psychologist notes these side effects are affecting academics (fatigue, difficulty concentrating). What is the most appropriate action?","Recommend the student stop the medication immediately, treating a preliminary indicator as a confirmed conclusion.","Communicate side effects to the prescribing physician for possible medication adjustment while providing school-based support and monitoring","Assume these are normal effects and make no changes, when the situation calls for collaborative inquiry before drawing conclusions.","Increase stimulation and caffeine to counteract fatigue, rather than first determining whether this approach is the right one.","","","B","Decreased appetite and insomnia are documented stimulant side effects that legitimately impact functioning. The school psychologist should report these to the prescriber, who may adjust dosage, timing, or medication. Immediate discontinuation (Option A) is the physician's decision. Ignoring them (Option C) allows harm to continue. Increasing stimulation/caffeine (Option D) worsens insomnia.","","","","","","","ACA-09","ACA-09","","ACA","","","Application","This is an Application item because it requires interpreting reported symptoms, recognizing them as medication side effects, and determining appropriate professional action involving communication with the prescribing physician.","","Recognition of medication side effects and implementation of appropriate physician reporting protocols for psychostimulants","","L1","Procedural","The student believed that immediate cessation of medication is the safest response to side effects.","collaborative consultation with healthcare providers","","","","","L1","Conceptual","The student believed that side effects of medication are always normal and require no intervention.","Understanding medication side effect management","L2","Procedural","The student believed that increasing stimulation and caffeine would effectively address fatigue.","ADHD medication side effect management protocol","","","","","","","","","false","","Belief that medication side effects warrant immediate discontinuation or should be tolerated passively, missing the iterative collaborative adjustment model.","treatment-assessment-confusion","","","","Choice A (stop immediately) reflects all-or-nothing thinking; teach collaborative inquiry: side effects are data, not stop signs. Choice C (assume normal, do nothing) represents passive acceptance—wrong direction; use flowchart: side effect report → physician contact → monitor/adjust. Choice D (increase stimulation/caffeine as self-help) shows misunderstanding of ADHD medication pharmacology; emphasize: fatigue from stimulant side effects requires dose/timing adjustment by prescriber, not counter-stimulation. Role-play physician conversation to normalize consultation.","","","","","MOD-D8-04","The most common assessment pairing is the WISC (cognitive) and the Vineland Adaptive Behavior Scales (adaptive functioning).","[{""moduleId"":""MOD-D4-06"",""moduleTitle"":""Broca's Area, the Amygdala, and Brain-Behavior Basics"",""snippet"":null},{""moduleId"":""MOD-D8-04"",""moduleTitle"":""Intellectual Disability Evaluation: WISC + Vineland Required"",""snippet"":""The most common assessment pairing is the WISC (cognitive) and the Vineland Adaptive Behavior Scales (adaptive functioning).""}]"
"PQ_ACA-09_16","Single-Select","False","1","4","False","","A student with Type 1 diabetes and an IEP experiences a hypoglycemic episode (low blood sugar) resulting in confusion, irritability, and poor academic performance. Which statement best reflects appropriate school response?","Treat as a behavior problem and apply consequences for confusion and irritability","Recognize hypoglycemia as a medical emergency, follow the student's diabetes care plan (blood glucose check, quick-acting carbohydrate).","Exclude the student from school until glucose is perfectly stable","Assign blame to the student or family for inadequate glucose management","","","B","Hypoglycemia is a medical emergency causing cognitive and behavioral changes. The school nurse and trained staff follow the documented diabetes care plan (glucose monitoring, treatment). It is not a behavior problem (Option A) or cause for exclusion (Option C). Blame (Option D) is inappropriate and non-productive.","","","","","","","ACA-09","ACA-09","","ACA","","","Application","This is an Application item because it requires identifying a medical emergency situation, distinguishing it from behavioral problems, and applying appropriate emergency response protocols rather than punitive approaches.","","Recognition of hypoglycemic medical emergency situations and implementation of appropriate emergency management protocols","","L1","Conceptual","The student believed that confusion and irritability should be managed as disciplinary issues.","understanding of medical conditions in behavior management","","","","","L2","Conceptual","The student believed that exclusion is necessary for medical stability.","IDEA requirements for health-related accommodations","L3","Conceptual","The student believed that responsibility for medical management lies solely with the student or family.","IDEA requirements for medical conditions in schools","","","","","","","","","false","","Framing hypoglycemia as behavioral/disciplinary issue rather than medical emergency, preventing timely intervention.","consent-confidentiality-confusion","","","","Choice A (behavioral consequences) is dangerously wrong; teach: hypoglycemia = medical emergency with altered consciousness/cognition. Confusion/irritability are symptoms of low glucose, not misbehavior. Use glucose data + timeline to show symptom-glucose link. Choice C (exclusion from school) misunderstands IDEA health accommodations; students think stability = isolation. Teach: with care plan + monitoring, students attend normally. Choice D (blame) misses system thinking; teach shared responsibility model—school executes plan, family coordinates refills/monitoring, doctor prescribes.","","","","","MOD-D8-04","The threshold for intellectual disability is typically a standard score at least 2 standard deviations below the mean on both instruments — approximately SS 69 or below on cognitive measures, with corresponding adaptive deficits.","[{""moduleId"":""MOD-D4-06"",""moduleTitle"":""Broca's Area, the Amygdala, and Brain-Behavior Basics"",""snippet"":null},{""moduleId"":""MOD-D8-04"",""moduleTitle"":""Intellectual Disability Evaluation: WISC + Vineland Required"",""snippet"":""The threshold for intellectual disability is typically a standard score at least 2 standard deviations below the mean on both instruments — approximately SS 69 or below on cognitive measures, with corresponding adaptive deficits.""}]"
"PQ_ACA-09_17","Single-Select","False","1","4","False","","A school psychologist is assessing a child with Prenatal Drug Exposure (PDE). Which neurodevelopmental domains are most commonly affected?","Only intellectual ability; other domains are unaffected, when in fact multiple components must be considered together.","Executive functioning, impulse control, social skills, and possibly intellectual functioning (depending on severity and drug type)","Only motor coordination; no cognitive effects, when in fact multiple components must be considered together.","Language only, without accounting for the full range of contributing factors.","","","B","Prenatal drug exposure can affect executive functioning, impulse control, social/emotional functioning, and potentially intellectual functioning. The specific profile depends on the drug, timing, and severity of exposure. Options A, C, and D incorrectly narrow the scope or misrepresent PDE effects.","","","","","","","ACA-09","ACA-09","","ACA","","","Application","This is an Application item because it requires analyzing how prenatal drug exposure affects multiple cognitive and behavioral domains, distinguishing comprehensive assessment approaches from single-domain assessments.","","Analysis of multiple neurodevelopmental domains affected by prenatal drug exposure in neuropsychological assessment procedures","","L2","Conceptual","The student believed that PDE affects only intellectual ability and not other domains.","Comprehensive impact of prenatal drug exposure","","","","","L2","Conceptual","The student believed that prenatal drug exposure primarily affects motor coordination without cognitive impact.","Neurodevelopmental impact of prenatal drug exposure","L2","Conceptual","The student believed that language development is the sole domain affected by PDE.","comprehensive impact of PDE on neurodevelopment","","","","","","","","","false","","Narrowing of neurodevelopmental impact to a single domain (intellectual, motor, or language only), missing the multi-system nature of prenatal drug exposure.","scope-undergeneralization","","","","Choice A (intellectual only) represents single-domain thinking—students miss that PDE creates a constellation. Teach: executive function + impulse control + social skills are 3 separate-but-related deficits. Choice C (motor only) deflects from behavioral/cognitive domains where real school impact occurs. Choice D (language only) again misses breadth—use comparative chart: language delays exist BUT are outweighed by EF deficits in school functioning. Emphasize comprehensive neuropsychological assessment covering all domains.","","","","","MOD-D8-04","To identify an intellectual disability, school psychologists must gather two types of formal data: a cognitive assessment (measuring intellectual functioning) AND an adaptive behavior assessment (measuring practical, real-world functioning).","[{""moduleId"":""MOD-D4-06"",""moduleTitle"":""Broca's Area, the Amygdala, and Brain-Behavior Basics"",""snippet"":null},{""moduleId"":""MOD-D8-04"",""moduleTitle"":""Intellectual Disability Evaluation: WISC + Vineland Required"",""snippet"":""To identify an intellectual disability, school psychologists must gather two types of formal data: a cognitive assessment (measuring intellectual functioning) AND an adaptive behavior assessment (measuring practical, real-world functioning).""}]"
"PQ_ACA-09_18","Single-Select","False","1","4","False","","Which medication commonly used for seizure management can have the side effect of cognitive dulling or slowed processing speed?","Medications for blood pressure regulation only","Some anticonvulsant medications (e.g., phenobarbital, some others)","Only antibiotic medications","No seizure medications have cognitive side effects","","","B","Some anticonvulsant medications (particularly phenobarbital, but also others) can produce cognitive side effects including dulling, slowed processing, and drowsiness. A school psychologist should be aware of these effects and coordinate with the prescribing neurologist if cognitive impacts are significant. Options A, C, and D are inaccurate.","","","","","","","ACA-09","ACA-09","","ACA","","","Application","This is a Recall item because it requires retrieving factual knowledge about which medication classes have cognitive side effects, specifically naming anticonvulsants without requiring complex clinical interpretation.","","Identification of cognitive side effects of anticonvulsant medications on processing speed and learning capacity","","L3","Conceptual","The student believed that blood pressure medications are used for seizure management.","anticonvulsant medication side effects","","","","","L3","Conceptual","The student believed antibiotics are used for seizure management.","Anticonvulsant medication side effects","L3","Conceptual","The student believed that seizure medications are free from cognitive side effects.","side effects of anticonvulsant medications","","","","","","","","","false","","Confusion of medication classes or belief that seizure management drugs are free from cognitive side effects.","label-retrieval","","","","Choices A, C, D all reflect misclassification: students associate seizure meds with unrelated drug classes (BP meds, antibiotics) or deny cognitive effects entirely. Teach systematic approach: anticonvulsants ≠ blood pressure drugs ≠ antibiotics. Anchor with mechanism: phenobarbital slows GABA reuptake → cognitive dulling. Use side-effect profile chart contrasting medications with and without cognitive risk. For choice D, emphasize: 'free of side effects' is never true in psychopharmacology—always weigh benefit/burden.","","","","","MOD-D8-04","Both domains must show significant deficits.","[{""moduleId"":""MOD-D4-06"",""moduleTitle"":""Broca's Area, the Amygdala, and Brain-Behavior Basics"",""snippet"":null},{""moduleId"":""MOD-D8-04"",""moduleTitle"":""Intellectual Disability Evaluation: WISC + Vineland Required"",""snippet"":""Both domains must show significant deficits.""}]"
"PQ_ACA-09_19","Single-Select","False","1","4","False","","A student with ADHD has a 504 plan providing extended test time. Which is the primary educational rationale for this accommodation?","To lower academic standards or grade content, treating a preliminary indicator as a confirmed conclusion.","To compensate for reduced processing speed and working memory capacity, allowing adequate time for attention, executive functioning, and response formulation without penalizing ADHD effects on performance speed","To allow the student to avoid challenging material, when additional context would change this interpretation.","To guarantee better grades, making a definitive judgment when the situation calls for further inquiry.","","","B","Extended time for testing accommodates the executive functioning and processing demands of ADHD, allowing the student to demonstrate knowledge without penalty for attention/speed issues. This is a legitimate accommodation, not lowering standards (Option A), avoiding material (Option C), or guaranteeing grades (Option D).","","","","","","","ACA-09","ACA-09","","ACA","","","Application","This is an Application item because it requires understanding the neuropsychological basis for accommodation decisions and distinguishing legitimate compensatory adjustments from grade-lowering or academic-avoidance practices.","","Extended test time accommodation rationale based on processing speed and working memory constraints in ADHD","","L3","Conceptual","The student believed that accommodations are meant to reduce academic expectations.","Purpose of 504 plan accommodations","","","","","L2","Conceptual","The student believed accommodations are meant to reduce exposure to difficult content.","Purpose of 504 plan accommodations","L3","Conceptual","The student believed that accommodations are designed to ensure higher academic performance.","Purpose of 504 plan accommodations","","","","","","","","","false","","Fundamental conflation of accommodation purpose with outcome guarantee or expectation-lowering, obscuring the true rationale of leveling processing-speed obstacles.","purpose-confusion","","","","Choice A (lower standards) and D (guarantee better grades) both mistake accommodation logic: 504 accommodations do NOT change content or guarantee outcomes—they remove barriers to demonstrating existing capacity. Teach: extended time compensates for ADHD's processing speed/working memory effects, allowing fair measurement of knowledge. Choice C (avoid challenging material) similarly misses rationale—teach that accommodations maintain rigor while removing time penalty. Use side-by-side comparison: standard vs. extended-time test—same questions, same content, different time budget.","","","","","MOD-D8-04","An ID determination requires deficits in BOTH cognitive functioning AND adaptive behavior.","[{""moduleId"":""MOD-D4-06"",""moduleTitle"":""Broca's Area, the Amygdala, and Brain-Behavior Basics"",""snippet"":null},{""moduleId"":""MOD-D8-04"",""moduleTitle"":""Intellectual Disability Evaluation: WISC + Vineland Required"",""snippet"":""An ID determination requires deficits in BOTH cognitive functioning AND adaptive behavior.""}]"
"PQ_ACA-09_20","Single-Select","False","1","4","False","","A student returns to school following hospitalization for a severe illness. The student is medically cleared but is significantly deconditioned physically and reports anxiety about returning. Which school psychologist action best supports successful re-entry?","Place the student immediately in the regular schedule without accommodation","Develop a gradual, phased re-entry plan","Recommend extended homebound instruction indefinitely","Assume anxiety is attention-seeking and ignore it","","","B","Post-illness re-entry benefits from gradual re-entry planning, anxiety assessment and intervention, and medical/family coordination. Immediate full schedule (Option A) ignores reconditioning needs. Permanent homebound status (Option C) is unnecessary with planning. Dismissing anxiety (Option D) allows avoidance patterns to develop.

---","","","","","","","ACA-09","ACA-09","","ACA","","","Application","This is an Application item because it requires interpreting post-illness functioning, recognizing anxiety as a normal response to medical trauma, and determining appropriate graduated re-integration rather than immediate or indefinite homebound placement.","","Development of gradual re-entry planning and accommodation needs following severe illness and hospitalization recovery","","L1","Conceptual","The student believed that immediate full reintegration is beneficial for recovery.","Re-entry planning for medically fragile students","","","","","L2","Conceptual","The student believed that prolonged absence from school is beneficial for recovery.","Reintegration planning for medically cleared students","L3","Conceptual","The student believed that anxiety in returning students is always manipulative.","Understanding of anxiety as a legitimate mental health concern","","","","","","","","","false","","Belief that re-entry timing should be either instantaneous or indefinitely delayed, missing the evidence-based gradual phasing model.","sequence-inversion","","","","Choice A (immediate) overlooks deconditioning/anxiety—wrong sequence. Choice C (indefinite homebound) inverts sequence wrongly: extended absence worsens anxiety + decouples from peer context, increasing drop-out risk. Teach graduated timeline with explicit milestones: Week 1 (half-day), Week 2 (lunch included), Week 3 (add specials), Week 4 (full day). Choice D (ignore anxiety) misses that post-hospitalization anxiety is normative and evidence-based CBT in-school + parental coaching accelerates adjustment. Use real case study showing anxiety improves WITH phased return, not without.","","","","","MOD-D8-04","A low IQ score alone is insufficient.","[{""moduleId"":""MOD-D4-06"",""moduleTitle"":""Broca's Area, the Amygdala, and Brain-Behavior Basics"",""snippet"":null},{""moduleId"":""MOD-D8-04"",""moduleTitle"":""Intellectual Disability Evaluation: WISC + Vineland Required"",""snippet"":""A low IQ score alone is insufficient.""}]"
"PQ_DEV-01_1","Single-Select","False","1","4","False","","According to Erikson's theory, a child in grades K-3 (approximately ages 5-8) is in which psychosocial stage, and what is the primary developmental task?","Trust vs Mistrust—learning to trust caregivers","Initiative vs Guilt—developing purpose and planning ability","Industry vs Inferiority—developing competence through mastery of skills and academic tasks","Identity vs Role Confusion—exploring self-concept and future roles","","","C","School-age children (6-12 years) are in Erikson's Industry vs Inferiority stage, focused on developing competence, learning skills, and experiencing success in academic and social domains. Ages 3-5 are Initiative vs Guilt (Option B). Infancy is Trust vs Mistrust (Option A). Adolescence is Identity vs Role Confusion (Option D).","","","","","","","DEV-01","DEV-01","","DEV","","","Application","This is a Recall item because the stem directly asks to identify Erikson's psychosocial stage for a specific age range (K-3, ages 5-8) without requiring scenario interpretation or decision-making. The student retrieves the correct developmental stage from memorized theory.","","Erikson's Industry vs. Inferiority psychosocial stage: age-specific developmental task identification for elementary school children","","L3","Conceptual","The student believed that early childhood extends into the school-age years.","Erikson's stages of psychosocial development","L2","Conceptual","The student believed that developing purpose is the primary task for ages 5-8.","Erikson's stages of psychosocial development","","","","","L3","Conceptual","The student believed that identity exploration begins in early childhood.","Erikson's psychosocial stages for early childhood","","","","","","","","","false","","Misconception of age boundaries across Erikson's stages: conflating early childhood trust/initiative tasks with school-age industry demands.","tier-level-confusion","","","","Students selecting A (Trust vs Mistrust) or B (Initiative vs Guilt) are anchoring to earlier childhood. Show a developmental timeline with specific age ranges for each stage. Have students sort behavioral vignettes (child learning to ride a bike, forming friendships, earning good grades) to their correct stage.","","","","","MOD-D4-09","Industry vs. Inferiority (6–12 years, elementary school): Children learn to be competent and productive.","[{""moduleId"":""MOD-D4-09"",""moduleTitle"":""Erikson's Stages: School-Age Reference Card"",""snippet"":""Industry vs. Inferiority (6–12 years, elementary school): Children learn to be competent and productive.""}]"
"PQ_DEV-01_2","Single-Select","False","1","4","False","","A 5-year-old understands that a tall, thin glass and a short, wide glass contain the same amount of liquid only when he watches the pouring process. He cannot yet reliably answer conservation questions about rearranged objects. Which Piaget stage does this suggest?","Sensorimotor (0-2 years)","Preoperational (2-7 years)","Concrete Operational (7-11 years)","Formal Operational (11+ years)","","","B","This child is in the Preoperational stage, characterized by lack of conservation—the inability to understand that quantity remains the same despite perceptual changes. He can understand conservation only with perceptual support (watching the pour), which is typical of this stage. Concrete Operational children (Option C) reliably conserve without perceptual support. Sensorimotor (Option A) and Formal Operational (Option D) are incorrect stages.","","","","","","","DEV-01","DEV-01","","DEV","","","Application","This is an Application item because the stem presents a behavioral vignette (5-year-old pouring liquids, conservation task) requiring interpretation of concrete developmental characteristics to match a specific Piaget cognitive stage. The student must apply stage criteria to the described behavior.","","Piaget's Preoperational cognitive stage: conservation limitations and object-permanence centration in concrete liquid-pouring tasks","","L3","Conceptual","The student believed that conservation skills develop during the sensorimotor stage.","Piaget's stages of cognitive development","","","","","L1","Conceptual","The student believed that understanding conservation indicates the concrete operational stage.","Piaget's stages of cognitive development","L3","Conceptual","The student believed that understanding conservation tasks requires formal operational thinking.","Piaget's stages of cognitive development","","","","","","","","","false","","Misplacement of conservation understanding: believing mastery occurs earlier (sensorimotor) or requires formal operations rather than concrete operations.","tier-level-confusion","","","","Students choosing A or C/D are misaligning cognitive stage with task demand. Show the conservation task (pouring water). Ask: Can a sensorimotor infant do this? No—no object permanence yet. Can a preoperational child understand it? Only with watching. Does formal operations add anything new? Not for liquid conservation. This task IS the hallmark of concrete operational entry.","","","","","MOD-D4-09","Initiative vs. Guilt (3–5 years, preschool): Children take on new tasks and assert themselves.","[{""moduleId"":""MOD-D4-09"",""moduleTitle"":""Erikson's Stages: School-Age Reference Card"",""snippet"":""Initiative vs. Guilt (3–5 years, preschool): Children take on new tasks and assert themselves.""}]"
"PQ_DEV-01_3","Single-Select","False","1","4","False","","According to Vygotsky's theory, the ""Zone of Proximal Development"" (ZPD) refers to:","The range of skills a child has already mastered independently and can consistently demonstrate without any form of adult guidance or support","Tasks that are currently too difficult for the child to learn even with adult scaffolding, support, and instruction over an extended period","The range between what a child can do independently and what he can do with adult scaffolding/support","The child's overall intelligence level as measured by standardized testing and intelligence quotient assessments","","","C","The ZPD is the gap between independent performance and performance with adult guidance—the area where learning occurs with support. Option A describes independent functioning (below the ZPD). Option B describes tasks beyond the ZPD. Option D misrepresents ZPD as an intelligence measure.","","","","","","","DEV-01","DEV-01","","DEV","","","Recall","This is a Recall item because the stem directly asks for the definition of Zone of Proximal Development (ZPD) without scenario context. The student retrieves the core theoretical definition from Vygotsky's framework rather than applying it to a situation.","","Vygotsky's Zone of Proximal Development concept: definition of performance range between independent and assisted task capability","","L1","Conceptual","The student believed ZPD includes skills mastered without help.","Vygotsky's Zone of Proximal Development concept","L2","Conceptual","The student believed the ZPD includes tasks beyond the child's reach even with help.","Vygotsky's Zone of Proximal Development definition","","","","","L3","Conceptual","The student believed that ZPD is related to measuring intelligence through standardized tests.","Vygotsky's Zone of Proximal Development concept","","","","","","","","","false","","Scope error in ZPD definition: including mastered skills (already independent) or impossible tasks (beyond scaffolding reach) as part of the zone.","scope-overgeneralization","","","","Students selecting A or B misdefine the boundaries. Use a Venn diagram: left circle = Independent (mastered); overlap = ZPD (can do with help); right circle = Too hard (even with help). Have students sort task cards into these regions to internalize the concept.","","","","","MOD-D4-09","The range between what a child can do independently and what they can do with adult guidance/support.","[{""moduleId"":""MOD-D4-09"",""moduleTitle"":""Erikson's Stages: School-Age Reference Card"",""snippet"":""The range between what a child can do independently and what they can do with adult guidance/support.""}]"
"PQ_DEV-01_4","Single-Select","False","1","4","False","","A school psychologist implements scaffolding strategies (e.g., breaking tasks into steps, providing models, gradually reducing support) based on Vygotsky's theory. This practice reflects which key Vygotskian concept?","Object permanence within the context of cognitive development stages","Scaffolding within the Zone of Proximal Development","Conservation of physical properties during the concrete operational stage","Theory of Mind and understanding others' mental states and beliefs","","","B","Scaffolding—providing graduated support that decreases as the child gains competence—is a direct application of Vygotsky's ZPD theory. Object permanence (Option A) and conservation (Option C) are Piagetian concepts. Theory of Mind (Option D) is a different developmental concept.","","","","","","","DEV-01","DEV-01","","DEV","","","Application","This is an Application item because the stem describes specific scaffolding practices (breaking tasks into steps, providing models, gradually reducing support) and requires matching these concrete instructional strategies to the underlying Vygotskian concept. The student interprets practice to theory.","","Scaffolding within Vygotsky's Zone of Proximal Development: matching instructional strategy intensity to learner independence progression","","L3","Conceptual","The student believed that object permanence is a Vygotskian concept.","Piaget's stages of cognitive development","","","","","L3","Conceptual","The student believed that conservation is a Vygotskian concept related to scaffolding.","Piaget's stages of cognitive development","L2","Conceptual","The student believed that scaffolding is related to understanding others' perspectives.","Vygotsky's Zone of Proximal Development","","","","","","","","","false","","Misattribution of scaffolding to non-Vygotskian theories: confusing object permanence (Piaget/sensorimotor), conservation (Piaget/concrete operational), or Theory of Mind (social cognition) with scaffolding strategy.","indirect-direct-confusion","","","","Students choosing A, C, or D are mixing theorists. Clarify: Scaffolding is Vygotsky's term. Piaget (object permanence, conservation) describes what children think; Vygotsky (scaffolding, ZPD) describes how to teach them. Use a table: Piaget stages (what) vs Vygotsky methods (how) to separate frameworks.","","","","","MOD-D4-09","Scaffolding within the Zone of Proximal Development supports gradual independence as competence increases.","[{""moduleId"":""MOD-D4-09"",""moduleTitle"":""Erikson's Stages: School-Age Reference Card"",""snippet"":""Scaffolding within the Zone of Proximal Development supports gradual independence as competence increases.""}]"
"PQ_DEV-01_5","Single-Select","False","1","4","False","","Bronfenbrenner's ecological systems model describes the child's environment in nested layers. Which system includes the interaction between the child's home and school?","Microsystem (immediate environments the child directly participates in)","Mesosystem (connections between microsystems)","Exosystem (indirect influences on the child)","Macrosystem (cultural and societal values)","","","B","The Mesosystem consists of connections and interactions between microsystems (e.g., home-school communication, consistency between home and school expectations). The Microsystem (Option A) includes individual environments. The Exosystem (Option C) involves indirect influences (e.g., parent's workplace policies affecting family). The Macrosystem (Option D) is the broader cultural context.","","","","","","","DEV-01","DEV-01","","DEV","","","Application","This is a Recall item because the stem asks to identify which system in Bronfenbrenner's model describes home-school interactions, requiring direct retrieval of the definition of mesosystem without contextual application or decision-making.","","Bronfenbrenner's Mesosystem in ecological systems model: interconnections between child's home and school microsystems","","L1","Conceptual","The student believed that direct environments include interactions between them.","Bronfenbrenner's ecological systems model layers","","","","","L2","Conceptual","The student believed that interactions between home and school are indirect influences.","Bronfenbrenner's ecological systems model layers","L3","Conceptual","The student believed that cultural and societal values directly influence interactions between home and school.","Bronfenbrenner's ecological systems model layers","","","","","","","","","false","","System-layer confusion: treating home-school connections as either direct microsystems or broad cultural influences rather than intermediate mesosystem interactions.","validity-reliability-confusion","","","","Students choosing A or C miss the relational level. Clarify the nested model: Microsystem = single setting (home OR school); Mesosystem = connections BETWEEN microsystems (home↔school communication); Exosystem = influences on microsystems (parents' workplace affects family stress); Macrosystem = cultural values. Use a concrete example: A parent-teacher conference is mesosystem; the teacher's school policies are microsystem.","","","","","MOD-D4-09","Mesosystem (connections between microsystems like home-school interactions).","[{""moduleId"":""MOD-D4-09"",""moduleTitle"":""Erikson's Stages: School-Age Reference Card"",""snippet"":""Mesosystem (connections between microsystems like home-school interactions).""}]"
"PQ_DEV-01_6","Single-Select","False","1","4","False","","According to attachment theory (Bowlby, Ainsworth), an infant showing the ""secure attachment"" pattern would most likely exhibit which behavior when the parent returns after a brief separation?","Ignoring the parent and remaining engaged with toys","Showing fear and resistance; difficulty being comforted even when the parent returns","Seeking proximity to the parent, being comforted, then returning to exploration","Showing confusion and disorganized behavior","","","C","Secure attachment is characterized by the infant seeking the parent when distressed, being comforted, then resuming independent exploration. Ignoring (Option A) suggests avoidant attachment. Resistance and difficulty calming (Option B) suggest resistant/ambivalent attachment. Disorganized behavior (Option D) characterizes disorganized attachment.","","","","","","","DEV-01","DEV-01","","DEV","","","Application","This is an Application item because the stem describes a specific attachment behavior pattern (seeking proximity, being comforted, returning to exploration after parent returns) requiring identification of secure attachment type from attachment theory. The student interprets behavioral indicators.","","Secure attachment pattern in infancy: proximity-seeking behavior, comfort-reception, and rapid return to exploratory play after reunion","","L2","Conceptual","The student believed that secure attachment involves independence from the parent.","secure attachment behavior upon reunion","L1","Conceptual","The student believed that secure attachment involves fear and resistance upon reunion.","attachment theory secure attachment behavior","","","","","L2","Conceptual","The student believed that disorganized behavior is a sign of secure attachment.","Attachment theory secure attachment characteristics","","","","","","","","","false","","Behavioral misidentification: confusing secure attachment reunion behavior (proximity + comfort + exploration) with avoidant (ignoring) or disorganized (fearful/confused) patterns.","component-confusion","","","","Students selecting A, B, or D miss the specific behavioral sequence. Teach the three-step secure pattern: 1) Seek proximity when parent returns, 2) Accept comfort, 3) Resume play. Compare to avoidant (ignores parent), resistant (cries at reunion), and disorganized (fear/confusion). Show video clips if possible; students hear the distinctions better visually.","","","","","MOD-D4-09","Seeking proximity to the parent, being comforted, and using the parent as a secure base characterize secure attachment.","[{""moduleId"":""MOD-D4-09"",""moduleTitle"":""Erikson's Stages: School-Age Reference Card"",""snippet"":""Seeking proximity to the parent, being comforted, and using the parent as a secure base characterize secure attachment.""}]"
"PQ_DEV-01_7","Single-Select","False","1","4","False","","A toddler becomes extremely distressed when the parent leaves for work and refuses to be comforted by the teacher, even after 30 minutes. Later, the child cries when the parent returns and resists being picked up. This attachment pattern is most consistent with:","Secure attachment","Avoidant attachment","Resistant (Ambivalent) attachment","Disorganized attachment","","","C","Resistant/ambivalent attachment is characterized by distress at separation, difficulty being comforted by others, and resistance or mixed reactions to the parent's return. Secure attachment (Option A) involves ease of comforting. Avoidant attachment (Option B) involves ignoring the parent. Disorganized (Option D) involves confused/inconsistent behavior.","","","","","","","DEV-01","DEV-01","","DEV","","","Application","This is an Application item because the stem presents a behavioral vignette (extreme distress at separation, resistance to comfort, resistance when parent returns) requiring classification into a specific attachment type. The student applies attachment theory categories to observed behavior.","","Resistant/Ambivalent attachment pattern: inconsolable separation distress, inconsistent comfort-seeking, and reunion resistance in toddlers","","L1","Conceptual","The student believed that distress upon separation and reunion indicates a secure attachment.","Characteristics of secure attachment","L2","Conceptual","The student believed that avoidant attachment involves distress when separated and resistance upon reunion.","Characteristics of avoidant attachment","","","","","L2","Conceptual","The student believed that inconsistent behavior upon reunion indicates disorganized attachment.","Characteristics of disorganized attachment","","","","","","","","","false","","Misidentification of attachment pattern: conflating secure attachment separation distress with resistant/ambivalent inconsolability and reunion resistance.","population-confusion","","","","Students choosing A or B miss the inconsistency signature. Resistant (ambivalent) attachment is defined by BOTH distress at separation AND resistance at reunion—the child wants and pushes away simultaneously. Secure = distressed but then comforted. Avoidant = ignores parent. Use a side-by-side comparison of reunion behaviors.","","","","","MOD-D4-09","Resistant (Ambivalent) attachment involves distress at separation and ambivalent reunion behavior.","[{""moduleId"":""MOD-D4-09"",""moduleTitle"":""Erikson's Stages: School-Age Reference Card"",""snippet"":""Resistant (Ambivalent) attachment involves distress at separation and ambivalent reunion behavior.""}]"
