id,templateId,skillId,"domain",stem,choiceA,choiceB,choiceC,choiceD,correctLetter,correctText,"choiceLengths","correctLength","lengthRatios",flags,source
SP5403_Q011,,MBH-S02,Legal/Ethics,"Which of the following court cases focuses on the duty to warn and protect others who may be in danger when someone reports intent to harm?","Tarasoff v. Regents of the University of California","Mills v. Board of Education of the District of Columbia",Larry P. v. Riles,Lau v. Nichols,A,"Tarasoff v. Regents of the University of California",A=51|B=55|C=17|D=14,51.00,A=1.00|B=1.08|C=0.33|D=0.27,"irrelevant-domain, banned-term, length-mismatch",ETS
SP5403_Q012,,CC-S03,DBDM,"An elementary school recently implemented a new reading program with the goal of reducing referrals. Because this initiative is new for the teachers, the building principal has asked the school psychologist to assist with implementation of the program. Which of the following activities is most appropriate for the school psychologist to participate in when assisting the teachers?","Coteaching lessons once weekly to observe the students in the classroom","Conducting weekly observations of each classroom to determine if the teachers are correctly following the curriculum and reporting to the principal with information from the observation","Taking over for the teacher when implementing the reading program to identify students who might need more individualized support","Helping to develop a means of tracking the progress of students receiving the intervention program and assisting teachers with the data collection process",D,"Helping to develop a means of tracking the progress of students receiving the intervention program and assisting teachers with the data collection process",A=71|B=185|C=129|D=154,154.00,A=0.46|B=1.20|C=0.84|D=1.00,"irrelevant-domain, length-mismatch",ETS
SP5403_Q013,,DBDM-S10,Academic,"Which of the following is the first step in selecting an appropriate academic intervention?","Selecting an appropriate evidence-based intervention","Monitoring the student's performance","Assessing the student's current level of functioning to identify the skill deficit","Evaluating the effectiveness of the intervention",C,"Assessing the student's current level of functioning to identify the skill deficit",A=52|B=36|C=82|D=48,82.00,A=0.63|B=0.44|C=1.00|D=0.59,"length-mismatch",ETS
SP5403_Q014,,"NEW-6-BullyingPrevention",Academic,"A school psychologist serving a rural school district has found that the district is resistant to using academic interventions. The district uses a curriculum that has not been updated for 15 years. The school psychologist has found that there are significant discrepancies between the achievement levels of students who attend the district schools and those who attend the nearby city schools. Which of the following is the best course of action for the school psychologist to begin addressing the discrepancies?","Advocating with district leaders for an update to the curriculum based on the evidence that shows the discrepancies between districts","Continuing to advocate with teachers for interventions that address specific student deficits and documenting results","Meeting with families to discuss their children's educational deficits and providing at-home intervention activities to increase achievement","Presenting to the school board on how the school psychologist can improve district outcomes through evaluating more students for special education",A,"Advocating with district leaders for an update to the curriculum based on the evidence that shows the discrepancies between districts",A=133|B=117|C=140|D=146,133.00,A=1.00|B=0.88|C=1.05|D=1.10,"none",ETS
SP5403_Q015,,ACAD-S04,DBDM,"Which of the following is the best example of a functional behavior assessment (FBA)?","Completing a cognitive and achievement assessment for the purpose of identifying a specific learning disability","Analyzing data to identify academic difficulties that can be addressed with interventions","Completing an observation and interview for the purpose of identifying the function of a student's problem behavior","Completing a depression screening for the purpose of identifying mental health concerns",C,"Completing an observation and interview for the purpose of identifying the function of a student's problem behavior",A=111|B=89|C=115|D=87,115.00,A=0.97|B=0.77|C=1.00|D=0.76,"irrelevant-domain",ETS
SP5403_Q016,,DBDM-S08,DBDM,"Which of the following is an example of progress monitoring?","Completing cognitive testing to identify intellectual ability","Completing classroom observations of a student for the purpose of identifying the function of a behavior","Completing reading curriculum-based measures weekly to identify reading growth","Administering a universal reading screener to all students",C,"Completing reading curriculum-based measures weekly to identify reading growth",A=61|B=104|C=78|D=58,78.00,A=0.78|B=1.33|C=1.00|D=0.74,"irrelevant-domain",ETS
SP5403_Q017,,FSC-S03,MBH,"A school psychologist is working with an eighth-grade student who has been demonstrating depressive symptoms. When the student says that she has been thinking about suicide, the school psychologist should first","immediately contact the student's parents or guardians","ask the student if she has a plan for self-harm","ask the student if she feels safe","immediately contact a crisis center",B,"ask the student if she has a plan for self-harm",A=54|B=47|C=33|D=35,47.00,A=1.15|B=1.00|C=0.70|D=0.74,"none",ETS
SP5403_Q018,,DBDM-S07,DBDM,"Which of the following describes a key difference between formative and summative assessments?","Formative assessments occur at the end of instruction, while summative assessments occur during instruction.","Formative assessments are used to guide instruction, while summative assessments are used to evaluate learning at the end of instruction.","Formative assessments are graded, while summative assessments are not graded.","Formative assessments are used to rank students, while summative assessments are not used for ranking.",B,"Formative assessments are used to guide instruction, while summative assessments are used to evaluate learning at the end of instruction.",A=108|B=137|C=77|D=102,137.00,A=0.79|B=1.00|C=0.56|D=0.74,"none",ETS
SP5403_Q019,,DBDM-S10,DBDM,"A school psychologist has recently been hired to work at an elementary school. The principal informs the psychologist that over the past year, there has been an increase in behavior referrals for students on the playground and in the hallways. Which of the following steps should the school psychologist take first?","Meet with classroom teachers to identify strategies they use for playground and hallway transitions","Review the referral data to identify common problem behaviors and the locations where they occur most frequently","Contact the district's behavior specialist to schedule professional development on positive behavior support strategies","Present a plan to implement a schoolwide positive behavior intervention and support (PBIS) program",B,"Review the referral data to identify common problem behaviors and the locations where they occur most frequently",A=99|B=112|C=119|D=98,112.00,A=0.88|B=1.00|C=1.06|D=0.88,"none",ETS
SP5403_Q020,,"NEW-3-InstructionalHierarchy",Academic,"A school psychologist is working with Sarah, a tenth-grade student who has expressed frustration with her lack of progress in math class. She has said that she studies hard and does well on most of her homework but that she does poorly on tests. During the evaluation, the school psychologist notices that Sarah appears very anxious during testing. Which of the following would be the best first step for the school psychologist to take?","Recommend that Sarah be provided with extended testing time on all math tests","Teach Sarah strategies to help her manage her anxiety during tests","Contact Sarah's parents to suggest she see a doctor about anxiety medication","Suggest that Sarah's teacher allow her to take tests in a separate, quieter location",B,"Teach Sarah strategies to help her manage her anxiety during tests",A=77|B=66|C=76|D=84,66.00,A=1.17|B=1.00|C=1.15|D=1.27,"none",ETS
SP5403_Q021,,DBDM-S05,DBDM,"A school psychologist is evaluating David, a fourth-grade student, for special education eligibility. Which of the following sources of data would be most important for the school psychologist to gather to determine whether David qualifies for special education services?","Medical records, teacher interview, and behavior checklist","Cognitive assessment, achievement assessment, and progress monitoring data","Parent interview, classroom observation, and medical records","Universal screening data, teacher interview, and parent interview",B,"Cognitive assessment, achievement assessment, and progress monitoring data",A=58|B=74|C=60|D=65,74.00,A=0.78|B=1.00|C=0.81|D=0.88,"none",ETS
SP5403_Q022,,SWP-S01,Academic,"Which of the following is the best example of a Tier 2 intervention?",A schoolwide positive behavior support program,"A small-group social skills intervention","An individualized behavior intervention plan","A universal reading curriculum",B,"A small-group social skills intervention",A=46|B=40|C=44|D=30,40.00,A=1.15|B=1.00|C=1.10|D=0.75,"irrelevant-domain",ETS
SP5403_Q023,,DIV-S07,Research,"A school psychologist is leading a professional development session on evidence-based practices in education. Which of the following best describes an evidence-based practice?","A practice that has been used for many years and is supported by experienced teachers","A practice that has been shown by rigorous research to produce positive results","A practice that was developed by experts in the field","A practice that is mandated by state or federal law",B,"A practice that has been shown by rigorous research to produce positive results",A=85|B=79|C=53|D=51,79.00,A=1.08|B=1.00|C=0.67|D=0.65,"none",ETS
SP5403_Q024,,CC-S03,DBDM,"Which of the following is NOT typically a role of the school psychologist in a problem-solving team meeting?","Facilitating the meeting and keeping the team focused on the agenda","Making the final decision about which interventions to implement","Analyzing assessment data and sharing the results with the team","Helping the team identify evidence-based interventions",B,"Making the final decision about which interventions to implement",A=67|B=64|C=63|D=54,64.00,A=1.05|B=1.00|C=0.98|D=0.84,"none",ETS
SP5403_Q025,,DBDM-S03,Diversity,"A school psychologist administers an intelligence test to a student. The student earns a Full Scale IQ score of 85 with a 95% confidence interval of 80-90. Which of the following is the best interpretation of this result?","The student's true IQ is 85.","There is a 95% probability that the student's true IQ falls between 80 and 90.","The student will always score between 80 and 90 on this test.","The student's IQ score is significantly below average.",B,"There is a 95% probability that the student's true IQ falls between 80 and 90.",A=28|B=78|C=61|D=54,78.00,A=0.36|B=1.00|C=0.78|D=0.69,"length-mismatch",ETS
SP5403_Q026,,PC-S01,MBH,"Which of the following is the best strategy for a school psychologist to use when building rapport with a student who is reluctant to participate in an evaluation?","Explaining the consequences if the student refuses to participate","Starting with less demanding tasks and gradually moving to more challenging tasks","Having the student's teacher or parent present during the evaluation","Rushing through the evaluation to minimize the student's discomfort",B,"Starting with less demanding tasks and gradually moving to more challenging tasks",A=65|B=81|C=68|D=67,81.00,A=0.80|B=1.00|C=0.84|D=0.83,"irrelevant-domain",ETS
SP5403_Q027,,RES-S05,Academic,"A school psychologist is consulting with a teacher about a student who frequently calls out answers without raising his hand. Which of the following intervention strategies would most directly address this behavior?","Providing the student with a fidget toy to keep his hands busy","Moving the student's seat closer to the teacher","Teaching the student to use a self-monitoring checklist","Providing the student with more opportunities to respond appropriately",C,"Teaching the student to use a self-monitoring checklist",A=62|B=47|C=55|D=70,55.00,A=1.13|B=0.85|C=1.00|D=1.27,"none",ETS
SP5403_Q028,,DBDM-S05,DBDM,"A school psychologist is working with a student who has been identified as having a specific learning disability in reading. Which of the following assessment approaches would be most appropriate to determine the student's instructional level?","Administering a standardized achievement test","Administering curriculum-based measurement probes","Administering a standardized intelligence test","Conducting a classroom observation",B,"Administering curriculum-based measurement probes",A=45|B=49|C=46|D=34,49.00,A=0.92|B=1.00|C=0.94|D=0.69,"none",ETS
SP5403_Q029,,MBH-S01,Academic,"Which of the following best describes the purpose of a behavior intervention plan (BIP)?","To document the frequency and severity of a student's problem behaviors","To identify the consequences that will be applied when a student misbehaves","To provide a comprehensive plan for addressing problem behaviors based on the function of the behavior","To determine whether a student qualifies for special education services",C,"To provide a comprehensive plan for addressing problem behaviors based on the function of the behavior",A=71|B=75|C=102|D=71,102.00,A=0.70|B=0.74|C=1.00|D=0.70,"none",ETS
SP5403_Q030,,NEW-9-Variables,Academic,"A school psychologist is working with a third-grade student who has difficulty completing assignments independently. The teacher reports that the student frequently asks for help and does not begin tasks without prompting. Which of the following strategies would be most effective for increasing the student's independent work completion?","Providing the student with extended time to complete assignments","Having the student complete assignments in a resource room with adult support","Teaching the student to use a self-instruction strategy to guide task completion","Modifying assignments to reduce the number of problems",C,"Teaching the student to use a self-instruction strategy to guide task completion",A=64|B=77|C=80|D=54,80.00,A=0.80|B=0.96|C=1.00|D=0.68,"none",ETS
SP5403_Q031,,DBDM-S02,DBDM,"Which of the following types of validity evidence is most directly assessed by examining the relationship between test scores and an external criterion?","Content validity","Construct validity","Criterion-related validity",Face validity,C,"Criterion-related validity",A=16|B=18|C=26|D=13,26.00,A=0.62|B=0.69|C=1.00|D=0.50,"none",ETS
SP5403_Q032,,DIV-S02,DBDM,"A school psychologist is evaluating a student who was recently adopted from another country. The student has limited English proficiency and has been in the United States for less than one year. Which of the following should the school psychologist consider most carefully when selecting assessment instruments?","Choosing tests with strong reliability evidence","Selecting tests that were normed on students from the student's country of origin","Using nonverbal measures of cognitive ability","Administering tests in the student's native language only",C,"Using nonverbal measures of cognitive ability",A=47|B=81|C=45|D=57,45.00,A=1.04|B=1.80|C=1.00|D=1.27,"irrelevant-domain",ETS
SP5403_Q033,,"NEW-2-ConsultationProcess",Family,"A school psychologist is presenting results of an evaluation to a student's parents. The psychologist should","use technical jargon to demonstrate expertise","focus only on the student's weaknesses to justify the need for services","explain results in language that is easy for the parents to understand","avoid discussing any results that might concern the parents",C,"explain results in language that is easy for the parents to understand",A=45|B=71|C=70|D=59,70.00,A=0.64|B=1.01|C=1.00|D=0.84,"irrelevant-domain",ETS
SP5403_Q034,,DBDM-S05,Diversity,"Which of the following is the most appropriate use of intelligence test scores in educational decision-making?","To rank students by ability and track them into different educational programs","To predict a student's potential for academic achievement and success in life","To identify discrepancies between ability and achievement for eligibility determination","To determine the specific academic interventions a student needs",C,"To identify discrepancies between ability and achievement for eligibility determination",A=78|B=77|C=87|D=64,87.00,A=0.90|B=0.89|C=1.00|D=0.74,"none",ETS
SP5403_Q035,,CC-S01,Academic,"A school psychologist is working with a middle school student who has been experiencing social difficulties. The student reports feeling lonely and having trouble making friends. Which of the following interventions would be most appropriate?","Referring the student for individual counseling with an outside therapist","Enrolling the student in a social skills group at school","Suggesting the parents arrange more playdates for the student","Recommending the student be placed in a smaller classroom setting",B,"Enrolling the student in a social skills group at school",A=73|B=56|C=61|D=65,56.00,A=1.30|B=1.00|C=1.09|D=1.16,"none",ETS
SP5403_Q036,,DBDM-S05,DBDM,"Which of the following assessment tools would be most appropriate for identifying students who may be at risk for reading difficulties at the beginning of first grade?","A standardized reading achievement test","A phonemic awareness screening measure","A comprehensive reading diagnostic assessment","A reading interest inventory",B,"A phonemic awareness screening measure",A=39|B=38|C=45|D=28,38.00,A=1.03|B=1.00|C=1.18|D=0.74,"none",ETS
SP5403_Q037,,"NEW-2-ProblemSolvingSteps",DBDM,"A school psychologist is consulting with a teacher about a student who has been having difficulty staying on task during independent work time. The teacher has tried several strategies but has not seen improvement. Which of the following should the school psychologist recommend first?","Referring the student for a comprehensive evaluation","Collecting more detailed data on the specific behaviors and conditions","Implementing a token economy system","Recommending the student for placement in a more structured classroom",B,"Collecting more detailed data on the specific behaviors and conditions",A=52|B=70|C=35|D=69,70.00,A=0.74|B=1.00|C=0.50|D=0.99,"none",ETS
SP5403_Q038,,LEG-S04,DBDM,"Which of the following is a characteristic of a well-designed single-subject research study?","Random assignment to treatment and control groups",Large sample size,Multiple measures of the target behavior over time,"Double-blind procedures",C,Multiple measures of the target behavior over time,A=49|B=17|C=50|D=23,50.00,A=0.98|B=0.34|C=1.00|D=0.46,"length-mismatch",ETS
SP5403_Q039,,DBDM-S03,DBDM,"A school psychologist is reviewing the results of a standardized test. The test manual indicates that the test has a reliability coefficient of .95. Which of the following best describes what this means?",The test measures what it claims to measure 95% of the time.,"Scores on this test are highly consistent and stable.","95% of students will score within the average range.","The test predicts future performance with 95% accuracy.",B,"Scores on this test are highly consistent and stable.",A=60|B=53|C=52|D=55,53.00,A=1.13|B=1.00|C=0.98|D=1.04,"none",ETS
SP5403_Q040,,ACAD-S02,Legal/Ethics,"According to NASP's Model for Comprehensive and Integrated School Psychological Services, which of the following is considered a foundational domain?","Data-based decision making","Consultation and collaboration","Legal, ethical, and professional practice","Interventions and instructional support",C,"Legal, ethical, and professional practice",A=26|B=30|C=41|D=39,41.00,A=0.63|B=0.73|C=1.00|D=0.95,"none",ETS
SP5403_Q041,,DIV-S01,DBDM,"A school psychologist is working with a student who has a history of aggressive behavior. The student recently made a statement suggesting he might hurt another student. Which of the following should the school psychologist do first?","Contact the student's parents","Report the statement to the school administration","Conduct a threat assessment","Document the statement and continue monitoring",C,"Conduct a threat assessment",A=29|B=49|C=27|D=46,27.00,A=1.07|B=1.81|C=1.00|D=1.70,"none",ETS
SP5403_Q042,,"NEW-1-PerformanceAssessment",DBDM,"Which of the following is the best example of a performance-based assessment?","A multiple-choice test on math facts","A written essay on a historical topic","A standardized reading comprehension test","A teacher rating scale of student behavior",B,"A written essay on a historical topic",A=36|B=37|C=41|D=42,37.00,A=0.97|B=1.00|C=1.11|D=1.14,"none",ETS
SP5403_Q043,,FSC-S04,Academic,"A school psychologist is working with a student who has been diagnosed with ADHD. Which of the following classroom accommodations would be most likely to help the student stay focused during instruction?","Reducing the amount of homework assigned","Providing preferential seating near the teacher","Allowing the student to retake tests until passing","Excusing the student from group activities",B,"Providing preferential seating near the teacher",A=40|B=47|C=50|D=42,47.00,A=0.85|B=1.00|C=1.06|D=0.89,"none",ETS
SP5403_Q044,,SWP-S01,Academic,"Which of the following best describes the concept of response to intervention (RTI)?","A model for identifying students with disabilities based on IQ-achievement discrepancies","A multi-tiered system for providing increasingly intensive interventions to struggling students","A process for evaluating the effectiveness of special education programs","A method for assessing student intelligence without standardized tests",B,"A multi-tiered system for providing increasingly intensive interventions to struggling students",A=88|B=95|C=72|D=70,95.00,A=0.93|B=1.00|C=0.76|D=0.74,"none",ETS
SP5403_Q045,,ACAD-S01,DBDM,"A school psychologist is evaluating a student for possible autism spectrum disorder. Which of the following assessment approaches would be most appropriate?","Administering only standardized cognitive and achievement tests","Using multiple sources of information including observation, interviews, and rating scales","Relying primarily on parent report of early developmental history","Focusing exclusively on academic performance data",B,"Using multiple sources of information including observation, interviews, and rating scales",A=63|B=90|C=65|D=49,90.00,A=0.70|B=1.00|C=0.72|D=0.54,"none",ETS
SP5403_Q046,,PC-S05,Family,"Which of the following is the most appropriate way for a school psychologist to respond when a parent requests that their child's evaluation report not be shared with the school?","Agree to keep the report confidential from school staff","Explain that the report will be shared only with team members who need the information","Refuse to complete the evaluation",Share the full report with all school staff,B,"Explain that the report will be shared only with team members who need the information",A=55|B=86|C=33|D=43,86.00,A=0.64|B=1.00|C=0.38|D=0.50,"length-mismatch",ETS
SP5403_Q047,,NEW-9-ValidityThreats,MBH,"A school psychologist is working with a student who has anxiety. The student's teacher reports that the student frequently asks to leave class to go to the nurse's office. Which of the following is the most likely function of this behavior?","Attention seeking","Escape or avoidance","Sensory stimulation","Tangible reinforcement",B,"Escape or avoidance",A=17|B=19|C=19|D=22,19.00,A=0.89|B=1.00|C=1.00|D=1.16,"irrelevant-domain",ETS
SP5403_Q048,,DBDM-S03,DBDM,"Which of the following statistical concepts is most useful for understanding how much variability in a student's test scores is due to measurement error?","Mean","Standard deviation","Standard error of measurement","Correlation coefficient",C,"Standard error of measurement",A=4|B=18|C=29|D=23,29.00,A=0.14|B=0.62|C=1.00|D=0.79,"length-mismatch, single-word",ETS
SP5403_Q049,,CC-S01,C&C,"A school psychologist is conducting a consultation with a teacher about a student's behavior. Which of the following consultation models emphasizes collaboration between the consultant and consultee?","Expert consultation","Behavioral consultation","Mental health consultation","Conjoint behavioral consultation",D,"Conjoint behavioral consultation",A=19|B=23|C=26|D=32,32.00,A=0.59|B=0.72|C=0.81|D=1.00,"none",ETS
SP5403_Q050,,DIV-S05,"Prevention","Which of the following is the best way for a school psychologist to ensure cultural responsiveness when conducting an evaluation?","Using only nonverbal tests for all students from diverse backgrounds","Considering the student's cultural and linguistic background when interpreting results","Avoiding discussion of cultural factors to maintain objectivity","Using tests that have been translated into the student's native language",B,"Considering the student's cultural and linguistic background when interpreting results",A=68|B=86|C=63|D=72,86.00,A=0.79|B=1.00|C=0.73|D=0.84,"none",ETS
SP5403_Q051,,NEW-9-StatisticalTests,Academic,"A school psychologist is working with a student who exhibits oppositional behavior. The teacher reports that the student often refuses to follow directions and argues with adults. Which of the following interventions would be most effective as a first step?","Implementing a punishment-based consequence system","Providing clear expectations and positive reinforcement for compliance","Removing the student from class when oppositional behavior occurs","Referring the student for an outside mental health evaluation",B,"Providing clear expectations and positive reinforcement for compliance",A=50|B=70|C=65|D=61,70.00,A=0.71|B=1.00|C=0.93|D=0.87,"irrelevant-domain",ETS
SP5403_Q052,,DBDM-S06,DBDM,"Which of the following is a key characteristic of norm-referenced tests?","They measure a student's mastery of specific content standards.","They compare a student's performance to that of a representative sample.","They assess a student's rate of progress over time.","They are designed to be administered by classroom teachers.",B,"They compare a student's performance to that of a representative sample.",A=63|B=72|C=51|D=59,72.00,A=0.88|B=1.00|C=0.71|D=0.82,"none",ETS
SP5403_Q053,,DBDM-S10,DBDM,"A school psychologist notices that a disproportionate number of students from one ethnic group are being referred for special education evaluation. Which of the following is the most appropriate first step to address this issue?","Declining to evaluate students from that ethnic group","Examining referral practices and data to identify potential sources of bias","Recommending fewer students from that group for special education services","Using only assessments developed for that specific ethnic group",B,"Examining referral practices and data to identify potential sources of bias",A=53|B=75|C=74|D=63,75.00,A=0.71|B=1.00|C=0.99|D=0.84,"none",ETS
SP5403_Q054,,NEW-4-Psychopathology,DBDM,"Which of the following best describes the difference between accommodations and modifications?","Accommodations change what is taught; modifications change how it is taught.","Accommodations change how a student learns or demonstrates learning; modifications change the learning expectations.","Accommodations are only for students with disabilities; modifications are for all students.","Accommodations are permanent; modifications are temporary.",B,"Accommodations change how a student learns or demonstrates learning; modifications change the learning expectations.",A=76|B=116|C=91|D=58,116.00,A=0.66|B=1.00|C=0.78|D=0.50,"none",ETS
SP5403_Q055,,NEW-7-FamilySystems,DBDM,"A school psychologist is working with a high school student who is planning for transition to postsecondary education. Which of the following assessment areas would be most important to address?","Phonemic awareness","Self-determination and self-advocacy skills","Fine motor coordination","Prereading skills",B,"Self-determination and self-advocacy skills",A=18|B=43|C=23|D=17,43.00,A=0.42|B=1.00|C=0.53|D=0.40,"length-mismatch",ETS
SP5403_Q056,,ACAD-S04,"Prevention","Which of the following is the most appropriate role for a school psychologist during a crisis response?","Providing long-term individual therapy to affected students","Offering immediate psychological first aid and support","Conducting comprehensive mental health evaluations","Assigning students to support groups based on diagnosis",B,"Offering immediate psychological first aid and support",A=59|B=54|C=50|D=55,54.00,A=1.09|B=1.00|C=0.93|D=1.02,"irrelevant-domain",ETS
SP5403_Q057,,"NEW-2-ProblemSolvingSteps",Academic,"A school psychologist is reviewing research on a reading intervention program. Which of the following research designs would provide the strongest evidence of the program's effectiveness?","A case study of one student who improved after using the program","A randomized controlled trial comparing students who used the program to those who did not","A survey of teachers who used the program and reported satisfaction","A comparison of test scores before and after program implementation without a control group",B,"A randomized controlled trial comparing students who used the program to those who did not",A=64|B=90|C=67|D=91,90.00,A=0.71|B=1.00|C=0.74|D=1.01,"none",ETS
SP5403_Q058,,CC-S01,DBDM,"Which of the following cognitive processes is most directly assessed by measures of processing speed?","The ability to hold information in mind while working with it","The ability to quickly and efficiently perform simple cognitive tasks","The ability to reason and solve novel problems","The ability to retrieve information from long-term memory",B,"The ability to quickly and efficiently perform simple cognitive tasks",A=61|B=69|C=46|D=57,69.00,A=0.88|B=1.00|C=0.67|D=0.83,"none",ETS
SP5403_Q059,,"NEW-6-TraumaInformed",MBH,"A school psychologist is conducting a counseling session with a student who is struggling with peer relationships. Which of the following approaches would be most consistent with a cognitive-behavioral perspective?","Exploring the student's early childhood experiences","Helping the student identify and challenge negative thoughts about peers","Using play therapy techniques to help the student express feelings","Focusing on the unconscious motivations behind the student's behavior",B,"Helping the student identify and challenge negative thoughts about peers",A=51|B=72|C=66|D=69,72.00,A=0.71|B=1.00|C=0.92|D=0.96,"irrelevant-domain",ETS
SP5403_Q060,,DBDM-S06,DBDM,"Which of the following is the most appropriate use of standardized test norms?","To determine whether a student has mastered grade-level content standards","To compare a student's performance to that of same-age or same-grade peers","To measure a student's rate of improvement over time","To identify specific skills that need remediation",B,"To compare a student's performance to that of same-age or same-grade peers",A=73|B=74|C=52|D=49,74.00,A=0.99|B=1.00|C=0.70|D=0.66,"none",ETS
